aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,diffmaglim,distnr,drb,drbversion,magap,magapbig,nid,rb,rbversion,rfid,sigmagap,sigmagapbig,step_id_corr
"","1426189895415015001",false,-14.5691931,false,"",0.283235,"","","",1,false,1,18.8286,"",59180.18989579985,"ZTF20acobvxk",1428229205415015000,1426189895415,37.6738977,"ztf","ztf",18.4345,1.56604,"","",18.9048,18.5178,1426,0.391429,"t17_f5_c3","",0.3083,0.2774,"bulk_1.0.0"
"","1426269965415015001",true,-14.5691109,true,"",0.296148,0.21146408,0.21210372,"",2,false,1,18.4579,18.095497,59180.26996529987,"ZTF20acobvxk",1445231315415015000,1426269965415,37.6736366,"ztf","ztf",18.2883,1.31384,"","",18.6516,18.468,1426,0.271429,"t17_f5_c3","",0.2215,0.24,"bulk_1.0.0"
"","1428118965415015002",false,-14.5691515,false,"",0.15819925,"","","",2,false,1,18.723438,"",59182.11896990007,"ZTF20acobvxk",1445231315415015000,1428118965415,37.6735314,"ztf","ztf",18.880188,1.6013391,0.99739736,"d6_m7",18.6415,18.6024,1428,0.8542857,"t17_f5_c3",299120254,0.2578,0.3195,"bulk_1.0.0"
"","1428229205415015000",false,-14.5691033,false,"",0.17161493,"","","",1,false,1,19.152088,"",59182.22920140019,"ZTF20acobvxk",1430211035415015000,1428229205415,37.6735245,"ztf","ztf",19.131676,1.5752108,0.9999962,"d6_m7",19.3819,19.3045,1428,0.89,"t17_f5_c3",299120154,0.4589,0.5494,"bulk_1.0.0"
"","1430211035415015000",false,-14.5691306,false,"",0.193481,"","","",1,false,1,19.211372,"",59184.21103010001,"ZTF20acobvxk",1445231315415015000,1430211035415,37.6735146,"ztf","ztf",19.041124,1.6624905,0.9986796,"d6_m7",19.2924,19.3934,1430,0.74857146,"t17_f5_c3",299120154,0.4049,0.5704,"bulk_1.0.0"
"","1430272525415015003",false,-14.5690988,false,"",0.135901,"","","",2,false,1,18.8051,"",59184.27252310002,"ZTF20acobvxk",1445231315415015000,1430272525415,37.6734884,"ztf","ztf",19.27,1.5318,"","",18.7803,18.633,1430,0.915714,"t17_f5_c3","",0.2265,0.2538,"bulk_1.0.0"
"","1434251345415015002",false,-14.5691075,false,"",0.102162,"","","",2,false,1,18.8474,"",59188.25134260021,"ZTF20acobvxk",1445231315415015000,1434251345415,37.6735341,"ztf","ztf",19.7067,1.4637,"","",18.7107,18.5239,1434,0.902857,"t17_f5_c3","",0.1361,0.1469,"bulk_1.0.0"
"","1439236535415015002",false,-14.5691149,false,"",0.098533,"","","",2,false,1,19.0371,"",59193.23653940018,"ZTF20acobvxk",1445231315415015000,1439236535415,37.6734952,"ztf","ztf",20.1567,1.56272,"","",19.0186,19.0477,1439,0.948571,"t17_f5_c3","",0.136,0.1783,"bulk_1.0.0"
"","1441210835415015002",false,-14.5691282,false,"",0.09904136,"","","",2,false,1,19.082754,"",59195.210833299905,"ZTF20acobvxk",1445231315415015000,1441210835415,37.673501,"ztf","ztf",20.224977,1.5890335,0.99997836,"d6_m7",18.9566,19.0152,1441,0.93142855,"t17_f5_c3",299120254,0.1123,0.1509,"bulk_1.0.0"
"","1445231315415015004",false,-14.5691424,false,"",0.11777935,"","","",2,false,1,19.216436,"",59199.231319400016,"ZTF20acobvxk",1450198835415015000,1445231315415,37.6735599,"ztf","ztf",19.829512,1.5244807,0.9994641,"d6_m7",19.2806,19.3687,1445,0.88714284,"t17_f5_c3",299120254,0.1833,0.2542,"bulk_1.0.0"
"","1445274825415015001",false,-14.5691385,false,"",0.269881,"","","",1,false,1,20.0925,"",59199.27482639998,"ZTF20acobvxk",1450198835415015000,1445274825415,37.6736581,"ztf","ztf",19.7903,1.44803,"","",20.2832,20.0539,1445,0.678571,"t17_f5_c3","",0.4541,0.4715,"bulk_1.0.0"
"","1448209085415015004",false,-14.5693404,false,"",0.297692,"","","",1,false,1,20.489,"",59202.209085599985,"ZTF20acobvxk",1450198835415015000,1448209085415,37.6734354,"ztf","ztf",20.0085,2.44001,"","",20.1541,20.103,1448,0.348571,"t17_f5_c3","",0.3293,0.4021,"bulk_1.0.0"
"","1448307625415015006",false,-14.5690875,false,"",0.230619,"","","",2,false,1,19.3081,"",59202.3076272998,"ZTF20acobvxk",1450198835415015000,1448307625415,37.6734452,"ztf","ztf",19.387,1.5999,"","",19.3552,19.5224,1448,0.607143,"t17_f5_c3","",0.2516,0.3758,"bulk_1.0.0"
"","1450198835415015001",false,-14.5690408,false,"",0.1667812,"","","",2,true,1,19.578945,"",59204.1988309999,"ZTF20acobvxk",0,1450198835415,37.6734743,"ztf","ztf",19.857939,1.4130378,0.9998857,"d6_m7",19.7512,19.7286,1450,0.9614286,"t17_f5_c3",299120254,0.3108,0.3901,"bulk_1.0.0"
