case_id,class,label,rank,regime,state,mean_Ak,min_Ak,mean_rho,max_rho,base_verdict,audit_final_verdict,kappa_connect_exact,audit_kappa_connect,iqr_raw,eps_scale,scale_mode,iqr_effective_zero,v250_verdict,v250_giantRatio,v250_kappa_connect
INT02,INT_FREE,TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.013029,0.183943,HARD_FRAGMENTATION,FULL_PERCOLATION,1.26995002,1.26995002,0.1757104980796,0.1757104980796,IQR,False,FULL_PERCOLATION,1.0,2.0
INT03,INT_FREE,TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.01484,0.208536,HARD_FRAGMENTATION,FULL_PERCOLATION,10.41239526,10.41239526,0.04905937694922,0.04905937694922,IQR,False,HARD_FRAGMENTATION,0.748031,
INT04,INT_FREE,TRACEABLE,3,Geometric Persistence,Stable Structure,1,1,0.063963,0.325286,HARD_FRAGMENTATION,FULL_PERCOLATION,7.04723216,7.04723216,0.04082199452025,0.04082199452025,IQR,False,FULL_PERCOLATION,1.0,10.0
INT05,INT_FREE,TRACEABLE,3,Geometric Persistence,Stable Structure,1,1,0.093801,0.391969,HARD_FRAGMENTATION,FULL_PERCOLATION,3.53350966,3.53350966,0.08141539148551,0.08141539148551,IQR,False,FULL_PERCOLATION,1.0,4.365713
INT06,INT_FREE,TRACEABLE,4,Geometric Persistence,Stable Structure,1,1,0.074753,0.34249,TAIL_FRAGMENTATION,FULL_PERCOLATION,5.89631286,5.89631286,0.04879016416943,0.04879016416943,IQR,False,FULL_PERCOLATION,1.0,10.0
R1F01,R1_FREE,TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017615,0.248297,FULL_PERCOLATION,FULL_PERCOLATION,0.0,0.01,0.0,1.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,0.01
R1F02,R1_FREE,TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017566,0.249422,FULL_PERCOLATION,FULL_PERCOLATION,0.0,0.01,0.0,2.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,0.01
R1F03,R1_FREE,TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017551,0.247516,FULL_PERCOLATION,FULL_PERCOLATION,0.0,0.01,0.0,3.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,0.01
R1F04,R1_FREE,TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017592,0.247961,FULL_PERCOLATION,FULL_PERCOLATION,0.0,0.01,0.0,5.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,0.01
R1F05,R1_FREE,TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017601,0.24968,FULL_PERCOLATION,FULL_PERCOLATION,0.0,0.01,0.0,7.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,0.01
R1F06,R1_FREE,TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017567,0.24893,FULL_PERCOLATION,FULL_PERCOLATION,0.0,0.01,0.0,11.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,0.01
R1N01,R1_FAIL,NON_TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017604,0.246641,FULL_PERCOLATION,FULL_PERCOLATION,1.0,1.0,0.0,1.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,1.0
R1N02,R1_FAIL,NON_TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.01749,0.245188,FULL_PERCOLATION,FULL_PERCOLATION,1.0,1.0,0.0,1.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,1.0
R1N03,R1_FAIL,NON_TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017537,0.246746,FULL_PERCOLATION,FULL_PERCOLATION,1.0,1.0,0.0,1.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,1.0
R1N04,R1_FAIL,NON_TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017347,0.24419,FULL_PERCOLATION,FULL_PERCOLATION,1.0,1.0,0.0,1.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,1.0
R1N05,R1_FAIL,NON_TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017429,0.247603,FULL_PERCOLATION,FULL_PERCOLATION,1.0,1.0,0.0,1.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,1.0
R1N06,R1_FAIL,NON_TRACEABLE,1,Geometric Persistence,Stable Structure,1,1,0.017249,0.240976,FULL_PERCOLATION,FULL_PERCOLATION,1.0,1.0,0.0,1.0,MEDIAN_FALLBACK,True,FULL_PERCOLATION,1.0,1.0
