Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p6.7g""","=""2G""","=""7/2,9/2""","=""[""","=""39209.725""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.7h""","=""2H*""","=""9/2,11/2""","=""[""","=""39209.887""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.8p""","=""2P*""","=""1/2""","=""""","=""39298.35""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.8p""","=""2P*""","=""3/2""","=""""","=""39298.84""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.9s""","=""2S""","=""1/2""","=""""","=""39574.85""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.8d""","=""2D""","=""5/2""","=""""","=""39728.70""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.8d""","=""2D""","=""3/2""","=""""","=""39728.70""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.8f""","=""2F*""","=""7/2""","=""""","=""39734.16""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.8f""","=""2F*""","=""5/2""","=""""","=""39734.16""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.8g""","=""2G""","=""7/2,9/2""","=""[""","=""39734.678""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.8h""","=""2H*""","=""9/2,11/2""","=""[""","=""39734.790""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.9p""","=""2P*""","=""1/2""","=""[""","=""39794.479""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.9p""","=""2P*""","=""3/2""","=""[""","=""39794.810""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10s""","=""2S""","=""1/2""","=""""","=""39983.27""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.9d""","=""2D""","=""5/2""","=""""","=""40090.31""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.9d""","=""2D""","=""3/2""","=""""","=""40090.31""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.9f""","=""2F*""","=""7/2""","=""""","=""40094.19""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.9f""","=""2F*""","=""5/2""","=""""","=""40094.19""","=""""","=""0.02""","=""                                                                                              ""","="""""
"=""2p6.9g""","=""2G""","=""7/2,9/2""","=""[""","=""40094.581""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.9h""","=""2H*""","=""9/2,11/2""","=""[""","=""40094.660""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10p""","=""2P*""","=""1/2""","=""""","=""40136.810""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10p""","=""2P*""","=""3/2""","=""""","=""40137.043""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11s""","=""2S""","=""1/2""","=""""","=""40271.396""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10d""","=""2D""","=""5/2""","=""""","=""40348.915""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10d""","=""2D""","=""3/2""","=""""","=""40348.918""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10f""","=""2F*""","=""7/2""","=""[""","=""40351.761""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10f""","=""2F*""","=""5/2""","=""[""","=""40351.761""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10g""","=""2G""","=""7/2,9/2""","=""[""","=""40352.015""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.10h""","=""2H*""","=""9/2,11/2""","=""[""","=""40352.073""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11p""","=""2P*""","=""1/2""","=""""","=""40382.925""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11p""","=""2P*""","=""3/2""","=""""","=""40383.097""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.12s""","=""2S""","=""1/2""","=""""","=""40482.236""","=""""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11d""","=""2D""","=""5/2""","=""[""","=""40540.093""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11d""","=""2D""","=""3/2""","=""[""","=""40540.095""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11f""","=""2F*""","=""5/2""","=""[""","=""40542.293""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11f""","=""2F*""","=""7/2""","=""[""","=""40542.293""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.11g""","=""2G""","=""7/2,9/2""","=""[""","=""40542.484""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.12p""","=""2P*""","=""1/2""","=""[""","=""40565.783""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.12p""","=""2P*""","=""3/2""","=""[""","=""40565.913""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.13s""","=""2S""","=""1/2""","=""[""","=""40641.148""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.12d""","=""2D""","=""3/2""","=""[""","=""40685.509""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.12d""","=""2D""","=""5/2""","=""[""","=""40685.509""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.12f""","=""2F*""","=""5/2,7/2""","=""[""","=""40687.203""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.12g""","=""2G""","=""7/2,9/2""","=""[""","=""40687.352""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.13p""","=""2P*""","=""1/2""","=""[""","=""40705.344""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.13p""","=""2P*""","=""3/2""","=""[""","=""40705.444""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.14s""","=""2S""","=""1/2""","=""[""","=""40763.884""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.13d""","=""2D""","=""5/2""","=""[""","=""40798.642""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.13d""","=""2D""","=""3/2""","=""[""","=""40798.644""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.13f""","=""2F*""","=""5/2,7/2""","=""[""","=""40799.974""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.13g""","=""2G""","=""7/2,9/2""","=""[""","=""40800.091""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.14p""","=""2P*""","=""1/2""","=""[""","=""40814.273""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.14p""","=""2P*""","=""3/2""","=""[""","=""40814.352""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.15s""","=""2S""","=""1/2""","=""[""","=""40860.648""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.14d""","=""2D""","=""5/2""","=""[""","=""40888.386""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.14d""","=""2D""","=""3/2""","=""[""","=""40888.387""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.14f""","=""2F*""","=""5/2,7/2""","=""[""","=""40889.452""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.14g""","=""2G""","=""7/2,9/2""","=""[""","=""40889.546""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.15p""","=""2P*""","=""1/2""","=""[""","=""40900.922""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.15p""","=""2P*""","=""3/2""","=""[""","=""40900.985""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.16s""","=""2S""","=""1/2""","=""[""","=""40938.281""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.15d""","=""2D""","=""3/2""","=""[""","=""40960.771""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.15d""","=""2D""","=""5/2""","=""[""","=""40960.771""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.15f""","=""2F*""","=""5/2,7/2""","=""[""","=""40961.637""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.15g""","=""2G""","=""7/2,9/2""","=""[""","=""40961.714""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.16p""","=""2P*""","=""1/2""","=""[""","=""40970.976""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.16p""","=""2P*""","=""3/2""","=""[""","=""40971.028""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.17s""","=""2S""","=""1/2""","=""[""","=""41001.515""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.16d""","=""2D""","=""5/2""","=""[""","=""41020.000""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.16d""","=""2D""","=""3/2""","=""[""","=""41020.001""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.16f""","=""2F*""","=""5/2,7/2""","=""[""","=""41020.714""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.16g""","=""2G""","=""7/2,9/2""","=""[""","=""41020.777""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.17p""","=""2P*""","=""1/2""","=""[""","=""41028.419""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.17p""","=""2P*""","=""3/2""","=""[""","=""41028.462""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18s""","=""2S""","=""1/2""","=""[""","=""41053.701""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.17d""","=""2D""","=""5/2""","=""[""","=""41069.079""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.17d""","=""2D""","=""3/2""","=""[""","=""41069.080""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.17f""","=""2F*""","=""5/2,7/2""","=""[""","=""41069.674""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.17g""","=""2G""","=""7/2,9/2""","=""[""","=""41069.727""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18p""","=""2P*""","=""1/2""","=""[""","=""41076.106""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18p""","=""2P*""","=""3/2""","=""[""","=""41076.141""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.19s""","=""2S""","=""1/2""","=""[""","=""41097.271""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18d""","=""2D""","=""3/2""","=""[""","=""41110.202""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18d""","=""2D""","=""5/2""","=""[""","=""41110.202""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18f""","=""2F*""","=""5/2,7/2""","=""[""","=""41110.703""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18g""","=""2G""","=""7/2""","=""[""","=""41110.747""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.18g""","=""2G""","=""9/2""","=""[""","=""41110.748""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.19p""","=""2P*""","=""1/2""","=""[""","=""41116.126""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.19p""","=""2P*""","=""3/2""","=""[""","=""41116.156""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.20s""","=""2S""","=""1/2""","=""[""","=""41134.023""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.19d""","=""2D""","=""5/2""","=""[""","=""41144.999""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.19d""","=""2D""","=""3/2""","=""[""","=""41145.000""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.19f""","=""2F*""","=""5/2,7/2""","=""[""","=""41145.425""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.19g""","=""2G""","=""7/2,9/2""","=""[""","=""41145.463""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.20p""","=""2P*""","=""1/2""","=""[""","=""41150.040""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.20p""","=""2P*""","=""3/2""","=""[""","=""41150.066""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.20d""","=""2D""","=""3/2""","=""[""","=""41174.705""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.20d""","=""2D""","=""5/2""","=""[""","=""41174.705""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.20f""","=""2F*""","=""5/2,7/2""","=""[""","=""41175.070""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""2p6.20g""","=""2G""","=""7/2,9/2""","=""[""","=""41175.102""","=""]""","=""0.002""","=""                                                                                              ""","="""""
"=""Na II (2p6 1S<0>)""","=""Limit""","=""---""","=""""","=""41449.451""","=""""","=""0.002""","=""                                                                                              ""","=""L10921,L9648"""
"=""2p5.3s2""","=""2P*""","=""3/2""","=""""","=""248170""","=""""","=""5""","=""  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         ""","="""""
"=""2p5.3s2""","=""2P*""","=""1/2""","=""""","=""249489""","=""""","=""12""","=""  93                                               :     6  2p5.(2P*).3p2.(1S)    2P*         ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4S""","=""3/2""","=""""","=""263745.3""","=""""","=""3.9""","=""  97                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""7/2""","=""""","=""266586.7""","=""""","=""3.9""","=""  98                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""5/2""","=""""","=""266933.9""","=""""","=""3.8""","=""  93                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""3/2""","=""""","=""267282.3""","=""""","=""3.8""","=""  90                                               :     5                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4D""","=""1/2""","=""""","=""267576.0""","=""""","=""3.8""","=""  94                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""5/2""","=""""","=""268513.9""","=""""","=""3.8""","=""  82                                               :    17                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""3/2""","=""""","=""268897.4""","=""""","=""3.8""","=""  49                                               :    45                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""4P""","=""1/2""","=""""","=""269086.5""","=""""","=""3.9""","=""  94                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""3/2""","=""""","=""269726""","=""""","=""13""","=""  48                                               :    43                        4P          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""5/2""","=""""","=""270196""","=""""","=""13""","=""  78                                               :    15                        4P          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""1/2""","=""""","=""270582""","=""""","=""13""","=""  94                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""3/2""","=""""","=""270877""","=""""","=""13""","=""  92                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2S""","=""1/2""","=""""","=""273236""","=""""","=""13""","=""  82                                               :    12  2p5.(2P*).3s.3p.(1P*) 2S          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2D""","=""5/2""","=""""","=""280596""","=""""","=""14""","=""  86                                               :     5  2p5.3s.(3P*).4p       2D          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2S""","=""1/2""","=""""","=""280778""","=""""","=""14""","=""  62                                               :    10  2p5.3s.(3P*).4p       2S          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2P""","=""3/2""","=""""","=""281019""","=""""","=""14""","=""  38                                               :    47                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2D""","=""3/2""","=""""","=""282076""","=""""","=""14""","=""  39                                               :    45                        2P          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2P""","=""1/2""","=""""","=""282332""","=""""","=""14""","=""  73                                               :     9                        2S          ""","="""""
"=""2p5.3s.(3P*).4s""","=""4P*""","=""5/2""","=""""","=""286300.4""","=""""","=""3.8""","=""  99                                                                                          ""","="""""
"=""2p5.3s.(3P*).4s""","=""4P*""","=""3/2""","=""""","=""286849.5""","=""""","=""3.8""","=""  87                                           or  :    55  2p5.3s.(3P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4s""","=""4P*""","=""1/2""","=""""","=""287374.8""","=""""","=""3.8""","=""  87                                           or  :    56  2p5.3s.(3P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4s""","=""2P*""","=""3/2""","=""""","=""288452""","=""""","=""7""","=""  86                                           or  :    52  2p5.3s.(3P*<2>).4s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).4s""","=""2P*""","=""1/2""","=""""","=""288642""","=""""","=""17""","=""  62                                           or  :    53  2p5.3s.(3P*<0>).4s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""2P*""","=""1/2""","=""""","=""290234""","=""""","=""7""","=""  67                                           or  :    35  2p5.3s.(3P*<2>).3d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""2P*""","=""3/2""","=""""","=""290489""","=""""","=""7""","=""  44                                           or  :    40  2p5.3s.(3P*<2>).3d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).4s""","=""2P*""","=""3/2""","=""""","=""290786""","=""""","=""7""","=""  89                                           or  :    89  2p5.3s.(1P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(1P*).4s""","=""2P*""","=""1/2""","=""""","=""291380""","=""""","=""7""","=""  68                                           or  :    68  2p5.3s.(1P*<1>).4s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""2D*""","=""3/2""","=""""","=""292090""","=""""","=""17""","=""  51                                           or  :    29  2p5.3s.(3P*<1>).3d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4P*""","=""1/2""","=""""","=""292219.6""","=""""","=""3.9""","=""  94                                           or  :    62  2p5.3s.(3P*<2>).3d    2[0]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4P*""","=""3/2""","=""""","=""292289.2""","=""""","=""3.9""","=""  77                                           or  :    73  2p5.3s.(3P*<2>).3d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""9/2""","=""""","=""292340.6""","=""""","=""4.1""","=""  99                                           or  :    99  2p5.3s.(3P*<2>).3d    2[4]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""5/2""","=""""","=""292399.4""","=""""","=""3.9""","=""  48                                           or  :    81  2p5.3s.(3P*<2>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""7/2""","=""""","=""292449.7""","=""""","=""3.9""","=""  53                                           or  :    84  2p5.3s.(3P*<2>).3d    2[3]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""5/2""","=""""","=""292913.9""","=""""","=""3.9""","=""  56                                           or  :    57  2p5.3s.(3P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""3/2""","=""""","=""293010.3""","=""""","=""3.9""","=""  43                                           or  :    37  2p5.3s.(3P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4D*""","=""1/2""","=""""","=""293133.1""","=""""","=""4.0""","=""  87                                           or  :    71  2p5.3s.(3P*<1>).3d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).3d""","=""4F*""","=""3/2""","=""""","=""293528""","=""""","=""4.3""","=""  58                                           or  :    61  2p5.3s.(3P*<0>).3d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).4p""","=""2D""","=""3/2""","=""""","=""295054""","=""""","=""15""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).3d""","=""2P*""","=""3/2""","=""""","=""295294""","=""""","=""7""","=""  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).3d""","=""2P*""","=""1/2""","=""""","=""295526""","=""""","=""7""","=""  70                                           or  :    70  2p5.3s.(1P*<1>).3d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).3d""","=""2D*""","=""5/2""","=""""","=""295740""","=""""","=""90""","=""  67                                           or  :    67  2p5.3s.(1P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).3d""","=""2D*""","=""3/2""","=""""","=""295749""","=""""","=""14""","=""  54                                           or  :    54  2p5.3s.(1P*<1>).3d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).4p""","=""2D""","=""5/2""","=""""","=""296576""","=""""","=""15""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).4p""","=""2S""","=""1/2""","=""""","=""296618""","=""""","=""15""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).4p""","=""2P""","=""3/2""","=""""","=""296808""","=""""","=""15""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).4p""","=""2D""","=""3/2""","=""""","=""297048""","=""""","=""15""","=""                                                                                              ""","="""""
"=""2p5.3s.(3P*).5s""","=""4P*""","=""3/2""","=""""","=""297074""","=""""","=""7""","=""  60                                           or  :    76  2p5.3s.(3P*<2>).5s    2[2]*       ""","="""""
"=""2p5.3s.(1P*).4p""","=""2P""","=""1/2""","=""""","=""297121""","=""""","=""15""","=""                                                                                              ""","="""""
"=""2p5.3s.(3P*).5s""","=""2P*""","=""3/2""","=""""","=""297645""","=""""","=""7""","=""  55                                           or  :    74  2p5.3s.(3P*<1>).5s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4d""","=""2P*""","=""1/2""","=""""","=""297724""","=""""","=""7""","=""  71                                           or  :    39  2p5.3s.(3P*<2>).4d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).4d""","=""2P*""","=""3/2""","=""""","=""297848""","=""""","=""7""","=""  40                                           or  :    45  2p5.3s.(3P*<2>).4d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).5s""","=""2P*""","=""1/2""","=""""","=""298350""","=""""","=""7""","=""  63                                           or  :    83  2p5.3s.(3P*<0>).5s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).4d""","=""2D*""","=""3/2""","=""""","=""298986""","=""""","=""13""","=""  43                                           or  :    41  2p5.3s.(3P*<1>).4d    2[2]*       ""","="""""
