Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s2.11d""","=""2D""","=""5/2""","=""""","=""42578.""","=""""","=""10""","="""""
"=""1s2.12p""","=""2P*""","=""1/2""","=""""","=""42719.14""","=""""","=""0.10""","="""""
"=""1s2.12p""","=""2P*""","=""3/2""","=""""","=""42719.14""","=""""","=""0.10""","="""""
"=""1s2.12d""","=""2D""","=""3/2""","=""""","=""42725.""","=""""","=""10""","="""""
"=""1s2.12d""","=""2D""","=""5/2""","=""""","=""42725.""","=""""","=""10""","="""""
"=""1s2.13p""","=""2P*""","=""1/2""","=""""","=""42832.92""","=""""","=""0.10""","="""""
"=""1s2.13p""","=""2P*""","=""3/2""","=""""","=""42832.92""","=""""","=""0.10""","="""""
"=""1s2.14p""","=""2P*""","=""1/2""","=""""","=""42923.39""","=""""","=""0.10""","="""""
"=""1s2.14p""","=""2P*""","=""3/2""","=""""","=""42923.39""","=""""","=""0.10""","="""""
"=""1s2.15p""","=""2P*""","=""1/2""","=""""","=""42995.51""","=""""","=""0.10""","="""""
"=""1s2.15p""","=""2P*""","=""3/2""","=""""","=""42995.51""","=""""","=""0.10""","="""""
"=""1s2.16p""","=""2P*""","=""1/2""","=""""","=""43055.34""","=""""","=""0.10""","="""""
"=""1s2.16p""","=""2P*""","=""3/2""","=""""","=""43055.34""","=""""","=""0.10""","="""""
"=""1s2.17p""","=""2P*""","=""1/2""","=""""","=""43105.42""","=""""","=""0.10""","="""""
"=""1s2.17p""","=""2P*""","=""3/2""","=""""","=""43105.42""","=""""","=""0.10""","="""""
"=""1s2.18p""","=""2P*""","=""1/2""","=""""","=""43146.96""","=""""","=""0.10""","="""""
"=""1s2.18p""","=""2P*""","=""3/2""","=""""","=""43146.96""","=""""","=""0.10""","="""""
"=""1s2.19p""","=""2P*""","=""1/2""","=""""","=""43181.84""","=""""","=""0.10""","="""""
"=""1s2.19p""","=""2P*""","=""3/2""","=""""","=""43181.84""","=""""","=""0.10""","="""""
"=""1s2.20p""","=""2P*""","=""1/2""","=""""","=""43211.39""","=""""","=""0.10""","="""""
"=""1s2.20p""","=""2P*""","=""3/2""","=""""","=""43211.39""","=""""","=""0.10""","="""""
"=""1s2.21p""","=""2P*""","=""1/2""","=""""","=""43237.16""","=""""","=""0.10""","="""""
"=""1s2.21p""","=""2P*""","=""3/2""","=""""","=""43237.16""","=""""","=""0.10""","="""""
"=""1s2.22p""","=""2P*""","=""1/2""","=""""","=""43259.14""","=""""","=""0.10""","="""""
"=""1s2.22p""","=""2P*""","=""3/2""","=""""","=""43259.14""","=""""","=""0.10""","="""""
"=""1s2.23p""","=""2P*""","=""1/2""","=""""","=""43278.96""","=""""","=""0.10""","="""""
"=""1s2.23p""","=""2P*""","=""3/2""","=""""","=""43278.96""","=""""","=""0.10""","="""""
"=""1s2.24p""","=""2P*""","=""1/2""","=""""","=""43296.03""","=""""","=""0.10""","="""""
"=""1s2.24p""","=""2P*""","=""3/2""","=""""","=""43296.03""","=""""","=""0.10""","="""""
"=""1s2.25p""","=""2P*""","=""1/2""","=""""","=""43311.45""","=""""","=""0.10""","="""""
"=""1s2.25p""","=""2P*""","=""3/2""","=""""","=""43311.45""","=""""","=""0.10""","="""""
"=""1s2.26p""","=""2P*""","=""1/2""","=""""","=""43324.81""","=""""","=""0.10""","="""""
"=""1s2.26p""","=""2P*""","=""3/2""","=""""","=""43324.81""","=""""","=""0.10""","="""""
"=""1s2.27p""","=""2P*""","=""1/2""","=""""","=""43336.40""","=""""","=""0.10""","="""""
"=""1s2.27p""","=""2P*""","=""3/2""","=""""","=""43336.40""","=""""","=""0.10""","="""""
"=""1s2.28p""","=""2P*""","=""1/2""","=""""","=""43346.39""","=""""","=""0.10""","="""""
"=""1s2.28p""","=""2P*""","=""3/2""","=""""","=""43346.39""","=""""","=""0.10""","="""""
"=""1s2.29p""","=""2P*""","=""1/2""","=""""","=""43354.91""","=""""","=""0.10""","="""""
"=""1s2.29p""","=""2P*""","=""3/2""","=""""","=""43354.91""","=""""","=""0.10""","="""""
"=""1s2.30p""","=""2P*""","=""1/2""","=""""","=""43363.71""","=""""","=""0.10""","="""""
"=""1s2.30p""","=""2P*""","=""3/2""","=""""","=""43363.71""","=""""","=""0.10""","="""""
"=""1s2.31p""","=""2P*""","=""1/2""","=""""","=""43372.06""","=""""","=""0.10""","="""""
"=""1s2.31p""","=""2P*""","=""3/2""","=""""","=""43372.06""","=""""","=""0.10""","="""""
"=""1s2.32p""","=""2P*""","=""1/2""","=""""","=""43378.31""","=""""","=""0.10""","="""""
"=""1s2.32p""","=""2P*""","=""3/2""","=""""","=""43378.31""","=""""","=""0.10""","="""""
"=""1s2.33p""","=""2P*""","=""1/2""","=""""","=""43384.9""","=""""","=""1.0""","="""""
"=""1s2.33p""","=""2P*""","=""3/2""","=""""","=""43384.9""","=""""","=""1.0""","="""""
"=""1s2.34p""","=""2P*""","=""1/2""","=""""","=""43390.3""","=""""","=""1.0""","="""""
"=""1s2.34p""","=""2P*""","=""3/2""","=""""","=""43390.3""","=""""","=""1.0""","="""""
"=""1s2.35p""","=""2P*""","=""1/2""","=""""","=""43395.4""","=""""","=""1.0""","="""""
"=""1s2.35p""","=""2P*""","=""3/2""","=""""","=""43395.4""","=""""","=""1.0""","="""""
"=""1s2.36p""","=""2P*""","=""1/2""","=""""","=""43400.5""","=""""","=""1.0""","="""""
"=""1s2.36p""","=""2P*""","=""3/2""","=""""","=""43400.5""","=""""","=""1.0""","="""""
"=""1s2.37p""","=""2P*""","=""1/2""","=""""","=""43404.7""","=""""","=""1.0""","="""""
"=""1s2.37p""","=""2P*""","=""3/2""","=""""","=""43404.7""","=""""","=""1.0""","="""""
"=""1s2.38p""","=""2P*""","=""1/2""","=""""","=""43408.6""","=""""","=""1.0""","="""""
"=""1s2.38p""","=""2P*""","=""3/2""","=""""","=""43408.6""","=""""","=""1.0""","="""""
"=""1s2.39p""","=""2P*""","=""1/2""","=""""","=""43412.4""","=""""","=""1.0""","="""""
"=""1s2.39p""","=""2P*""","=""3/2""","=""""","=""43412.4""","=""""","=""1.0""","="""""
"=""1s2.40p""","=""2P*""","=""1/2""","=""""","=""43416.9""","=""""","=""1.0""","="""""
"=""1s2.40p""","=""2P*""","=""3/2""","=""""","=""43416.9""","=""""","=""1.0""","="""""
"=""1s2.41p""","=""2P*""","=""1/2""","=""""","=""43420.9""","=""""","=""1.0""","="""""
"=""1s2.41p""","=""2P*""","=""3/2""","=""""","=""43420.9""","=""""","=""1.0""","="""""
"=""1s2.42p""","=""2P*""","=""1/2""","=""""","=""43424.3""","=""""","=""1.0""","="""""
"=""1s2.42p""","=""2P*""","=""3/2""","=""""","=""43424.3""","=""""","=""1.0""","="""""
"=""Li II (1s2 1S<0>)""","=""Limit""","=""---""","=""""","=""43487.11420""","=""""","=""0.00018""","=""L12261"""
"=""1s.2s.2p""","=""4P*""","=""1/2""","=""""","=""463520""","=""""","=""100""","="""""
"=""1s.2s.2p""","=""4P*""","=""3/2""","=""""","=""463520""","=""""","=""100""","="""""
"=""1s.2s.2p""","=""4P*""","=""5/2""","=""""","=""463520""","=""""","=""100""","="""""
"=""1s.2p.(1P*).2s""","=""2P*""","=""1/2""","=""""","=""475150""","=""""","=""100""","="""""
"=""1s.2p.(1P*).2s""","=""2P*""","=""3/2""","=""""","=""475150""","=""""","=""100""","="""""
"=""1s.2p2""","=""4P""","=""1/2""","=""""","=""490440""","=""""","=""100""","="""""
"=""1s.2p2""","=""4P""","=""3/2""","=""""","=""490440""","=""""","=""100""","="""""
"=""1s.2p2""","=""4P""","=""5/2""","=""""","=""490440""","=""""","=""100""","="""""
"=""1s.2s.3p""","=""4P*""","=""1/2""","=""""","=""494570""","=""""","=""100""","="""""
"=""1s.2s.3p""","=""4P*""","=""3/2""","=""""","=""494570""","=""""","=""100""","="""""
"=""1s.2s.3p""","=""4P*""","=""5/2""","=""""","=""494570""","=""""","=""100""","="""""
"=""1s.2p2""","=""2P""","=""1/2""","=""""","=""496830""","=""""","=""100""","="""""
"=""1s.2p2""","=""2P""","=""3/2""","=""""","=""496830""","=""""","=""100""","="""""
"=""1s.2s.3s""","=""4S""","=""3/2""","=""""","=""497600""","=""""","=""1000""","="""""
"=""1s.2p.3s""","=""4P*""","=""1/2""","=""""","=""506270""","=""""","=""100""","="""""
"=""1s.2p.3s""","=""4P*""","=""3/2""","=""""","=""506270""","=""""","=""100""","="""""
"=""1s.2p.3s""","=""4P*""","=""5/2""","=""""","=""506270""","=""""","=""100""","="""""
"=""1s.2s.3d""","=""4D""","=""1/2""","=""""","=""506300""","=""""","=""100""","="""""
"=""1s.2s.3d""","=""4D""","=""3/2""","=""""","=""506300""","=""""","=""100""","="""""
"=""1s.2s.3d""","=""4D""","=""5/2""","=""""","=""506300""","=""""","=""100""","="""""
"=""1s.2s.3d""","=""4D""","=""7/2""","=""""","=""506300""","=""""","=""100""","="""""
"=""1s.2s.4s""","=""4S""","=""3/2""","=""""","=""509580""","=""""","=""100""","="""""
"=""1s.2s.5s""","=""4S""","=""3/2""","=""""","=""514010""","=""""","=""100""","="""""
"=""1s.2s.4p""","=""4P*""","=""1/2""","=""""","=""515620""","=""""","=""100""","="""""
"=""1s.2s.4p""","=""4P*""","=""3/2""","=""""","=""515620""","=""""","=""100""","="""""
"=""1s.2s.4p""","=""4P*""","=""5/2""","=""""","=""515620""","=""""","=""100""","="""""
"=""1s.2s.6s""","=""4S""","=""3/2""","=""""","=""516110""","=""""","=""100""","="""""
"=""1s.2p.4s""","=""4P*""","=""1/2""","=""""","=""518070""","=""""","=""100""","="""""
"=""1s.2p.4s""","=""4P*""","=""3/2""","=""""","=""518070""","=""""","=""100""","="""""
"=""1s.2p.4s""","=""4P*""","=""5/2""","=""""","=""518070""","=""""","=""100""","="""""
"=""1s.2s.7s""","=""4S""","=""3/2""","=""""","=""518850""","=""""","=""100""","="""""
"=""1s.2p.3p""","=""4P""","=""1/2""","=""""","=""523230""","=""""","=""100""","="""""
"=""1s.2p.3p""","=""4P""","=""3/2""","=""""","=""523230""","=""""","=""100""","="""""
"=""1s.2p.3p""","=""4P""","=""5/2""","=""""","=""523230""","=""""","=""100""","="""""
"=""1s.2p.3d""","=""4D*""","=""1/2""","=""""","=""525280""","=""""","=""100""","="""""
"=""1s.2p.3d""","=""4D*""","=""3/2""","=""""","=""525280""","=""""","=""100""","="""""
"=""1s.2p.3d""","=""4D*""","=""5/2""","=""""","=""525280""","=""""","=""100""","="""""
"=""1s.2p.3d""","=""4D*""","=""7/2""","=""""","=""525280""","=""""","=""100""","="""""
"=""1s.2p.(1P*).3s""","=""2P*""","=""1/2""","=""""","=""526410""","=""""","=""100""","="""""
"=""1s.2p.(1P*).3s""","=""2P*""","=""3/2""","=""""","=""526410""","=""""","=""100""","="""""
"=""1s.2p.4p""","=""4P""","=""1/2""","=""""","=""530550""","=""""","=""100""","="""""
"=""1s.2p.4p""","=""4P""","=""3/2""","=""""","=""530550""","=""""","=""100""","="""""
"=""1s.2p.4p""","=""4P""","=""5/2""","=""""","=""530550""","=""""","=""100""","="""""
"=""1s.2p.5p""","=""4P""","=""1/2""","=""""","=""533690""","=""""","=""100""","="""""
"=""1s.2p.5p""","=""4P""","=""3/2""","=""""","=""533690""","=""""","=""100""","="""""
"=""1s.2p.5p""","=""4P""","=""5/2""","=""""","=""533690""","=""""","=""100""","="""""
"=""1s.2p.6p""","=""4P""","=""1/2""","=""""","=""535380""","=""""","=""100""","="""""
"=""1s.2p.6p""","=""4P""","=""3/2""","=""""","=""535380""","=""""","=""100""","="""""
"=""1s.2p.6p""","=""4P""","=""5/2""","=""""","=""535380""","=""""","=""100""","="""""
"=""1s.2p.(1P*).4s""","=""2P*""","=""1/2""","=""""","=""535990""","=""""","=""100""","="""""
"=""1s.2p.(1P*).4s""","=""2P*""","=""3/2""","=""""","=""535990""","=""""","=""100""","="""""
"=""1s.2p.(1P*).5s""","=""2P*""","=""1/2""","=""""","=""539800""","=""""","=""1000""","="""""
"=""1s.2p.(1P*).5s""","=""2P*""","=""3/2""","=""""","=""539800""","=""""","=""1000""","="""""
"=""1s.2p.(1P*).6s""","=""2P*""","=""1/2""","=""""","=""541720""","=""""","=""100""","="""""
"=""1s.2p.(1P*).6s""","=""2P*""","=""3/2""","=""""","=""541720""","=""""","=""100""","="""""
"=""1s.2p.(1P*).7s""","=""2P*""","=""1/2""","=""""","=""542750""","=""""","=""100""","="""""
"=""1s.2p.(1P*).7s""","=""2P*""","=""3/2""","=""""","=""542750""","=""""","=""100""","="""""
"=""1s.2p.(1P*).8s""","=""2P*""","=""1/2""","=""""","=""543440""","=""""","=""100""","="""""
"=""1s.2p.(1P*).8s""","=""2P*""","=""3/2""","=""""","=""543440""","=""""","=""100""","="""""
"=""1s.2p.(1P*).9s""","=""2P*""","=""1/2""","=""""","=""543880""","=""""","=""100""","="""""
"=""1s.2p.(1P*).9s""","=""2P*""","=""3/2""","=""""","=""543880""","=""""","=""100""","="""""
"=""1s.2p.(1P*).10s""","=""2P*""","=""1/2""","=""""","=""544230""","=""""","=""100""","="""""
"=""1s.2p.(1P*).10s""","=""2P*""","=""3/2""","=""""","=""544230""","=""""","=""100""","="""""
"=""1s.2p.(1P*).11s""","=""2P*""","=""1/2""","=""""","=""544420""","=""""","=""100""","="""""
"=""1s.2p.(1P*).11s""","=""2P*""","=""3/2""","=""""","=""544420""","=""""","=""100""","="""""
