time_idx,time_value,source_dataset,scale_idx,block_factor,grid_nz,grid_ny,grid_nx,spacing,boundary_margin_cells,min_object_voxels,kinetic_energy_local,divergence_mean,divergence_rms,q_mean,q_rms,q_positive_fraction,enstrophy_mean,strain_sq_mean,helicity_mean,q_threshold,raw_component_count,kept_component_count,discarded_small_or_boundary,touching_component_count,object_count,global_ref_time,global_ref_energy,global_ref_Re_lambda,local_to_global_energy_ratio
4,0.008,Velocity_0005,1,2,128,128,128,0.012271881103515625,8,8,0.830515442754552,-7.528894337722203e-05,1.2290340528174248,0.463719795718165,165.62103929306403,0.3818992859420554,187.76378353108106,186.8363857967824,-1.0726371101951522,248.43155893959604,1616,460,1156,370,460,0.0,0.6820399,426.8378,1.2176933384022723
4,0.008,Velocity_0005,2,4,64,64,64,0.02454376220703125,4,2,0.8223905758137475,-0.0003511783059236352,1.4985137693218642,0.4978543654317365,80.85351379961948,0.39917205721574345,99.92352409601287,98.92867437207191,-1.065092569559756,121.28027069942922,581,260,321,177,260,0.0,0.6820399,426.8378,1.2057807407070282
4,0.008,Velocity_0005,3,8,32,32,32,0.0490875244140625,2,2,0.8034506082980706,-0.0014539395463175199,1.300698210840641,0.4778177506839064,31.948879187842078,0.4157707725947522,41.77336467863544,40.82130285476283,-1.0498554425250601,47.923318781763115,120,31,89,49,31,0.0,0.6820399,426.8378,1.1780111519840268
4,0.008,Velocity_0005,4,16,16,16,16,0.098175048828125,1,2,0.7691105599850759,-0.0030826568731131257,0.8621675992811398,0.3540470291943216,11.231608716455105,0.42674927113702626,15.902172978356502,15.198313091960316,-1.0694582580226275,16.847413074682656,15,3,12,12,3,0.0,0.6820399,426.8378,1.1276621206253123
5,0.01,Velocity_0006,0,1,256,256,256,0.0061359405517578125,16,64,0.8334935544677623,1.1416774469196825e-06,0.7017367486769293,0.43909958840110336,253.28551576817642,0.37428172475742527,267.26030259017955,266.3821049353882,-1.0798374832079003,379.92827365226464,2826,510,2316,637,510,0.0,0.6820399,426.8378,1.2220598156614624
5,0.01,Velocity_0006,1,2,128,128,128,0.012271881103515625,8,8,0.8308104100439745,-7.126483670614762e-05,1.2282490430457245,0.4546647181664423,165.71791441999113,0.3814800473760933,187.7737965821734,186.86449094226043,-1.0772978402085969,248.5768716299867,1587,472,1115,375,472,0.0,0.6820399,426.8378,1.218125816457328
5,0.01,Velocity_0006,2,4,64,64,64,0.02454376220703125,4,2,0.8226848742574937,-0.0003481791717234314,1.4989504839655723,0.49478282883591534,80.90346023813181,0.3996219023323615,99.94623208178102,98.95780984275233,-1.06964733641707,121.35519035719773,603,261,342,184,261,0.0,0.6820399,426.8378,1.2062122381073215
5,0.01,Velocity_0006,3,8,32,32,32,0.0490875244140625,2,2,0.8037367676590175,-0.001470754142567575,1.301835757407005,0.47789443219228633,31.95701352414713,0.41590743440233235,41.788243380738365,40.83567378769897,-1.0546470002695318,47.935520286220694,119,32,87,52,32,0.0,0.6820399,426.8378,1.178430715943477
5,0.01,Velocity_0006,4,16,16,16,16,0.098175048828125,1,2,0.769378981286672,-0.00308575340527661,0.8617870355140714,0.35398468941873695,11.23508493745794,0.42784256559766765,15.902996771045045,15.199266937097029,-1.0746760579566308,16.852627406186908,15,3,12,12,3,0.0,0.6820399,426.8378,1.1280556772216288
6,0.012,Velocity_0007,0,1,256,256,256,0.0061359405517578125,16,64,0.833788496062862,2.9348366231479367e-06,0.7017945924420229,0.42992538015088316,253.4764115554415,0.3743236308195153,267.26096154202384,266.40111332182335,-1.0846710021715833,380.21461733316227,2830,502,2328,648,502,0.02,0.6819701,426.9046,1.2226173787719754
6,0.012,Velocity_0007,1,2,128,128,128,0.012271881103515625,8,8,0.8311057304878441,-6.668495259862846e-05,1.2291506508045993,0.44817489514070796,165.8128041057608,0.3813903630648688,187.7914636316744,186.89514790742234,-1.0820205536839285,248.71920615864119,1584,456,1128,370,456,0.02,0.6819701,426.9046,1.2186835324420295
6,0.012,Velocity_0007,2,4,64,64,64,0.02454376220703125,4,2,0.8229800354737833,-0.00034793895106741775,1.5001757587932696,0.4924626827122148,80.96005200169553,0.39970162172011664,99.97315788197042,98.98941479382545,-1.0744020627299604,121.44007800254329,593,252,341,177,252,0.02,0.6819701,426.9046,1.2067685012492237
6,0.012,Velocity_0007,3,8,32,32,32,0.0490875244140625,2,2,0.804022128892192,-0.0014915290568549996,1.3029427429583944,0.4780978221331642,31.967873318557224,0.41549744897959184,41.804354411064985,40.85110404521075,-1.059539712576617,47.951809977835836,116,31,85,53,31,0.02,0.6819701,426.9046,1.1789697655251925
6,0.012,Velocity_0007,4,16,16,16,16,0.098175048828125,1,2,0.7696499350190464,-0.003085584527542733,0.8614352976063222,0.35388122811443756,11.238142251118372,0.4238338192419825,15.904080102748289,15.200496984683738,-1.0799258797529288,16.857213376677556,16,3,13,12,3,0.02,0.6819701,426.9046,1.128568444597566
7,0.014,Velocity_0008,0,1,256,256,256,0.0061359405517578125,16,64,0.8340824837319558,5.090239374059073e-06,0.7018545335127917,0.42501616153681365,253.6376935912481,0.37430405686270046,267.2695763335303,266.41954673590965,-1.08952459266178,380.4565403868722,2821,508,2313,633,508,0.02,0.6819701,426.9046,1.2230484646349682
7,0.014,Velocity_0008,1,2,128,128,128,0.012271881103515625,8,8,0.8314008733315512,-6.333623971474094e-05,1.231192702854344,0.44485284963381516,165.92327861520963,0.3816074560404519,187.81815204356437,186.92847277732236,-1.0868046163412517,248.88491792281445,1629,450,1179,374,450,0.02,0.6819701,426.9046,1.219116312183703
7,0.014,Velocity_0008,2,4,64,64,64,0.02454376220703125,4,2,0.823275601427257,-0.0003524143581385152,1.5017112778843211,0.4912797526368903,81.02933935834797,0.4000034165451895,100.0052212032745,99.02373937953368,-1.0793206194479004,121.54400903752196,592,252,340,180,252,0.02,0.6819701,426.9046,1.20720190141365
7,0.014,Velocity_0008,3,8,32,32,32,0.0490875244140625,2,2,0.8043069181352067,-0.0015162269043231807,1.3040095631879767,0.4785074212706482,31.980804878340376,0.41636297376093295,41.82182147718449,40.867565064438494,-1.0645771396126034,47.97120731751056,124,28,96,58,28,0.02,0.6819701,426.9046,1.1793873633685799
7,0.014,Velocity_0008,4,16,16,16,16,0.098175048828125,1,2,0.7699230358768943,-0.0030837610890714143,0.8611335478754827,0.35376593916065674,11.240540353910362,0.42346938775510207,15.905378334786276,15.201938736792817,-1.0852013173195434,16.860810530865542,15,3,12,11,3,0.02,0.6819701,426.9046,1.128968903294872
8,0.016,Velocity_0009,0,1,256,256,256,0.0061359405517578125,16,64,0.8343750219700082,6.644725604687055e-06,0.7018842080877182,0.42509954656406773,253.79732722548596,0.3742946257744169,267.2879250040688,266.43772913493103,-1.0944297999397041,380.6959908382289,2812,510,2302,645,510,0.02,0.6819701,426.9046,1.2234774251393252
8,0.016,Velocity_0009,1,2,128,128,128,0.012271881103515625,8,8,0.831693516210975,-6.268762325162965e-05,1.2321766773624419,0.44481122085839764,166.0708944796028,0.38137185677842567,187.84585110894125,186.95626409502944,-1.0917514713240108,249.1063417194042,1603,448,1155,392,448,0.02,0.6819701,426.9046,1.2195454261278829
8,0.016,Velocity_0009,2,4,64,64,64,0.02454376220703125,4,2,0.823569415428537,-0.0003631324171392911,1.5027075228261662,0.49163780253299694,81.11396441744913,0.40027674016034986,100.04090173310203,99.05852972853076,-1.084343558027052,121.67094662617369,598,250,348,182,250,0.02,0.6819701,426.9046,1.20763273262059
8,0.016,Velocity_0009,3,8,32,32,32,0.0490875244140625,2,2,0.8045902914616568,-0.0015446329275738385,1.3049470794262736,0.4792052154024434,31.99537613765499,0.41722849854227406,41.84043965595614,40.88476439518718,-1.0697702942270129,47.99306420648249,127,30,97,57,30,0.02,0.6819701,426.9046,1.1798028849969475
8,0.016,Velocity_0009,4,16,16,16,16,0.098175048828125,1,2,0.7701975220782642,-0.0030809152646006544,0.8608950117130362,0.3536720829964928,11.242100275148676,0.4227405247813411,15.906809073277211,15.20351734140524,-1.0904968274080495,16.863150412723016,15,3,12,10,3,0.02,0.6819701,426.9046,1.1293713933767244
9,0.018000000000000002,Velocity_0010,0,1,256,256,256,0.0061359405517578125,16,64,0.8346646443006351,-2.3059461168434868e-05,0.7018781583765683,0.4293655474585686,253.9836118727469,0.37433421855070154,267.31536582300265,266.45663774862464,-1.09938807733039,380.97541780912036,2797,512,2285,625,512,0.02,0.6819701,426.9046,1.2239021099321439
9,0.018000000000000002,Velocity_0010,1,2,128,128,128,0.012271881103515625,8,8,0.8319826564970747,-9.546048839834273e-05,1.2324601754880629,0.44789199746707276,166.2624126087661,0.3815590549836006,187.87733226356002,186.98159689683956,-1.0967508777702177,249.39361891314917,1597,457,1140,389,457,0.02,0.6819701,426.9046,1.2199694040795552
9,0.018000000000000002,Velocity_0010,2,4,64,64,64,0.02454376220703125,4,2,0.8238585654453537,-0.0004101098650517883,1.502720187582868,0.49378924695896914,81.20919242210776,0.3999578626093295,100.07857979386768,99.09189957550132,-1.0894060340260707,121.81378863316164,591,254,337,174,254,0.02,0.6819701,426.9046,1.2080567248408012
9,0.018000000000000002,Velocity_0010,3,8,32,32,32,0.0490875244140625,2,2,0.8048698437246214,-0.0016053431299898593,1.3057076728508565,0.48025571734174144,32.01095268870061,0.4185040087463557,41.859883593391956,40.902082201533304,-1.0750734038949579,48.01642903305092,117,28,89,53,28,0.02,0.6819701,426.9046,1.180212803647288
9,0.018000000000000002,Velocity_0010,4,16,16,16,16,0.098175048828125,1,2,0.7704705640294935,-0.0031062376676276654,0.8607392219349661,0.3536230199157434,11.242668036652912,0.42456268221574345,15.908244224742758,15.20501752443199,-1.095795609787006,16.864002054979366,14,4,10,8,4,0.02,0.6819701,426.9046,1.129771765696903
