index,energy_cm-1
196,197403.799390661
197,197403.799607915
198,197403.800021767
199,197403.800710769
200,197403.850867196
201,197403.851126601
202,197403.851363093
203,197403.851523168
204,197403.863390333
205,197403.863559786
206,197403.863713582
207,197403.863828356
208,197403.867440618
209,197403.867559473
210,197403.86766777
211,197403.867753813
212,197405.859192068
213,197509.5500599
214,197530.6221365
215,197539.96726694
216,197539.96758147
217,197539.97144863
218,197548.34463369
219,197548.34468242
220,197548.345364072
221,197548.440606132
222,197548.650885311
223,197548.651050518
224,197548.651369277
225,197548.651907758
226,197548.6906908
227,197548.690890572
228,197548.691072729
229,197548.691196066
230,197548.700397656
231,197548.700528178
232,197548.700646639
233,197548.700735045
234,197548.703546276
235,197548.703637824
236,197548.703721241
237,197548.703787516
238,197550.239243971
239,197630.71966197
240,197647.22103015
241,197654.55132168
242,197654.55156861
243,197654.55460503
244,197661.137156976
245,197661.137195356
246,197661.137731423
247,197661.212973716
248,197661.378500275
249,197661.378628917
250,197661.378879622
251,197661.379307962
252,197661.409903542
253,197661.410060646
254,197661.410203915
255,197661.410300948
256,197661.417575492
257,197661.41767815
258,197661.417771323
259,197661.417840857
260,197661.420069637
261,197661.420141642
262,197661.420207251
263,197661.420259378
264,197662.628889776
265,197726.34122257
266,197739.50383693
267,197745.35952578
268,197745.35972319
269,197745.36215081
270,197750.630253431
271,197750.630284194
272,197750.630713352
273,197750.691167177
274,197750.823783348
275,197750.823885526
276,197750.824086249
277,197750.824432283
278,197750.848987031
279,197750.849112803
280,197750.849227511
281,197750.849305216
282,197750.855153284
283,197750.855235478
284,197750.855310077
285,197750.85536575
286,197750.857161461
287,197750.857219112
288,197750.857271642
289,197750.857313379
290,197751.82562134
291,197803.12318198
292,197813.79035744
293,197818.54202572
294,197818.542186
295,197818.54415732
296,197822.825686886
297,197822.825711919
298,197822.826060809
299,197822.875350045
300,197822.983228382
301,197822.983310921
302,197822.983474113
303,197822.983757484
304,197823.003759575
305,197823.003861822
306,197823.003955084
307,197823.004018272
308,197823.008788485
309,197823.008855312
310,197823.008915964
311,197823.008961228
312,197823.01042857
313,197823.010475442
314,197823.010518151
315,197823.010552085
316,197823.798226967
317,197865.70830808
318,197874.47304218
319,197878.38176128
320,197878.38189321
321,197878.3835158
322,197881.910183618
323,197881.910204259
324,197881.910491713
325,197881.951197797
326,197882.040124792
327,197882.040192442
328,197882.040326906
329,197882.040561775
330,197882.057068724
331,197882.057152966
332,197882.057229811
333,197882.057281883
334,197882.061222882
335,197882.061277946
336,197882.061327921
337,197882.061365218
338,197882.062579235
339,197882.062617857
340,197882.062653048
341,197882.062681008
342,197882.711980789
343,197917.39252023
344,197924.68161955
345,197927.93561059
346,197927.93572047
347,197927.93707198
348,197930.876375327
349,197930.876392546
350,197930.876632183
351,197930.910633313
352,197930.984798502
353,197930.984854654
354,197930.984966756
355,197930.985163525
356,197930.998943251
357,197930.99901348
358,197930.999077546
359,197930.999120963
360,197931.00241383
361,197931.002459737
362,197931.002501402
363,197931.002532496
364,197931.00354806
365,197931.00358026
366,197931.003609599
367,197931.003632909
368,197931.545150819
369,197960.56793919
370,197966.6949226
371,197969.43265746
372,197969.43274994
373,197969.43388755
374,197971.909331822
375,197971.909346335
376,197971.909548199
377,197971.938236753
378,197972.000733505
379,197972.000780635
380,197972.00087507
381,197972.00104151
382,197972.012662388
383,197972.012721548
384,197972.012775518
385,197972.012812097
386,197972.015591182
387,197972.015629855
388,197972.015664954
389,197972.015691148
390,197972.016549103
391,197972.016576228
392,197972.016600944
393,197972.016620581
394,197972.47294401
395,197997.004773
396,198002.20412415
397,198004.52931033
398,198004.52938891
399,198004.53035549
400,198006.634620666
401,198006.634633011
402,198006.634804641
403,198006.659230206
404,198006.712382529
405,198006.712422477
406,198006.712502772
407,198006.71264478
408,198006.722534686
409,198006.722584985
410,198006.722630874
411,198006.722661979
412,198006.725028623
413,198006.725061505
414,198006.725091349
415,198006.725113621
416,198006.725844857
417,198006.725867921
418,198006.725888936
419,198006.725905633
420,198007.11400347
421,198028.03571813
422,198032.4856391
423,198034.47719115
424,198034.47725848
425,198034.47808666
426,198036.281816795
427,198036.281827383
428,198036.281974527
429,198036.302940206
430,198036.348521337
431,198036.348555495
432,198036.348624337
433,198036.34874645
434,198036.357232414
435,198036.357275537
436,198036.357314881
437,198036.357341552
438,198036.359373341
439,198036.359401534
440,198036.359427121
441,198036.359446217
442,198036.360074435
443,198036.36009421
444,198036.360112227
445,198036.360126543
446,198036.692945787
447,198054.67958552
448,198058.51746024
449,198060.23628698
450,198060.236345101
451,198060.23706011
452,198061.794862646
453,198061.794871796
454,198061.7949989
455,198061.813127526
456,198061.85250938
457,198061.852538819
458,198061.852598288
459,198061.852704041
460,198061.860039444
461,198061.860076695
462,198061.860110682
463,198061.860133721
464,198061.861890856
465,198061.86191521
466,198061.861937314
467,198061.86195381
468,198061.862497435
469,198061.862514518
470,198061.862530083
471,198061.862542449
472,198062.150099712
473,198077.72601083
474,198081.05913013
475,198082.552848976
476,198082.5528995
477,198082.553521045
478,198083.908144046
479,198083.908152005
480,198083.908262549
481,198083.924043073
482,198083.958300463
483,198083.958326017
484,198083.958377738
485,198083.958469918
486,198083.964853518
487,198083.964885915
488,198083.964915474
489,198083.964935515
490,198083.966465273
491,198083.966486454
492,198083.966505678
493,198083.966520025
494,198083.966993554
495,198083.967008411
496,198083.967021948
497,198083.967032704
498,198084.217175258
499,198097.7946447
500,198100.70778244
501,198102.014054038
502,198102.014098232
503,198102.014641922
504,198103.199935043
505,198103.19994201
506,198103.20003875
507,198103.2138593
508,198103.243843896
509,198103.24386622
510,198103.243911484
511,198103.24399231
512,198103.249581768
513,198103.24961012
514,198103.249635989
515,198103.249653528
516,198103.250993452
517,198103.251011989
518,198103.251028813
519,198103.251041369
520,198103.251456326
521,198103.251469328
522,198103.251481175
523,198103.251490587
524,198103.470436483
525,198115.37724604
526,198117.93810007
527,198119.087026146
528,198119.087065025
529,198119.08754334
530,198120.130591066
531,198120.130597199
532,198120.130682341
533,198120.142854145
534,198120.169247826
535,198120.169267445
536,198120.169307283
537,198120.16937854
538,198120.174300205
539,198120.174325158
540,198120.174347926
541,198120.174363363
542,198120.175543567
543,198120.175559882
544,198120.175574689
545,198120.17558574
546,198120.17595138
547,198120.175962824
548,198120.175973251
549,198120.175981535
550,198120.368709152
551,198130.86809785
552,198133.13125688
553,198134.147130394
554,198134.147164777
555,198134.147587793
556,198135.070269118
557,198135.070274545
558,198135.070349872
559,198135.081124821
560,198135.10447872
561,198135.104496054
562,198135.104531299
563,198135.104594437
564,198135.108950514
565,198135.10897259
566,198135.108992734
567,198135.109006392
568,198135.110051254
569,198135.110065689
570,198135.11007879
571,198135.110088567
572,198135.110412391
573,198135.110422515
574,198135.11043174
575,198135.11043907
576,198135.280972208
577,198144.5863065
578,198146.59618205
579,198147.498782259
580,198147.498812814
581,198147.499188737
582,198148.319332969
583,198148.319337794
584,198148.319404758
585,198148.328988465
586,198148.349751931
587,198148.349767322
588,198148.349798655
589,198148.349854858
590,198148.353728736
591,198148.353748361
592,198148.353766269
593,198148.353778412
594,198148.354707838
595,198148.35472067
596,198148.354732316
597,198148.354741008
598,198148.355029146
599,198148.355038146
600,198148.355046347
601,198148.355052863
602,198148.506672195
603,198156.79236858
604,198158.58538961
605,198159.390952296
606,198159.390979571
607,198159.39131514
608,198160.123569061
609,198160.12357337
610,198160.123633165
611,198160.132194796
612,198160.150737137
613,198160.150750866
614,198160.150778845
615,198160.15082909
616,198160.15428935
617,198160.154306874
618,198160.154322865
619,198160.154333708
620,198160.155164077
621,198160.155175535
622,198160.155185935
623,198160.155193696
624,198160.155451196
625,198160.155459234
626,198160.155466557
627,198160.155472375
628,198160.290874212
629,198167.70062973
630,198169.30690431
631,198170.028857187
632,198170.028881635
633,198170.029182426
634,198170.685668336
635,198170.6856722
636,198170.685725813
637,198170.693405567
638,198170.710032565
639,198170.710044863
640,198170.71006995
641,198170.710115049
642,198170.713218506
643,198170.713234219
644,198170.713248557
645,198170.713258279
646,198170.714003169
647,198170.714013443
648,198170.714022768
649,198170.714029727
650,198170.714260777
651,198170.714267983
652,198170.714274549
653,198170.714279766
654,198170.835696632
655,198177.488759611
656,198178.93334671
657,198179.582872683
658,198179.582894681
659,198179.583165339
660,198180.17398568
661,198180.173989159
662,198180.174037414
663,198180.18095227
664,198180.195918855
665,198180.195929914
666,198180.195952494
667,198180.195993125
668,198180.19878717
669,198180.198801313
670,198180.198814218
671,198180.19882297
672,198180.19949371
673,198180.199502958
674,198180.19951135
675,198180.199517614
676,198180.199725711
677,198180.199732197
678,198180.199738107
679,198180.199742803
680,198180.309035948
681,198186.305032732
682,198187.60892513
683,198188.195398061
684,198188.195417927
685,198188.195662346
686,198188.729290466
687,198188.729293609
688,198188.729337196
689,198188.735585378
690,198188.749105443
691,198188.749115425
692,198188.749135822
693,198188.749172554
694,198188.751696969
695,198188.751709744
696,198188.751721401
697,198188.751729306
698,198188.752335413
699,198188.752343767
700,198188.752351348
701,198188.752357006
702,198188.752545088
703,198188.752550947
704,198188.752556286
705,198188.752560528
706,198188.851291619
707,198194.273977107
708,198195.454868174
709,198195.986193024
710,198195.986211023
711,198195.986432489
712,198196.470017975
713,198196.470020823
714,198196.470060327
715,198196.475724794
716,198196.487978876
717,198196.487987917
718,198196.488006402
719,198196.488039719
720,198196.490328094
721,198196.490339672
722,198196.490350237
723,198196.490357402
724,198196.490906913
725,198196.490914484
726,198196.490921355
727,198196.490926483
728,198196.491097034
729,198196.491102344
730,198196.491107183
731,198196.491111027
732,198196.580598192
733,198201.500795957
734,198202.573682889
735,198203.056563512
736,198203.056579873
737,198203.056781172
738,198203.496390454
739,198203.496393044
740,198203.496428958
741,198203.501580167
742,198203.512721497
743,198203.512729711
744,198203.512746517
745,198203.512776828
746,198203.514857684
747,198203.51486821
748,198203.514877815
749,198203.514884329
750,198203.515384072
751,198203.515390955
752,198203.515397202
753,198203.515401864
754,198203.515556994
755,198203.515561822
756,198203.515566221
757,198203.515569716
758,198203.596931727
759,198208.074857814
760,198209.052519998
761,198209.492671689
762,198209.492686603
763,198209.492870111
764,198209.89367756
765,198209.893679921
766,198209.893712668
767,198209.898410762
768,198209.908570076
769,198209.908577561
770,198209.908592885
771,198209.908620541
772,198209.910518219
773,198209.910527816
774,198209.910536574
775,198209.910542514
776,198209.910998318
777,198209.911004594
778,198209.91101029
779,198209.911014541
780,198209.911156053
781,198209.911160455
782,198209.911164466
783,198209.911167653
784,198209.98535904
785,198214.072472787
786,198214.965854023
787,198215.36817342
788,198215.368187054
789,198215.368354807
790,198215.734795618
791,198215.734797777
792,198215.734827718
793,198215.73912429
794,198215.748413674
795,198215.748420514
796,198215.748434526
797,198215.748459827
798,198215.750195203
799,198215.750203978
800,198215.750211986
801,198215.750217417
802,198215.750634283
803,198215.750640021
804,198215.750645229
805,198215.750649116
806,198215.750778556
807,198215.750782581
808,198215.750786248
809,198215.750789162
810,198215.818628313
811,198219.559117109
812,198220.377633125
813,198220.746335003
814,198220.746347499
815,198220.746501251
816,198221.08239462
817,198221.082396599
818,198221.082424046
819,198221.086363553
820,198221.09487955
821,198221.094885817
822,198221.094898662
823,198221.094921867
824,198221.096512929
825,198221.096520973
826,198221.096528314
827,198221.096533293
828,198221.096915528
829,198221.096920789
830,198221.096925563
831,198221.096929126
832,198221.097047828
833,198221.097051518
834,198221.09705488
835,198221.097057551
836,198221.159249364
837,198310.66637
838,470310.0
839,481301.5
840,509090.0
841,514473.5
842,516775.0
