index,energy_cm-1
199,301486.0
200,301588.0
201,301976.0
202,302142.0
203,302419.0
204,302458.0
205,302686.0
206,302830.0
207,303233.0
208,303401.0
209,303683.0
210,303739.0
211,303974.0
212,304054.0
213,304090.0
214,304371.0
215,304451.0
216,304547.0
217,304609.0
218,304767.0
219,304825.0
220,304942.0
221,305047.0
222,305143.0
223,305214.0
224,305232.0
225,305319.0
226,305357.0
227,305407.0
228,305506.0
229,305562.0
230,305647.0
231,305689.0
232,305764.0
233,305848.0
234,305897.0
235,305963.0
236,306116.0
237,306168.0
238,306269.0
239,306326.0
240,306373.77
241,306443.0
242,306524.0
243,306712.0
244,306899.0
245,307031.0
246,307112.0
247,307139.07
248,307204.0
249,307267.0
250,307312.0
251,307352.0
252,307403.0
253,307524.0
254,307731.07
255,307802.0
256,308195.0
257,308378.0
258,308641.0
259,308773.0
260,308948.0
261,309044.0
262,309173.0
263,309247.0
264,309346.0
265,309403.0
266,309473.0
267,309524.0
268,309588.0
269,309613.0
270,309693.0
271,309751.0
272,309799.0
273,309837.0
274,309885.0
275,309914.0
276,310212.41
277,310981.0
278,312356.0
279,323830.0
280,326840.0
281,329865.0
282,331379.0
283,332292.0
284,332502.0
285,332863.0
286,333059.0
287,333240.0
288,333518.0
289,333728.0
290,333866.0
291,333985.0
292,334044.0
293,334085.0
294,334169.0
295,334213.0
296,334616.0
297,336010.0
298,336259.0
299,336723.0
300,337257.0
301,337418.0
302,338149.0
303,338169.0
304,338301.0
305,338845.0
306,338857.0
307,338995.0
308,339248.0
309,339271.0
310,339512.0
311,339570.0
312,339628.0
313,339928.0
314,339928.0
315,340171.0
316,340194.0
317,340379.0
318,340402.0
319,340553.0
320,340553.0
321,340669.0
322,340704.0
323,340762.0
324,340820.0
325,340948.0
326,341018.0
327,341111.0
328,341200.0
329,341380.0
330,341410.0
331,341530.0
332,342614.0
333,345479.0
334,347026.0
335,347923.0
336,348500.0
337,348893.0
338,349166.0
339,349382.0
340,349516.0
341,349638.0
342,349736.0
343,349822.0
344,349871.0
345,349932.0
346,349981.0
347,350005.0
348,350016.0
349,350447.0
350,351753.0
351,355619.0
352,360826.0
353,361126.0
354,361418.0
355,362050.0
356,362201.0
357,362858.0
358,364766.0
359,364990.0
360,366205.0
361,366206.0
362,366425.0
363,366932.0
364,367215.0
365,367404.0
366,367954.0
367,368287.0
368,368745.0
369,368745.0
370,368949.0
371,369031.0
372,369331.0
373,369454.0
374,369645.0
375,369992.0
376,370096.0
377,370137.0
378,370206.0
379,370288.0
380,370535.0
381,370631.0
382,370645.0
383,370824.0
384,370906.0
385,371016.0
386,371016.0
387,371237.0
388,371237.0
389,371443.0
390,371471.0
391,371554.0
392,371568.0
393,371664.0
394,371830.0
395,371941.0
396,371941.0
397,371941.0
398,372148.0
399,372218.0
400,372273.0
401,372398.0
402,372550.0
403,372606.0
404,372662.0
405,372759.0
406,372800.0
407,373051.0
408,373176.0
409,373371.0
410,373455.0
411,373608.0
412,373636.0
413,373776.0
414,373916.0
415,374000.0
416,374070.0
417,535330.0
418,546600.0
419,559600.0
420,572350.0
421,575750.0
422,586200.0
423,591400.0
424,594600.0
425,596400.0
426,600000.0
427,618900.0
428,629700.0
429,636600.0
