source_file,target,component,source_separation_fm,nominal_separation_group,n_points,x_min_fm,x_max_fm,peak_field_GeV2,center_field_GeV2,fwhm_estimate_fm,area_trapz_GeV2_fm,data_status
Ex_NP_d0.9fm_scaling_normfact.agr,G0.S3,NP,0.959,0.9 fm,31,-1.107463,1.107463,0.19881185,0.19881185,0.6356258919985811,0.15806647000836202,computed_from_pointwise_profile
beta7.158dist13.agr,G0.S0,PAPER_DEFINED,0.96,dist13 group,31,-1.107463,1.107463,0.292766,0.292766,0.6454006485981308,0.218839259202,computed_from_pointwise_profile
Ex_FULL_d1.0fm_scaling_normfact.agr,G0.S1,FULL,1.013,1.0 fm,21,-1.446924,1.446924,0.22909084,0.22909084,0.6620585221265682,0.17374038181483956,computed_from_pointwise_profile
Ex_FULL_d1.0fm_scaling_normfact.agr,G0.S2,FULL,1.013,1.0 fm,29,-1.773209,1.773209,0.23692821,0.23692821,0.6300874547142549,0.1785463965815066,computed_from_pointwise_profile
Ex_NP_d1.0fm_scaling_normfact.agr,G0.S1,NP,1.013,1.0 fm,21,-1.446924,1.446924,0.17086286,0.17086286,0.6476459640519392,0.10657672576513291,computed_from_pointwise_profile
Ex_NP_d1.0fm_scaling_normfact.agr,G0.S2,NP,1.013,1.0 fm,29,-1.773209,1.773209,0.19197139,0.19197139,0.6731984002625255,0.1535793913105851,computed_from_pointwise_profile
Ex_NP_d1.0fm_scaling_normfact.agr,G0.S4,NP,1.033,1.0 fm,37,-1.328956,1.328956,0.43990352,0.43990352,2.458020903058844,0.64593757628961,computed_from_pointwise_profile
Ex_FULL_d1.0fm_scaling_normfact.agr,G0.S3,FULL,1.045,1.0 fm,29,-1.329687,1.329687,0.19528744,0.19528744,0.6372443926305861,0.15889882817855383,computed_from_pointwise_profile
Ex_NP_d1.0fm_scaling_normfact.agr,G0.S3,NP,1.045,1.0 fm,29,-1.329687,1.329687,0.12597498,0.12399898,0.7226924014087096,0.1318110206188692,computed_from_pointwise_profile
Ex_FULL_d1.0fm_scaling_normfact.agr,G0.S0,FULL,1.06,1.0 fm,29,-2.128424,2.128424,0.21433864,0.21433864,0.6633690036360518,0.16592819677109377,computed_from_pointwise_profile
Ex_NP_d1.0fm_scaling_normfact.agr,G0.S0,NP,1.06,1.0 fm,29,-2.128424,2.128424,0.1706359,0.1706359,0.6756937372320418,0.14305913053193658,computed_from_pointwise_profile
beta6.3942dist789.agr,G0.S0,PAPER_DEFINED,1.064,dist7/8/9 group,29,-2.128424,2.128424,0.27671,0.27671,0.6633690028493805,0.21421238161199999,computed_from_pointwise_profile
QCD_large_distances.agr,G0.S0,PAPER_DEFINED,1.216,large-distance group,29,-2.128424,2.128424,0.14081548,0.14081548,0.7082675669704724,0.11031117768970032,computed_from_pointwise_profile
beta6.3942dist789.agr,G0.S1,PAPER_DEFINED,1.216,dist7/8/9 group,29,-2.128424,2.128424,0.181792,0.181792,0.7082675746033436,0.142411117871,computed_from_pointwise_profile
QCD_large_distances.agr,G0.S1,PAPER_DEFINED,1.235,large-distance group,28,-1.23471,1.329687,0.562076,0.562076,0.5384805745809043,0.4239095404170699,computed_from_pointwise_profile
QCD_large_distances.agr,G0.S2,PAPER_DEFINED,1.267,large-distance group,29,-1.773209,1.773209,0.44159369,0.44159369,1.2719809956676815,0.562948465071215,computed_from_pointwise_profile
QCD_large_distances.agr,G0.S3,PAPER_DEFINED,1.368,large-distance group,29,-2.128424,2.128424,0.19634709,0.07490892,4.171060525898561,0.17583183938168398,computed_from_pointwise_profile
beta6.3942dist789.agr,G0.S2,PAPER_DEFINED,1.368,dist7/8/9 group,29,-2.128424,2.128424,0.253483,0.096707,4.17106052520508,0.226997933815,computed_from_pointwise_profile
