source_file,component,source_separation_fm,nominal_separation_group,n_points,peak_field_GeV2,fwhm_estimate_fm,area_trapz_GeV2_fm,data_status,target,center_field_GeV2,group_peak_median,peak_to_group_median,qc_decision,qc_reason
Ex_NP_d0.9fm_scaling_normfact.agr,NP,0.95,0.9 fm,21,0.20093115,0.6569889572419455,0.15411506167500083,parsed_from_extension_report_summary_table,,,0.20093115,1.0,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.9fm_scaling_normfact.agr,FULL,0.959,0.9 fm,31,0.22677557,0.645400650224002,0.1695121613491086,parsed_from_extension_report_summary_table,,,0.27254803,0.8320572707863638,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.9fm_scaling_normfact.agr,NP,0.959,0.9 fm,31,0.19881185,0.6356258919985811,0.15806647000836202,parsed_from_extension_report_summary_table,,,0.20093115,0.9894526060294783,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d1.0fm_scaling_normfact.agr,FULL,1.013,1.0 fm,21,0.22909084,0.6620585221265682,0.17374038181483956,parsed_from_extension_report_summary_table,,,0.22171474,1.033268424102069,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d1.0fm_scaling_normfact.agr,FULL,1.013,1.0 fm,29,0.23692821,0.6300874547142549,0.1785463965815066,parsed_from_extension_report_summary_table,,,0.22171474,1.0686173143021525,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d1.0fm_scaling_normfact.agr,NP,1.013,1.0 fm,21,0.17086286,0.6476459640519392,0.10657672576513291,parsed_from_extension_report_summary_table,,,0.17086286,1.0,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d1.0fm_scaling_normfact.agr,NP,1.013,1.0 fm,29,0.19197139,0.6731984002625255,0.1535793913105851,parsed_from_extension_report_summary_table,,,0.17086286,1.1235407741623895,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d1.0fm_scaling_normfact.agr,FULL,1.045,1.0 fm,29,0.19528744,0.6372443926305861,0.15889882817855383,parsed_from_extension_report_summary_table,,,0.22171474,0.8808049478352229,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d1.0fm_scaling_normfact.agr,NP,1.045,1.0 fm,29,0.12597498,0.7226924014087096,0.1318110206188692,parsed_from_extension_report_summary_table,,,0.17086286,0.7372870850926877,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d1.0fm_scaling_normfact.agr,FULL,1.06,1.0 fm,29,0.21433864,0.6633690036360518,0.16592819677109377,parsed_from_extension_report_summary_table,,,0.22171474,0.9667315758979308,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d1.0fm_scaling_normfact.agr,NP,1.06,1.0 fm,29,0.1706359,0.6756937372320418,0.14305913053193658,parsed_from_extension_report_summary_table,,,0.17086286,0.9986716832435089,ACCEPT_FOR_TREND,passes_basic_qc
