x_mpc,y_mpc,z_mpc
-193.1938,68.7886,98.5620
-191.5080,64.6894,104.4521
-177.2691,-135.3012,45.1632
-188.1786,118.2004,48.8726
-69.0382,-145.3217,160.8933
-96.3295,18.7509,205.2817
195.1575,-116.8997,-4.5052
-185.7432,-130.7442,13.3750
-134.9507,-156.9857,94.4343
-175.9625,-140.2618,33.7423
-194.3633,-71.3784,94.3601
-162.9061,-149.1561,54.6800
221.8866,35.5359,-35.7690
-153.8878,-120.8858,116.1109
-87.3367,-176.0274,114.7330
-150.3412,43.8094,165.0937
-163.0788,114.3756,110.0059
-22.6479,-97.6381,204.2842
-55.7520,-121.7925,183.9472
-75.7172,177.7724,120.1790
-93.3436,-170.5383,118.2516
148.5217,172.3634,-3.5791
-96.8246,122.2812,165.6900
-177.0139,-126.4968,66.6754
-148.5386,49.8619,165.0202
-165.9479,-3.1760,155.6701
-90.9860,105.9488,179.6619
-123.8245,186.9341,38.7988
227.4346,7.0743,2.4553
-191.1934,-2.6973,123.3710
-165.6933,-78.9852,134.4992
-139.3275,-143.3875,108.6780
-88.4316,171.6521,120.4106
-164.5748,68.7578,141.3187
214.0168,-77.2802,-2.9128
206.7526,75.1020,58.2837
-151.0828,-170.1555,-2.2905
-209.0726,76.3675,47.3474
-163.7490,-37.6554,153.4717
-171.4864,-67.1505,133.6750
-218.1340,61.4258,20.7576
-68.7995,122.5301,178.9958
-160.8282,78.2479,140.7063
-169.5438,-110.8855,103.6631
-211.4168,71.0007,45.2655
-138.7490,61.6817,169.5037
-156.3397,-150.4018,68.7411
-175.0671,-132.9046,58.9618
-169.6169,151.7139,1.3514
-165.3995,-1.8510,156.2959
-72.1781,112.8066,183.9942
-115.3238,-181.5708,74.3101
-214.8679,-74.8287,4.7525
-181.5447,-137.0118,-7.7105
-165.2904,-90.2101,127.7946
221.0477,40.1655,-36.2732
206.7075,-86.9595,-38.7457
-61.2691,-183.6444,119.6336
-176.4400,-140.1342,31.9821
-195.3744,115.6664,15.5510
-103.5283,-112.1482,168.8092
-169.6368,133.5108,72.0475
-173.5331,147.2386,-0.8521
-71.4533,-172.2170,130.4969
-141.0370,-133.5133,118.6473
216.0791,67.4955,-23.4611
-111.4819,187.5985,64.6146
-175.3449,-129.6432,65.1434
-226.6079,18.4410,-10.2987
-149.8745,-171.2134,-4.6497
-206.7320,95.1505,2.5454
-193.4977,-117.7816,22.0128
-163.6135,-145.0133,63.2479
-163.4801,-96.2252,125.7527
-69.9454,143.3525,162.3474
-88.1642,126.5125,167.3959
-164.6438,155.4431,23.0136
-155.0003,35.5250,162.8291
-198.7494,62.7992,91.4085
-218.2649,-52.6800,37.2288
-215.3889,-63.2993,37.4539
-222.2993,6.5870,48.4001
-137.8375,-35.9353,177.5186
212.2377,56.6773,59.5523
222.7211,46.6932,-4.3569
-114.4776,-196.0560,16.1681
-95.3953,-180.2542,101.0591
-193.3372,57.6946,105.3416
119.0982,193.9594,-0.5475
144.4649,-173.7230,-27.4861
-180.2455,-135.9477,28.9057
-187.0329,-5.7162,129.5831
-188.4150,-127.5429,6.3203
217.2573,54.6880,-40.2014
-214.9785,-74.5790,5.4714
-147.6479,-134.6653,108.9653
-188.7822,-8.4180,126.8810
-64.6959,-188.0264,110.7657
220.6239,40.3658,-38.7864
-187.6770,-9.3095,128.4500
-117.9842,145.9925,128.7429
161.3302,107.4945,119.2751
-175.6065,-139.7392,38.0061
-211.7817,68.3364,47.8390
-169.5212,-51.4524,142.9169
-173.5345,-112.2732,95.3456
-55.8366,-207.5245,75.0102
-192.2191,-121.2024,-13.1639
-122.2482,-20.5703,190.9027
218.1394,53.8925,-36.3805
-190.9615,-123.8829,-0.2012
-145.6918,-174.5777,-10.4965
121.1380,192.7099,-1.5012
179.4553,139.9593,-4.5963
-190.3135,94.8573,81.2225
181.9790,133.0699,-31.4707
-104.8614,-30.2358,199.7617
-133.8646,155.5364,98.5085
-125.6534,-185.3712,40.7941
-184.6640,-133.0580,3.2204
-215.0982,-74.2703,5.6940
214.7692,67.2544,-34.1583
-176.8977,141.4578,22.6433
181.3494,133.1242,-34.7379
146.8416,173.8955,-3.8521
-189.7071,7.6837,125.5760
-155.5952,7.4877,165.9857
-141.6782,113.8929,137.0146
-111.8417,-185.0657,71.1387
-198.2398,50.4310,99.8876
-140.9879,-34.9422,175.2752
-153.7322,27.4945,165.6253
-179.0259,-137.6210,28.8519
227.5974,2.8670,3.7630
-159.5898,81.7830,140.2364
-213.9261,40.9120,66.2226
218.9346,-62.1286,5.6031
-203.9036,-1.2947,101.2278
-195.7719,108.5477,41.4353
-73.1791,141.7570,162.4070
-85.1700,126.4644,169.0553
198.8201,110.8006,-4.6367
-160.3220,-117.1747,111.3364
-182.5495,-134.7814,18.4038
206.3541,96.0698,4.2829
-107.4360,121.3466,159.8865
-187.9897,-127.5007,15.3206
178.5361,141.2652,0.8444
156.3159,-165.4805,-3.6677
-172.8900,109.9491,99.2583
-189.0352,-52.2946,115.6022
-157.7556,-80.0230,143.3286
-84.7909,130.8177,165.9243
-123.2495,138.3580,132.2889
-162.4781,-146.5189,62.9828
-182.0056,-92.0129,101.2008
-167.6598,-3.2282,153.9936
-86.3657,-176.1251,115.5650
-125.6949,176.4759,69.9423
-153.6586,1.9975,167.9882
184.4829,-129.4361,-32.3672
-171.9689,129.9351,73.3409
-162.2069,-8.7641,159.5248
-132.8671,-32.2848,182.0454
-88.5191,126.7190,167.1624
-56.6010,-202.8321,86.5584
-189.2276,45.1973,118.2729
-167.4682,-3.7843,154.2041
-207.5430,-87.3288,33.7460
-214.3100,-66.2028,39.0857
-98.1585,-183.2516,92.8615
-214.8181,69.0588,30.3954
201.0752,-106.7688,-3.2341
-211.0993,75.7954,39.1693
-67.6197,-188.7779,107.8568
-187.9725,-128.4087,4.4952
-91.8457,117.8686,171.7967
-198.1260,91.8435,64.4493
-153.2649,150.2409,76.0327
-47.0767,-159.3383,155.6883
-215.4277,-63.9070,36.7717
-209.2705,75.4528,48.5647
-76.6593,138.5305,163.6437
141.6126,178.2984,-1.4828
-111.7146,-185.0928,71.4674
-167.5431,75.6557,134.3615
-152.3067,-151.0743,76.3352
213.8818,-78.0354,-3.6799
-157.5623,91.7722,136.3840
-90.7458,112.0837,176.2134
-125.2457,138.4389,130.3744
-86.6818,131.8073,164.2027
221.1024,40.4989,-36.3790
-227.4514,-6.4638,-8.6019
-157.6507,85.2556,140.4565
-218.5902,-47.1851,42.9237
-149.0092,4.1441,172.1329
-142.8665,-147.7297,98.0605
-210.0686,-74.9067,45.9459
-169.0477,-29.1950,149.7388
-214.1818,-66.9660,38.6420
-121.5687,-180.7358,66.3940
-91.3074,-194.2620,76.0246
-139.2770,-143.6616,108.7097
-115.6067,114.4154,159.3707
-167.0503,-109.2232,109.6331
-202.2779,91.4143,50.8148
-190.6209,-124.5097,-4.1189
-221.0898,-30.9639,44.9178
-184.9016,-124.2948,47.1159
217.7708,-66.5706,1.4456
-123.7234,138.1689,132.1358
-137.7013,133.5843,122.6856
-82.1684,-205.6193,53.1733
-162.6040,-146.6860,62.4625
-220.6547,-46.2471,32.1115
-118.7713,192.4257,26.9202
-164.1444,56.4276,147.4168
189.1883,121.3814,-36.5206
-114.4825,187.6163,59.6121
221.6314,-52.2722,-2.6270
-59.6751,-207.2491,73.1238
-93.2138,-170.9364,118.1202
-87.1177,127.1054,167.6757
-69.3888,141.3772,164.4936
211.6741,-77.8068,-31.6336
211.2999,-21.7610,82.0932
122.0845,192.2285,-2.0708
222.2733,49.4605,-3.0529
-182.7996,-98.2932,93.7229
-172.1602,135.8310,61.4200
-150.2232,-167.3403,35.9446
-107.6369,-142.0505,141.7672
-112.5532,19.4532,197.0169
-148.9306,-131.8788,110.8618
-130.2958,-56.9918,177.8701
-157.0244,-33.5293,161.4995
-118.1483,145.6408,129.2006
-124.9119,64.4335,179.1935
-167.6474,-111.0216,106.9322
-111.6822,190.4234,55.9676
-185.8802,-101.7054,83.4936
-196.1215,-4.6180,115.6800
-63.5123,-124.4004,179.8836
-214.3325,37.4899,67.2637
-130.9328,64.9257,174.6713
-200.2058,87.2279,64.6359
-72.7389,110.8803,185.1584
-181.9817,-136.7599,-6.9778
-171.8324,-138.2516,56.8291
-174.7373,-130.9164,64.7869
160.8310,-155.8226,41.5054
-201.1923,79.6501,71.0484
-154.2059,-121.6674,115.2758
-119.4822,-154.7156,116.8701
226.8589,-19.7247,4.2909
-74.2098,-208.6901,53.0452
-88.2036,-174.5872,116.6713
-211.1986,73.4075,43.3593
-123.4759,179.5607,66.2230
-204.1073,-100.1174,-13.8226
-123.6393,138.3568,132.0801
-135.2125,-134.7041,124.2864
-153.3804,29.4777,165.7721
-213.4534,69.6804,38.1746
-162.9253,-154.8053,36.9660
-220.2427,-36.5600,45.0865
-165.2013,106.7240,114.8690
-119.1298,1.8501,194.1181
-158.3233,2.1932,163.7264
156.5807,-165.3919,-2.5367
-212.0075,72.0254,41.7574
-150.2649,-14.2685,170.5743
-92.0760,196.2352,69.9523
170.7788,150.6355,-4.8786
-158.9163,5.1951,163.0937
-166.0340,-149.1454,45.4999
-221.4186,51.6701,13.6388
-168.9899,-132.2305,76.4183
-219.6981,23.4422,55.3755
-164.9899,-150.6243,44.4301
-153.8730,56.6184,158.1173
-167.0310,76.9987,134.3735
-59.4857,-206.4203,75.7454
-108.5442,-189.7799,63.9310
122.7511,191.8672,-2.3598
-213.7542,-73.6232,27.8432
-223.8769,39.3648,14.7198
-86.8706,-176.9280,114.1810
-126.5230,-11.4946,189.0699
199.1537,96.8897,53.2728
213.4486,79.4928,-2.9463
-110.9974,-157.8620,121.0271
-109.2582,123.3726,157.2592
-59.8219,-106.6423,192.1915
-223.4447,41.7300,14.8384
-141.5613,-147.5829,100.3433
-159.6162,160.9735,22.3691
-200.8300,-104.4525,25.4403
156.4672,-165.5167,-3.5333
-162.7316,-0.1942,159.4012
-188.6713,-126.8781,14.0361
-55.2228,-203.8103,85.4704
-126.9172,8.0134,189.0017
-133.1951,-133.9687,127.3002
207.3753,-93.2810,-13.7181
-193.3463,-120.4035,-3.7981
-166.2898,-149.7857,42.5080
-76.3854,139.5005,163.0985
189.3375,121.7063,-35.1476
-124.2259,185.8163,44.0164
-147.5146,-173.3208,-9.8680
-153.3826,20.7260,167.1595
-164.7383,106.7773,115.5782
-137.3741,-135.1729,121.4720
-159.0741,-150.1443,63.6491
-92.8274,-200.2150,56.5433
-156.6884,-164.9794,11.4507
-199.9859,60.1310,91.0526
-111.8772,138.9730,141.6710
-148.2088,-168.0964,40.9709
-162.7837,-149.8975,54.1580
-120.9233,138.2025,134.8295
-197.2610,69.4516,90.3677
-80.1797,123.4955,173.8453
-209.5309,75.3865,48.1293
125.8440,189.8631,-4.4087
-200.8637,68.0979,83.1971
185.8166,-50.9528,121.5801
-165.0314,-70.5551,140.3317
-218.6399,1.9941,64.0264
-198.7233,61.0671,93.2042
-184.8702,103.0515,84.3312
-163.8225,-45.8303,151.5612
-145.9049,-133.3907,113.2606
-204.9447,86.5955,49.0752
-213.2721,-69.8757,39.2744
-113.5226,-196.2023,22.9655
-89.3451,127.8618,166.0693
-155.1942,35.4367,163.0021
-147.9999,-172.9449,9.8546
-99.4260,-163.9775,123.0326
-193.6755,89.9342,79.4541
-89.0191,126.2925,167.4456
218.7313,-63.6593,4.0677
-149.7533,3.8518,171.6731
-175.7584,-124.7926,73.8154
-154.1970,1.9429,167.7285
-164.9025,106.5964,115.5794
-158.8359,-96.6030,131.7325
-105.7471,-7.8947,201.6683
-177.6024,142.4358,9.1938
214.1286,77.8683,1.0952
-123.8582,-6.8951,191.1212
-167.9093,154.0111,1.6894
-209.8571,-84.3264,27.6727
-164.9832,-143.2566,64.6156
-221.8981,8.2724,51.0912
-174.8365,-130.9004,64.9236
91.7912,182.4371,101.0444
178.8120,141.1563,-4.5659
-136.3805,60.4416,172.2425
213.4860,79.5929,-3.0974
-226.8804,18.0995,-10.8990
-168.9680,-28.7653,150.1462
-154.6468,111.9025,124.4355
-193.5624,63.7247,101.9559
-200.4140,14.2091,107.4956
-156.7864,-123.6771,109.7501
182.7105,132.2759,-32.2997
-21.3560,-92.5715,207.1203
-22.4924,-95.9864,205.4389
-208.8373,-0.4561,91.1666
17.2415,227.2032,2.5781
182.4477,135.0785,-19.7986
-94.0893,-170.4319,118.4311
-185.7741,-127.8387,32.7324
-215.2386,-64.5573,37.8305
-186.7462,-167.1197,42.9015
-171.1741,-144.0393,120.8138
-216.9409,-22.2549,130.7134
-125.4638,-8.9550,220.9603
-73.9574,-201.4212,136.3989
-38.1541,-182.0634,173.3264
-198.8000,-119.2126,104.4598
-103.0489,213.4140,92.0887
-194.6061,-116.9061,114.4830
-196.9707,51.9190,152.1580
-192.7955,57.5421,155.4475
-211.2256,140.9212,13.0656
-216.7560,129.4832,29.9502
-176.6194,-74.6407,166.9752
-137.6760,-97.8531,190.0481
-94.2261,-199.4088,126.5193
-174.2974,-106.7525,151.2422
-172.8613,-72.9605,171.5979
-81.4070,-223.1454,90.7174
-216.3174,124.3705,48.8852
-217.2467,-26.9347,129.3456
-213.7305,103.5016,90.8799
-70.9082,-193.0313,149.5460
-195.9568,-116.2051,112.9193
-172.8149,-56.0472,177.8970
218.0108,-126.6188,-33.0595
-85.2933,149.7394,186.9691
-180.6149,78.9152,160.6441
251.6118,36.2824,5.5838
