B_T,Configuration,Term,J,mJ,Lande_g,Level0_cm1,LevelB_cm1
0.4,4d105s,2S,1/2,-0.5,2.0,0.0,-0.1867456
0.4,4d105s,2S,1/2,0.5,2.0,0.0,0.1867456
0.41,4d105s,2S,1/2,-0.5,2.0,0.0,-0.1914142
0.41,4d105s,2S,1/2,0.5,2.0,0.0,0.1914142
0.42,4d105s,2S,1/2,-0.5,2.0,0.0,-0.1960829
0.42,4d105s,2S,1/2,0.5,2.0,0.0,0.1960829
0.43,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2007515
0.43,4d105s,2S,1/2,0.5,2.0,0.0,0.2007515
0.44,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2054202
0.44,4d105s,2S,1/2,0.5,2.0,0.0,0.2054202
0.45,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2100888
0.45,4d105s,2S,1/2,0.5,2.0,0.0,0.2100888
0.46,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2147574
0.46,4d105s,2S,1/2,0.5,2.0,0.0,0.2147574
0.47,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2194261
0.47,4d105s,2S,1/2,0.5,2.0,0.0,0.2194261
0.48,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2240947
0.48,4d105s,2S,1/2,0.5,2.0,0.0,0.2240947
0.49,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2287634
0.49,4d105s,2S,1/2,0.5,2.0,0.0,0.2287634
0.5,4d105s,2S,1/2,-0.5,2.0,0.0,-0.233432
0.5,4d105s,2S,1/2,0.5,2.0,0.0,0.233432
0.51,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2381006
0.51,4d105s,2S,1/2,0.5,2.0,0.0,0.2381006
0.52,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2427693
0.52,4d105s,2S,1/2,0.5,2.0,0.0,0.2427693
0.53,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2474379
0.53,4d105s,2S,1/2,0.5,2.0,0.0,0.2474379
0.54,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2521066
0.54,4d105s,2S,1/2,0.5,2.0,0.0,0.2521066
0.55,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2567752
0.55,4d105s,2S,1/2,0.5,2.0,0.0,0.2567752
0.56,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2614438
0.56,4d105s,2S,1/2,0.5,2.0,0.0,0.2614438
0.57,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2661125
0.57,4d105s,2S,1/2,0.5,2.0,0.0,0.2661125
0.58,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2707811
0.58,4d105s,2S,1/2,0.5,2.0,0.0,0.2707811
0.59,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2754498
0.59,4d105s,2S,1/2,0.5,2.0,0.0,0.2754498
0.6,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2801184
0.6,4d105s,2S,1/2,0.5,2.0,0.0,0.2801184
0.61,4d105s,2S,1/2,-0.5,2.0,0.0,-0.284787
0.61,4d105s,2S,1/2,0.5,2.0,0.0,0.284787
0.62,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2894557
0.62,4d105s,2S,1/2,0.5,2.0,0.0,0.2894557
0.63,4d105s,2S,1/2,-0.5,2.0,0.0,-0.2941243
0.63,4d105s,2S,1/2,0.5,2.0,0.0,0.2941243
0.64,4d105s,2S,1/2,-0.5,2.0,0.0,-0.298793
0.64,4d105s,2S,1/2,0.5,2.0,0.0,0.298793
0.65,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3034616
0.65,4d105s,2S,1/2,0.5,2.0,0.0,0.3034616
0.66,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3081302
0.66,4d105s,2S,1/2,0.5,2.0,0.0,0.3081302
0.67,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3127989
0.67,4d105s,2S,1/2,0.5,2.0,0.0,0.3127989
0.68,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3174675
0.68,4d105s,2S,1/2,0.5,2.0,0.0,0.3174675
0.69,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3221362
0.69,4d105s,2S,1/2,0.5,2.0,0.0,0.3221362
0.7,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3268048
0.7,4d105s,2S,1/2,0.5,2.0,0.0,0.3268048
0.71,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3314734
0.71,4d105s,2S,1/2,0.5,2.0,0.0,0.3314734
0.72,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3361421
0.72,4d105s,2S,1/2,0.5,2.0,0.0,0.3361421
0.73,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3408107
0.73,4d105s,2S,1/2,0.5,2.0,0.0,0.3408107
0.74,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3454794
0.74,4d105s,2S,1/2,0.5,2.0,0.0,0.3454794
0.75,4d105s,2S,1/2,-0.5,2.0,0.0,-0.350148
0.75,4d105s,2S,1/2,0.5,2.0,0.0,0.350148
0.76,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3548166
0.76,4d105s,2S,1/2,0.5,2.0,0.0,0.3548166
0.77,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3594853
0.77,4d105s,2S,1/2,0.5,2.0,0.0,0.3594853
0.78,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3641539
0.78,4d105s,2S,1/2,0.5,2.0,0.0,0.3641539
0.79,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3688226
0.79,4d105s,2S,1/2,0.5,2.0,0.0,0.3688226
0.8,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3734912
0.8,4d105s,2S,1/2,0.5,2.0,0.0,0.3734912
0.81,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3781598
0.81,4d105s,2S,1/2,0.5,2.0,0.0,0.3781598
0.82,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3828285
0.82,4d105s,2S,1/2,0.5,2.0,0.0,0.3828285
0.83,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3874971
0.83,4d105s,2S,1/2,0.5,2.0,0.0,0.3874971
0.84,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3921658
0.84,4d105s,2S,1/2,0.5,2.0,0.0,0.3921658
0.85,4d105s,2S,1/2,-0.5,2.0,0.0,-0.3968344
0.85,4d105s,2S,1/2,0.5,2.0,0.0,0.3968344
0.86,4d105s,2S,1/2,-0.5,2.0,0.0,-0.401503
0.86,4d105s,2S,1/2,0.5,2.0,0.0,0.401503
0.87,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4061717
0.87,4d105s,2S,1/2,0.5,2.0,0.0,0.4061717
0.88,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4108403
0.88,4d105s,2S,1/2,0.5,2.0,0.0,0.4108403
0.89,4d105s,2S,1/2,-0.5,2.0,0.0,-0.415509
0.89,4d105s,2S,1/2,0.5,2.0,0.0,0.415509
0.9,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4201776
0.9,4d105s,2S,1/2,0.5,2.0,0.0,0.4201776
0.91,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4248462
0.91,4d105s,2S,1/2,0.5,2.0,0.0,0.4248462
0.92,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4295149
0.92,4d105s,2S,1/2,0.5,2.0,0.0,0.4295149
0.93,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4341835
0.93,4d105s,2S,1/2,0.5,2.0,0.0,0.4341835
0.94,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4388522
0.94,4d105s,2S,1/2,0.5,2.0,0.0,0.4388522
0.95,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4435208
0.95,4d105s,2S,1/2,0.5,2.0,0.0,0.4435208
0.96,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4481894
0.96,4d105s,2S,1/2,0.5,2.0,0.0,0.4481894
0.97,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4528581
0.97,4d105s,2S,1/2,0.5,2.0,0.0,0.4528581
0.98,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4575267
0.98,4d105s,2S,1/2,0.5,2.0,0.0,0.4575267
0.99,4d105s,2S,1/2,-0.5,2.0,0.0,-0.4621954
0.99,4d105s,2S,1/2,0.5,2.0,0.0,0.4621954
1.0,4d105s,2S,1/2,-0.5,2.0,0.0,-0.466864
1.0,4d105s,2S,1/2,0.5,2.0,0.0,0.466864
0.0,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.05741
0.0,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.05741
0.01,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0558538
0.01,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0589662
0.02,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0542976
0.02,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0605224
0.03,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0527414
0.03,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0620786
0.04,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0511851
0.04,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0636349
0.05,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0496289
0.05,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0651911
0.06,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0480727
0.06,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0667473
0.07,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0465165
0.07,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0683035
0.08,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0449603
0.08,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0698597
0.09,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0434041
0.09,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0714159
0.1,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0418479
0.1,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0729721
0.11,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0402916
0.11,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0745284
0.12,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0387354
0.12,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0760846
0.13,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0371792
0.13,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0776408
0.14,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.035623
0.14,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.079197
0.15,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0340668
0.15,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0807532
0.16,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0325106
0.16,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0823094
0.17,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0309544
0.17,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0838656
0.18,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0293981
0.18,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0854219
0.19,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0278419
0.19,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0869781
0.2,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0262857
0.2,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0885343
0.21,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0247295
0.21,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0900905
0.22,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0231733
0.22,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0916467
0.23,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0216171
0.23,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0932029
0.24,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0200609
0.24,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0947591
0.25,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0185046
0.25,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0963154
0.26,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0169484
0.26,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0978716
0.27,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0153922
0.27,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.0994278
0.28,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.013836
0.28,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.100984
0.29,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0122798
0.29,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1025402
0.3,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0107236
0.3,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1040964
0.31,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0091674
0.31,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1056526
0.32,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0076111
0.32,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1072089
0.33,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0060549
0.33,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1087651
0.34,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0044987
0.34,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1103213
0.35,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0029425
0.35,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1118775
0.36,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29552.0013863
0.36,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1134337
0.37,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9998301
0.37,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1149899
0.38,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9982739
0.38,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1165461
0.39,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9967176
0.39,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1181024
0.4,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9951614
0.4,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1196586
0.41,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9936052
0.41,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1212148
0.42,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.992049
0.42,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.122771
0.43,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9904928
0.43,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1243272
0.44,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9889366
0.44,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1258834
0.45,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9873804
0.45,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1274396
0.46,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9858242
0.46,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1289958
0.47,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9842679
0.47,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1305521
0.48,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9827117
0.48,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1321083
0.49,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9811555
0.49,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1336645
0.5,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9795993
0.5,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1352207
0.51,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9780431
0.51,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1367769
0.52,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9764869
0.52,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1383331
0.53,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9749307
0.53,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1398893
0.54,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9733744
0.54,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1414456
0.55,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9718182
0.55,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1430018
0.56,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.970262
0.56,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.144558
0.57,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9687058
0.57,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1461142
0.58,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9671496
0.58,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1476704
0.59,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9655934
0.59,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1492266
0.6,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9640372
0.6,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1507828
0.61,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9624809
0.61,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1523391
0.62,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9609247
0.62,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1538953
0.63,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9593685
0.63,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1554515
0.64,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9578123
0.64,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1570077
0.65,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9562561
0.65,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1585639
0.66,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9546999
0.66,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1601201
0.67,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9531437
0.67,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1616763
0.68,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9515874
0.68,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1632326
0.69,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9500312
0.69,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1647888
0.7,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.948475
0.7,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.166345
0.71,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9469188
0.71,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1679012
0.72,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9453626
0.72,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1694574
0.73,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9438064
0.73,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1710136
0.74,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9422502
0.74,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1725698
0.75,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9406939
0.75,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1741261
0.76,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9391377
0.76,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1756823
0.77,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9375815
0.77,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1772385
0.78,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9360253
0.78,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1787947
0.79,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9344691
0.79,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1803509
0.8,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9329129
0.8,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1819071
0.81,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9313567
0.81,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1834633
0.82,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9298004
0.82,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1850196
0.83,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9282442
0.83,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1865758
0.84,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.926688
0.84,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.188132
0.85,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9251318
0.85,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1896882
0.86,4d105p,2P*,1/2,-0.5,0.666667,29552.05741,29551.9235756
0.86,4d105p,2P*,1/2,0.5,0.666667,29552.05741,29552.1912444
