id,role,case,fixed_fractional_depth,n,parent_full_r2_cv,frac_axis_gain,frac_mixed_gain,frac_total_gain,mean_S
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,DOWNSAMPLE_5,2,10001,0.012527665767816942,0.7176929953111935,0.22437440385767526,0.9420673991688687,0.2424826489311863
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,DOWNSAMPLE_10,2,5001,0.012544935297867354,0.7176692354615432,0.2243825233682002,0.9420517588297433,0.24248584559670494
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,PREFIX_0.75,2,37501,0.009978431081367534,0.7172738595081333,0.22913973071482652,0.9464135902229598,0.24371363864353615
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,NOISE_0.020SD,2,50001,0.012502618416055244,0.7174023832885095,0.22436723777287482,0.9417696210613843,0.242464824081746
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,BASE,2,50001,0.03578636073717478,0.5980502144185068,0.10052629677262959,0.6985765111911364,0.07188137904467742
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_5,2,10001,0.03572031909504873,0.5981217579841,0.10050673887422767,0.6986284968583277,0.07187780335102585
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_10,2,5001,0.03565079688157755,0.5981800558184001,0.1004383671762934,0.6986184229946935,0.07187522295642705
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,PREFIX_0.75,2,37501,0.03671146067756388,0.612481093623359,0.14799743693576628,0.7604785305591253,0.07204975251695916
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,NOISE_0.020SD,2,50001,0.03583602744869332,0.5978807898193682,0.10054971288842751,0.6984305027077957,0.07187707270232577
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,BASE,2,50001,0.03578648340028208,0.5980496468761766,0.10052618262233493,0.6985758294985115,0.07188137687615213
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_5,2,10001,0.03572044316724323,0.5981211885411354,0.10050662462847004,0.6986278131696054,0.07187780123216289
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,DOWNSAMPLE_10,2,5001,0.03565092225597992,0.598179483464392,0.10043825274028073,0.6986177362046727,0.07187522089549907
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,PREFIX_0.75,2,37501,0.0367117750598789,0.6124807912409475,0.14799737612217823,0.7604781673631257,0.07204961281411608
LUO_EE_HIGH_N32,HIGH_FREQ_DECOUPLED_CONTROL,NOISE_0.020SD,2,50001,0.0358361501924388,0.5978802217014763,0.10054959855180601,0.6984298202532823,0.0718770705371085
