transition_id,transition_label,phase3C_group,group_name,transition_status,transition_family,transition_class,initial_state,final_state,initial_particles,final_particles,initial_total_charge,final_total_charge,charge_balance_error,charge_balance_abs_error,charge_balance_code,initial_layer_signature,final_layer_signature,layer_transition_code,layer_transition_label,initial_route_signature,final_route_signature,route_transition_code,route_transition_label,initial_closure_signature,final_closure_signature,closure_transition_code,closure_transition_label,initial_category_signature,final_category_signature,category_transition_code,category_transition_label,transition_family_code,transition_class_code,transition_status_code,boundary_response_code,initial_multiplicity,final_multiplicity,multiplicity_delta,initial_charged_multiplicity,final_charged_multiplicity,charged_multiplicity_delta,initial_neutral_multiplicity,final_neutral_multiplicity,neutral_multiplicity_delta,initial_composite_count,final_composite_count,composite_count_delta,initial_external_count,final_external_count,external_count_delta,initial_fractional_external_count,final_fractional_external_count,fractional_external_count_delta,electric_charge_violation_flag,free_fractional_externalization_flag,selection_violation_flag,route_incoherence_flag,constrained_flag,boundary_candidate_flag,forbidden_flag,allowed_control_flag,boundary_pressure_index,route_charge_consistency_code,closure_charge_consistency_code,allowed_vs_forbidden_code,expected_boundary_response,expected_chamber_behavior,source_basis,source_reference,notes
P3C_B006,mu_minus_to_photon_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,lepton_decay,charge_violating_forbidden,mu_minus,gamma + nu_mu,mu_minus,gamma|nu_mu,-1.0,0.0,1.0,1.0,2,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_neutral_closure:2,18,free_integer_closure:1__to__free_neutral_closure:2,lepton:1,neutrino:1|photon:1,24,lepton:1__to__neutrino:1|photon:1,9,3,2,1,1,2,1,1,0,-1,0,2,2,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,mu_minus_to_photon_neutrino_charge_violation
P3C_B007,k_minus_to_neutral_pion_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,strange_meson_decay,charge_violating_forbidden,K_minus,pi0 + anti_neutrino_mu,K_minus,pi0|anti_neutrino_mu,-1.0,0.0,1.0,1.0,2,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_integer_closure:1,composite_neutral_closure:1|free_neutral_closure:1,4,composite_integer_closure:1__to__composite_neutral_closure:1|free_neutral_closure:1,strange_meson:1,meson:1|neutrino:1,33,strange_meson:1__to__meson:1|neutrino:1,17,3,2,1,1,2,1,1,0,-1,0,2,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,k_minus_to_neutral_pion_neutrino_charge_violation
P3C_B008,delta_pp_to_proton_gamma_charge_violation,B,charge_violating_mock,forbidden_mock,baryon_resonance_decay,charge_violating_forbidden,Delta_plus_plus,proton + gamma,Delta_plus_plus,proton|gamma,2.0,1.0,-1.0,1.0,1,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_integer_closure:1,composite_integer_closure:1|free_neutral_closure:1,1,composite_integer_closure:1__to__composite_integer_closure:1|free_neutral_closure:1,baryon_resonance:1,baryon:1|photon:1,10,baryon_resonance:1__to__baryon:1|photon:1,2,3,2,1,1,2,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,delta_pp_to_proton_gamma_charge_violation
P3C_C001,proton_to_u_u_d_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,proton,u + u + d,proton,u|u|d,1.0,1.0,0.0,0.0,0,C:1,B:3,9,C:1__to__B:3,composite_closure:1,confined_route:3,4,composite_closure:1__to__confined_route:3,composite_integer_closure:1,internal_fractional_coordinate:3,8,composite_integer_closure:1__to__internal_fractional_coordinate:3,baryon:1,quark:3,8,baryon:1__to__quark:3,6,4,2,3,1,3,2,1,3,2,0,0,0,1,0,-1,0,0,0,0,3,3,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,proton_to_u_u_d_free_fractional
P3C_C002,neutron_to_u_d_d_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,neutron,u + d + d,neutron,u|d|d,0.0,0.0,0.0,0.0,0,C:1,B:3,9,C:1__to__B:3,composite_closure:1,confined_route:3,4,composite_closure:1__to__confined_route:3,composite_neutral_closure:1,internal_fractional_coordinate:3,13,composite_neutral_closure:1__to__internal_fractional_coordinate:3,baryon:1,quark:3,8,baryon:1__to__quark:3,6,4,2,3,1,3,2,0,3,3,1,0,-1,1,0,-1,0,0,0,0,3,3,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,neutron_to_u_d_d_free_fractional
P3C_C003,pi_plus_to_u_antid_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,pi_plus,u + anti_d,pi_plus,u|anti_d,1.0,1.0,0.0,0.0,0,C:1,B:2,8,C:1__to__B:2,composite_closure:1,confined_route:2,3,composite_closure:1__to__confined_route:2,composite_integer_closure:1,internal_fractional_coordinate:2,7,composite_integer_closure:1__to__internal_fractional_coordinate:2,meson:1,anti_quark:1|quark:1,25,meson:1__to__anti_quark:1|quark:1,6,4,2,3,1,2,1,1,2,1,0,0,0,1,0,-1,0,0,0,0,2,2,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,pi_plus_to_u_antid_free_fractional
P3C_C004,k_plus_to_u_antis_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,K_plus,u + anti_s,K_plus,u|anti_s,1.0,1.0,0.0,0.0,0,C:1,B:2,8,C:1__to__B:2,composite_closure:1,confined_route:2,3,composite_closure:1__to__confined_route:2,composite_integer_closure:1,internal_fractional_coordinate:2,7,composite_integer_closure:1__to__internal_fractional_coordinate:2,strange_meson:1,anti_quark:1|quark:1,31,strange_meson:1__to__anti_quark:1|quark:1,6,4,2,3,1,2,1,1,2,1,0,0,0,1,0,-1,0,0,0,0,2,2,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,k_plus_to_u_antis_free_fractional
P3C_C005,delta_pp_to_u_u_u_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,Delta_plus_plus,u + u + u,Delta_plus_plus,u|u|u,2.0,2.0,0.0,0.0,0,C:1,B:3,9,C:1__to__B:3,composite_closure:1,confined_route:3,4,composite_closure:1__to__confined_route:3,composite_integer_closure:1,internal_fractional_coordinate:3,8,composite_integer_closure:1__to__internal_fractional_coordinate:3,baryon_resonance:1,quark:3,11,baryon_resonance:1__to__quark:3,6,4,2,3,1,3,2,1,3,2,0,0,0,1,0,-1,0,0,0,0,3,3,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,delta_pp_to_u_u_u_free_fractional
P3C_C006,pi_minus_to_antiu_d_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,pi_minus,anti_u + d,pi_minus,anti_u|d,-1.0,-1.0,0.0,0.0,0,C:1,B:2,8,C:1__to__B:2,composite_closure:1,confined_route:2,3,composite_closure:1__to__confined_route:2,composite_integer_closure:1,internal_fractional_coordinate:2,7,composite_integer_closure:1__to__internal_fractional_coordinate:2,meson:1,anti_quark:1|quark:1,25,meson:1__to__anti_quark:1|quark:1,6,4,2,3,1,2,1,1,2,1,0,0,0,1,0,-1,0,0,0,0,2,2,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,pi_minus_to_antiu_d_free_fractional
P3C_C007,k_minus_to_antiu_s_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,K_minus,anti_u + s,K_minus,anti_u|s,-1.0,-1.0,0.0,0.0,0,C:1,B:2,8,C:1__to__B:2,composite_closure:1,confined_route:2,3,composite_closure:1__to__confined_route:2,composite_integer_closure:1,internal_fractional_coordinate:2,7,composite_integer_closure:1__to__internal_fractional_coordinate:2,strange_meson:1,anti_quark:1|quark:1,31,strange_meson:1__to__anti_quark:1|quark:1,6,4,2,3,1,2,1,1,2,1,0,0,0,1,0,-1,0,0,0,0,2,2,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,k_minus_to_antiu_s_free_fractional
P3C_C008,pi0_to_u_antiu_free_fractional,C,free_fractional_externalization,forbidden_mock,free_fractional_externalization,free_fractional_externalization,pi0,u + anti_u,pi0,u|anti_u,0.0,0.0,0.0,0.0,0,C:1,B:2,8,C:1__to__B:2,composite_closure:1,confined_route:2,3,composite_closure:1__to__confined_route:2,composite_neutral_closure:1,internal_fractional_coordinate:2,12,composite_neutral_closure:1__to__internal_fractional_coordinate:2,meson:1,anti_quark:1|quark:1,25,meson:1__to__anti_quark:1|quark:1,6,4,2,3,1,2,1,0,2,2,1,0,-1,1,0,-1,0,0,0,0,2,2,0,1,0,1,0,1,1,0,2.25,3,2,3,fractional_externalization_boundary,boundary_fractional_externalization,mock_free_fractional_externalization,mock_constructed_for_control,pi0_to_u_antiu_free_fractional
P3C_D001,proton_to_positron_gamma_baryon_violation,D,selection_rule_violation,forbidden_mock,baryon_number_violation,charge_preserving_selection_violation,proton,positron + gamma,proton,positron|gamma,1.0,1.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,5,composite_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,baryon:1,lepton:1|photon:1,5,baryon:1__to__lepton:1|photon:1,1,2,2,5,1,2,1,1,1,0,0,1,1,1,0,-1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,proton_to_positron_gamma_baryon_violation
P3C_D002,neutron_to_two_photons_baryon_violation,D,selection_rule_violation,forbidden_mock,baryon_number_violation,charge_preserving_selection_violation,neutron,gamma + gamma,neutron,gamma|gamma,0.0,0.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_neutral_closure:1,free_neutral_closure:2,11,composite_neutral_closure:1__to__free_neutral_closure:2,baryon:1,photon:2,7,baryon:1__to__photon:2,1,2,2,5,1,2,1,0,0,0,1,2,1,1,0,-1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,neutron_to_two_photons_baryon_violation
P3C_D003,mu_minus_to_electron_gamma_lfv,D,selection_rule_violation,forbidden_mock,lepton_flavor_violation,charge_preserving_selection_violation,mu_minus,electron_minus + gamma,mu_minus,electron_minus|gamma,-1.0,-1.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,16,free_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,lepton:1,lepton:1|photon:1,21,lepton:1__to__lepton:1|photon:1,10,2,2,5,1,2,1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,mu_minus_to_electron_gamma_lfv
P3C_D004,k_plus_to_pi_plus_gamma_selection_violation,D,selection_rule_violation,forbidden_mock,strange_meson_boundary,charge_preserving_selection_violation,K_plus,pi_plus + gamma,K_plus,pi_plus|gamma,1.0,1.0,0.0,0.0,0,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_integer_closure:1,composite_integer_closure:1|free_neutral_closure:1,1,composite_integer_closure:1__to__composite_integer_closure:1|free_neutral_closure:1,strange_meson:1,meson:1|photon:1,34,strange_meson:1__to__meson:1|photon:1,16,2,2,5,1,2,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,k_plus_to_pi_plus_gamma_selection_violation
