transition_id,transition_name,phase,batch,transition_family,initial_objects,final_objects,initial_symbols,final_symbols,initial_Q_sum,final_Q_sum,charge_balance_error,charge_conserved,initial_layers,final_layers,layer_transition,initial_route_classes,final_route_classes,route_transition,initial_closure_classes,final_closure_classes,closure_transition,initial_categories,final_categories,category_transition,initial_multiplicity,final_multiplicity,charged_initial_count,charged_final_count,neutral_initial_count,neutral_final_count,charged_multiplicity_delta,neutral_multiplicity_delta,composite_initial_count,composite_final_count,external_initial_count,external_final_count,composite_count_delta,externalization_delta,boundary_preservation_code,boundary_route_preserved,transition_class,source_file,source_note,notes
T011,negative_kaon_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,k_minus,muon_minus;muon_antineutrino,K-,mu-;anti_nu_mu,-1.0,-1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,lepton;lepton,meson->lepton;lepton,1,2,1,1,0,1,0,1,1,0,0,2,-1,2,1,TRUE,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,K- -> mu- + anti_nu_mu.,Charge-conjugate counterpart of positive kaon muonic decay.
T012,positive_kaon_pionic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,k_plus,pi_plus;pi_zero,K+,pi+;pi0,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson,meson;meson,meson->meson;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,K+ -> pi+ + pi0.,Charged kaon routes into charged and neutral composite meson closures.
T013,negative_kaon_pionic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,k_minus,pi_minus;pi_zero,K-,pi-;pi0,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson,meson;meson,meson->meson;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,K- -> pi- + pi0.,Charge-conjugate composite meson channel.
T014,eta_two_photon_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,eta,photon;photon,eta,gamma;gamma,0.0,0.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_NEUTRAL_ROUTE,FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,gauge_boson;gauge_boson,meson->gauge_boson;gauge_boson,1,2,0,0,1,2,0,1,1,0,0,2,-1,2,1,TRUE,NEUTRAL_COMPOSITE_TO_RADIATION,rpp2026-sum-mesons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,eta -> gamma + gamma.,Neutral composite meson routes into two neutral external radiation closures.
T015,eta_three_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,eta,pi_plus;pi_minus;pi_zero,eta,pi+;pi-;pi0,0.0,0.0,0.0,TRUE,C,C;C;C,C->C;C;C,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson,meson;meson;meson,meson->meson;meson;meson,1,3,0,2,1,1,2,0,1,3,0,0,2,0,1,TRUE,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,eta -> pi+ + pi- + pi0.,Neutral composite meson routes into charged-pair plus neutral composite closures.
T016,rho_zero_two_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,rho_zero,pi_plus;pi_minus,rho0,pi+;pi-,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,meson,meson;meson,meson->meson;meson,1,2,0,2,1,0,2,-1,1,2,0,0,1,0,1,TRUE,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,rho0 -> pi+ + pi-.,Neutral vector meson routes into charged composite pair.
T017,rho_plus_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_or_charged_vector_meson_decay,rho_plus,pi_plus;pi_zero,rho+,pi+;pi0,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson,meson;meson,meson->meson;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,rho+ -> pi+ + pi0.,Charged vector meson routes into charged and neutral composite mesons.
T018,rho_minus_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_or_charged_vector_meson_decay,rho_minus,pi_minus;pi_zero,rho-,pi-;pi0,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson,meson;meson,meson->meson;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,rho- -> pi- + pi0.,Charge-conjugate vector meson composite channel.
T019,omega_three_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,omega_meson,pi_plus;pi_minus;pi_zero,omega,pi+;pi-;pi0,0.0,0.0,0.0,TRUE,C,C;C;C,C->C;C;C,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson,meson;meson;meson,meson->meson;meson;meson,1,3,0,2,1,1,2,0,1,3,0,0,2,0,1,TRUE,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,omega -> pi+ + pi- + pi0.,Neutral composite vector meson routes into three composite pions.
T020,phi_kaon_pair_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,phi_meson,k_plus;k_minus,phi,K+;K-,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,meson,meson;meson,meson->meson;meson,1,2,0,2,1,0,2,-1,1,2,0,0,1,0,1,TRUE,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,phi -> K+ + K-.,Neutral composite vector meson routes into charged kaon pair.
T021,lambda_to_proton_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,lambda_zero,proton;pi_minus,Lambda0,p;pi-,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,0,2,1,0,2,-1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Lambda0 -> p + pi-.,Neutral baryon routes into charged baryon plus oppositely charged meson.
T022,lambda_to_neutron_pion_zero,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,lambda_zero,neutron;pi_zero,Lambda0,n;pi0,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,0,0,1,2,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Lambda0 -> n + pi0.,Neutral baryon routes into neutral baryon plus neutral meson.
T023,sigma_plus_to_proton_pion_zero,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,sigma_plus,proton;pi_zero,Sigma+,p;pi0,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Sigma+ -> p + pi0.,Charged baryon routes into charged baryon plus neutral meson.
T024,sigma_plus_to_neutron_pion_plus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,sigma_plus,neutron;pi_plus,Sigma+,n;pi+,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Sigma+ -> n + pi+.,Charged baryon routes into neutral baryon plus charged meson.
T025,sigma_minus_to_neutron_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,sigma_minus,neutron;pi_minus,Sigma-,n;pi-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Sigma- -> n + pi-.,Negative baryon routes into neutral baryon plus negative meson.
T026,xi_minus_to_lambda_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,xi_minus,lambda_zero;pi_minus,Xi-,Lambda0;pi-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Xi- -> Lambda0 + pi-.,Negative cascade baryon routes into neutral baryon plus negative meson.
