timestep,eps0.05_standard,eps0.05_standard_aligned,eps0.05_polarized,eps0.05_polarized_aligned,eps0.50_thermal,eps0.50_thermal_aligned
21,-0.6364719329811384,0.6364719329811384,-0.7374546971065002,0.7374546971065002,0.0003951995958152753,-0.0003951995958152753
22,0.6277286287010727,0.6277286287010727,0.7358603532000235,0.7358603532000235,-0.0008272224556169317,-0.0008272224556169317
23,-0.6037345558544853,0.6037345558544853,-0.7563717697048843,0.7563717697048843,0.001705470682821606,-0.001705470682821606
24,0.6259434721217803,0.6259434721217803,0.7484420214120733,0.7484420214120733,0.000915359744309196,0.000915359744309196
25,-0.5731509731221198,0.5731509731221198,-0.7542012848721588,0.7542012848721588,-0.0003903420544725361,0.0003903420544725361
26,0.5668424409634829,0.5668424409634829,0.7633805372773608,0.7633805372773608,0.002009559743741397,0.002009559743741397
27,-0.5822276791907768,0.5822276791907768,-0.7695249473497217,0.7695249473497217,2.395584323421035e-05,-2.395584323421035e-05
28,0.5750307623795962,0.5750307623795962,0.7671096098238454,0.7671096098238454,-0.0009854165185886107,-0.0009854165185886107
29,-0.5975479733998772,0.5975479733998772,-0.7555159684025127,0.7555159684025127,-0.0010280798994142927,0.0010280798994142927
30,0.5935930059184883,0.5935930059184883,0.79291679878805,0.79291679878805,0.00023546760152479254,0.00023546760152479254
31,-0.6177235254239346,0.6177235254239346,-0.8021786755431503,0.8021786755431503,0.0007752732810238732,-0.0007752732810238732
32,0.4997880287972712,0.4997880287972712,0.800425046125603,0.800425046125603,0.0014449256215780773,0.0014449256215780773
33,-0.7274305689504481,0.7274305689504481,-0.8436905467015435,0.8436905467015435,-0.00039423651057977747,0.00039423651057977747
34,0.6361421852216859,0.6361421852216859,0.8479107995851725,0.8479107995851725,9.438861630210757e-05,9.438861630210757e-05
35,-0.6661268982583266,0.6661268982583266,-0.8417553242135802,0.8417553242135802,-0.0006482567662342491,0.0006482567662342491
36,0.631811759234211,0.631811759234211,0.8220487413789295,0.8220487413789295,0.0013163604491296214,0.0013163604491296214
37,-0.6875376270926097,0.6875376270926097,-0.6962848189119051,0.6962848189119051,0.000203432517080637,-0.000203432517080637
38,0.5475106609995042,0.5475106609995042,0.8391717509096202,0.8391717509096202,-0.000990096124963675,-0.000990096124963675
39,-0.7113030144230806,0.7113030144230806,-0.8661442923993476,0.8661442923993476,-0.00195698363664501,0.00195698363664501
40,0.7717503604530066,0.7717503604530066,0.8736654118453534,0.8736654118453534,0.00030389633942483026,0.00030389633942483026
41,-0.8398131340590168,0.8398131340590168,-0.9491069981503175,0.9491069981503175,0.0010114513552336825,-0.0010114513552336825
42,0.7315113801765558,0.7315113801765558,0.9755573059609128,0.9755573059609128,0.0018294884517198128,0.0018294884517198128
43,-0.8493343872008703,0.8493343872008703,-0.9523731409660737,0.9523731409660737,0.0008767035781726961,-0.0008767035781726961
44,0.49531006457563476,0.49531006457563476,0.7906392343328507,0.7906392343328507,0.002156006936816586,0.002156006936816586
45,-0.8111468356523528,0.8111468356523528,-0.8468443785690641,0.8468443785690641,-0.00013797133995691437,0.00013797133995691437
46,0.3879637363812269,0.3879637363812269,1.1108110053191813,1.1108110053191813,0.0003949870537765154,0.0003949870537765154
47,-0.9263196312320175,0.9263196312320175,-1.1219537068699095,1.1219537068699095,0.00020224376661936468,-0.00020224376661936468
48,0.8454373021852095,0.8454373021852095,1.0590495022965938,1.0590495022965938,0.0014911136632471344,0.0014911136632471344
49,-0.5961121879380177,0.5961121879380177,-1.088958570529532,1.088958570529532,-0.0030500078930754773,0.0030500078930754773
50,0.6265178972935874,0.6265178972935874,0.7060630375745072,0.7060630375745072,0.0009616634094324616,0.0009616634094324616
