object_id,phase,layer,pdg_section,pdg_name,symbol,category,generation,components,component_charges,Q_over_e,anti_symbol,anti_Q_over_e,free_external,confined,fractional_internal,integer_external,neutral_external,closure_error,closure_class,route_class,verification_status,source_file,source_note,notes
L_A_011,Phase 1,A_external_closures,Gauge and Higgs Bosons,W boson,W-,weak gauge boson,,,,-1,W+,+1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,PDG Gauge/Higgs summary explicitly lists W charge as ±1e.,negative charged weak carrier
L_A_012,Phase 1,A_external_closures,Gauge and Higgs Bosons,W boson,W+,weak gauge boson,,,,+1,W-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,PDG Gauge/Higgs summary explicitly lists W charge as ±1e.,positive charged weak carrier
L_A_013,Phase 1,A_external_closures,Gauge and Higgs Bosons,Z boson,Z,weak gauge boson,,,,0,Z,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,PDG Gauge/Higgs summary explicitly lists Z charge as 0.,neutral weak carrier
L_A_014,Phase 1,A_external_closures,Gauge and Higgs Bosons,Higgs boson,H,scalar boson,,,,0,H,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,verified,rpp2026-sum-gauge-higgs-bosons.pdf,"PDG Gauge/Higgs summary lists H, formerly H0, as the neutral Higgs boson entry.",neutral scalar closure
L_B_001,Phase 1,B_confined_fractional,Quarks,up quark,u,up-type quark,1,,,+2/3,anti-u,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_002,Phase 1,B_confined_fractional,Quarks,down quark,d,down-type quark,1,,,-1/3,anti-d,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_003,Phase 1,B_confined_fractional,Quarks,strange quark,s,down-type quark,2,,,-1/3,anti-s,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_004,Phase 1,B_confined_fractional,Quarks,charm quark,c,up-type quark,2,,,+2/3,anti-c,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_005,Phase 1,B_confined_fractional,Quarks,bottom quark,b,down-type quark,3,,,-1/3,anti-b,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_006,Phase 1,B_confined_fractional,Quarks,top quark,t,up-type quark,3,,,+2/3,anti-t,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_007,Phase 1,B_confined_fractional,Quarks,anti-up quark,anti-u,anti-up-type quark,1,,,-2/3,u,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_008,Phase 1,B_confined_fractional,Quarks,anti-down quark,anti-d,anti-down-type quark,1,,,+1/3,d,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_009,Phase 1,B_confined_fractional,Quarks,anti-strange quark,anti-s,anti-down-type quark,2,,,+1/3,s,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_010,Phase 1,B_confined_fractional,Quarks,anti-charm quark,anti-c,anti-up-type quark,2,,,-2/3,c,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_011,Phase 1,B_confined_fractional,Quarks,anti-bottom quark,anti-b,anti-down-type quark,3,,,+1/3,b,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_012,Phase 1,B_confined_fractional,Quarks,anti-top quark,anti-t,anti-up-type quark,3,,,-2/3,t,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_C_001,Phase 1,C_composite_closures,N Baryons,proton,p,baryon,,uud,+2/3;+2/3;-1/3,+1,anti-p,-1,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-baryons.pdf,"PDG N Baryons summary lists p,N+ = uud and n,N0 = udd; proton-electron charge neutrality bound is also listed.",stable composite +1 closure
L_C_002,Phase 1,C_composite_closures,N Baryons,neutron,n,baryon,,udd,+2/3;-1/3;-1/3,0,anti-n,0,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-baryons.pdf,"PDG N Baryons summary lists p,N+ = uud and n,N0 = udd; neutron charge is listed consistent with zero within bounds.",composite neutral closure
L_C_003,Phase 1,C_composite_closures,Delta Baryons,Delta++,Delta++,baryon resonance,,uuu,+2/3;+2/3;+2/3,+2,Delta--,-2,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-baryons.pdf,"PDG Delta Baryons summary lists Delta++ = uuu, Delta+ = uud, Delta0 = udd, Delta- = ddd.",composite +2 closure
L_C_004,Phase 1,C_composite_closures,Omega Baryons,Omega-,Omega-,baryon,,sss,-1/3;-1/3;-1/3,-1,Omega+, +1,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-baryons.pdf,PDG Omega Baryons summary lists Omega- = sss.,strange-baryon -1 closure
L_C_005,Phase 1,C_composite_closures,Light Unflavored Mesons,charged pion plus,pi+,meson,,u anti-d,+2/3;+1/3,+1,pi-,-1,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-mesons.pdf,PDG Light Unflavored Mesons summary gives the pion isotriplet quark-content pattern and lists pi± and pi0 entries.,meson +1 closure
L_C_006,Phase 1,C_composite_closures,Light Unflavored Mesons,neutral pion,pi0,meson,,(u anti-u - d anti-d)/sqrt(2),0,0,pi0,0,yes,no,no,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-mesons.pdf,PDG Light Unflavored Mesons summary gives the pion isotriplet quark-content pattern and lists pi0 entry.,meson neutral closure
L_C_007,Phase 1,C_composite_closures,Light Unflavored Mesons,charged pion minus,pi-,meson,,anti-u d,-2/3;-1/3,-1,pi+,+1,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-mesons.pdf,PDG Light Unflavored Mesons summary gives the pion isotriplet quark-content pattern and states pi- modes are charge conjugates of pi+ modes.,meson -1 closure
L_C_008,Phase 1,C_composite_closures,Strange Mesons,charged kaon plus,K+,meson,,u anti-s,+2/3;+1/3,+1,K-,-1,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-mesons.pdf,PDG Strange Mesons summary lists K+ / K0 / anti-K0 / K- quark-content pattern and K± section.,strange meson +1 closure
L_C_009,Phase 1,C_composite_closures,Strange Mesons,neutral kaon,K0,meson,,d anti-s,-1/3;+1/3,0,anti-K0,0,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-mesons.pdf,PDG Strange Mesons summary lists K+ / K0 / anti-K0 / K- quark-content pattern.,strange meson neutral closure
L_C_010,Phase 1,C_composite_closures,Strange Mesons,charged kaon minus,K-,meson,,anti-u s,-2/3;-1/3,-1,K+, +1,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,verified,rpp2026-sum-mesons.pdf,PDG Strange Mesons summary lists K+ / K0 / anti-K0 / K- quark-content pattern and K± section.,strange meson -1 closure
L_D_001,Phase 1,D_boundary_absences,Quarks / Free Quark Searches,free quark searches,free quark,boundary absence,,single quark externalization,±1/3 or ±2/3,not observed,,,no,no,yes,no,no,,TERMINAL_FREE_FRACTIONAL,BOUNDARY_ABSENCE,verified,rpp2026-sum-quarks.pdf,PDG Quarks summary states that all free-quark searches since 1977 have had negative results.,free fractional externalization not observed
L_D_002,Phase 1,D_boundary_absences,Searches / Magnetic Monopole Searches,magnetic monopole searches,magnetic monopole,dual boundary candidate,,monopole charge candidate,magnetic charge,not observed,,,no,no,no,,,,UNRESOLVED_DUAL_BOUNDARY,DUAL_BOUNDARY_CANDIDATE,verified,rpp2026-sum-searches.pdf,PDG Searches summary says the most sensitive magnetic monopole experiments obtain negative results and lists a best cosmic-ray flux limit.,Dirac-style dual charge anchor not observed
L_D_003,Phase 1,D_boundary_absences,N Baryons / neutron decay modes,neutron charge-violating decay search,n -> p nu_e anti-nu_e,charge-conservation boundary test,,decay channel,Q-violating mode,not observed within listed bound,,,no,no,no,,,,CONSTRAINED_CHARGE_VIOLATION_BOUNDARY,BOUNDARY_ABSENCE,verified,rpp2026-sum-baryons.pdf,PDG Baryons summary lists neutron charge-conservation-violating mode p nu_e anti-nu_e with an upper bound.,charge-breaking transition constrained
L_D_004,Phase 1,D_boundary_absences,N Baryons / proton properties,proton-electron charge mismatch bound,|q_p + q_e|/e,neutrality boundary test,,hydrogen-scale charge balance,mismatch bound,<1e-21,,,yes,no,no,yes,yes,,EXTERNAL_NEUTRALITY_CONSTRAINT,BOUNDARY_CONSTRAINT,verified,rpp2026-sum-baryons.pdf,PDG Baryons summary lists |q_p + q_e|/e < 1e-21.,external neutrality mismatch constrained
