object_id,phase,layer,pdg_section,pdg_name,symbol,category,generation,components,component_charges,Q_over_e,anti_symbol,anti_Q_over_e,free_external,confined,fractional_internal,integer_external,neutral_external,closure_error,closure_class,route_class,source_file,source_url,source_note,verification_status,notes
L_A_012,1,A_external_closures,Gauge and Higgs Bosons,W boson,W+,weak gauge boson,,,,+1,W-,-1,yes,no,no,yes,no,0,FREE_INTEGER_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-gauge-higgs-bosons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Gauge and Higgs Bosons,verified_from_uploaded_pdf,charged weak carrier
L_A_013,1,A_external_closures,Gauge and Higgs Bosons,Z boson,Z,weak gauge boson,,,,0,Z,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-gauge-higgs-bosons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Gauge and Higgs Bosons,verified_from_uploaded_pdf,neutral weak carrier
L_A_014,1,A_external_closures,Gauge and Higgs Bosons,Higgs boson,H,scalar boson,,,,0,H,0,yes,no,no,yes,yes,0,FREE_NEUTRAL_CLOSURE,EXTERNAL_CLOSURE,rpp2026-sum-gauge-higgs-bosons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html,PDG 2026 Summary Tables / Gauge and Higgs Bosons,verified_from_uploaded_pdf,neutral scalar closure
L_B_001,1,B_confined_fractional,Quarks,up quark,u,up-type quark,1,,,+2/3,anti-u,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,fractional charge treated as locally valid confined coordinate
L_B_002,1,B_confined_fractional,Quarks,down quark,d,down-type quark,1,,,-1/3,anti-d,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,fractional charge treated as locally valid confined coordinate
L_B_003,1,B_confined_fractional,Quarks,strange quark,s,down-type quark,2,,,-1/3,anti-s,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,fractional charge treated as locally valid confined coordinate
L_B_004,1,B_confined_fractional,Quarks,charm quark,c,up-type quark,2,,,+2/3,anti-c,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,fractional charge treated as locally valid confined coordinate
L_B_005,1,B_confined_fractional,Quarks,bottom quark,b,down-type quark,3,,,-1/3,anti-b,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,fractional charge treated as locally valid confined coordinate
L_B_006,1,B_confined_fractional,Quarks,top quark,t,up-type quark,3,,,+2/3,anti-t,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,fractional charge treated as locally valid confined coordinate
L_B_007,1,B_confined_fractional,Quarks,anti-up quark,anti-u,anti-up-type quark,1,,,-2/3,u,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,antiquark fractional coordinate; not an externally free charge closure
L_B_008,1,B_confined_fractional,Quarks,anti-down quark,anti-d,anti-down-type quark,1,,,+1/3,d,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,antiquark fractional coordinate; not an externally free charge closure
L_B_009,1,B_confined_fractional,Quarks,anti-strange quark,anti-s,anti-down-type quark,2,,,+1/3,s,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,antiquark fractional coordinate; not an externally free charge closure
L_B_010,1,B_confined_fractional,Quarks,anti-charm quark,anti-c,anti-up-type quark,2,,,-2/3,c,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,antiquark fractional coordinate; not an externally free charge closure
L_B_011,1,B_confined_fractional,Quarks,anti-bottom quark,anti-b,anti-down-type quark,3,,,+1/3,b,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,antiquark fractional coordinate; not an externally free charge closure
L_B_012,1,B_confined_fractional,Quarks,anti-top quark,anti-t,anti-up-type quark,3,,,-2/3,t,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,INTERNAL_ROUTE,rpp2026-sum-quarks.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Quarks,PDG 2026 Summary Tables / Quarks,source_section_identified_pending_local_pdf,antiquark fractional coordinate; not an externally free charge closure
L_C_001,1,C_composite_closures,Mesons/Baryons,proton,p,baryon,,u;u;d,2/3;2/3;-1/3,1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,stable external hadron; quarks confined internally
L_C_002,1,C_composite_closures,Mesons/Baryons,neutron,n,baryon,,u;d;d,2/3;-1/3;-1/3,0,,,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,neutral baryon closure
L_C_003,1,C_composite_closures,Mesons/Baryons,pion plus,pi+,meson,,u;anti-d,2/3;1/3,1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,meson positive closure
L_C_004,1,C_composite_closures,Mesons/Baryons,pion zero,pi0,meson,,u anti-u;d anti-d,0;0,0,,,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,neutral meson closure; simplified charge representation
L_C_005,1,C_composite_closures,Mesons/Baryons,pion minus,pi-,meson,,anti-u;d,-2/3;-1/3,-1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,meson negative closure
L_C_006,1,C_composite_closures,Mesons/Baryons,kaon plus,K+,meson,,u;anti-s,2/3;1/3,1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,strange meson positive closure
L_C_007,1,C_composite_closures,Mesons/Baryons,kaon zero,K0,meson,,d;anti-s,-1/3;1/3,0,,,yes,no,yes,yes,yes,0,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,neutral strange meson closure
L_C_008,1,C_composite_closures,Mesons/Baryons,kaon minus,K-,meson,,anti-u;s,-2/3;-1/3,-1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,strange meson negative closure
L_C_009,1,C_composite_closures,Mesons/Baryons,Delta plus plus,Delta++,baryon,,u;u;u,2/3;2/3;2/3,2,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,integer +2 baryon closure
L_C_010,1,C_composite_closures,Mesons/Baryons,Omega minus,Omega-,baryon,,s;s;s,-1/3;-1/3;-1/3,-1,,,yes,no,yes,yes,no,0,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_CLOSURE,rpp2026-sum-mesons.pdf; rpp2026-sum-baryons.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Mesons_Baryons,PDG 2026 Summary Tables / Mesons and Baryons; quark-content encoding supplied as canonical UNNS abstraction,seed_pending_local_pdf_verification,triply strange baryon closure
L_D_001,1,D_boundary_absences,Quarks/Searches not in Other Sections,free isolated up-type fractional charge,q=+2/3 free state,boundary absence,,,,+2/3,,,no,not_applicable,yes,no,no,,TERMINAL_FREE_FRACTIONAL,BOUNDARY_ABSENCE,rpp2026-sum-quarks.pdf; rpp2026-sum-searches.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Searches,PDG 2026 Summary Tables / Quarks / Free Quark Searches and Searches not in Other Sections,boundary_seed_pending_local_pdf_extraction,candidate free fractional externalization; not used as confirmed particle row
L_D_002,1,D_boundary_absences,Quarks/Searches not in Other Sections,free isolated down-type fractional charge,q=-1/3 free state,boundary absence,,,,-1/3,,,no,not_applicable,yes,no,no,,TERMINAL_FREE_FRACTIONAL,BOUNDARY_ABSENCE,rpp2026-sum-quarks.pdf; rpp2026-sum-searches.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Searches,PDG 2026 Summary Tables / Quarks / Free Quark Searches and Searches not in Other Sections,boundary_seed_pending_local_pdf_extraction,candidate free fractional externalization; not used as confirmed particle row
L_D_003,1,D_boundary_absences,Quarks/Searches not in Other Sections,generic free fractional charge,q=±1/3 or ±2/3,boundary absence,,,,fractional,,,no,not_applicable,yes,no,no,,TERMINAL_FREE_FRACTIONAL,BOUNDARY_ABSENCE,rpp2026-sum-quarks.pdf; rpp2026-sum-searches.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Searches,PDG 2026 Summary Tables / Quarks / Free Quark Searches and Searches not in Other Sections,boundary_seed_pending_local_pdf_extraction,generic fractional-charge externalization boundary
L_D_004,1,D_boundary_absences,Quarks/Searches not in Other Sections,free quark searches,free quark,search boundary,,,,fractional,,,no,not_applicable,yes,no,no,,TERMINAL_FREE_FRACTIONAL,BOUNDARY_ABSENCE,rpp2026-sum-quarks.pdf; rpp2026-sum-searches.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Searches,PDG 2026 Summary Tables / Quarks / Free Quark Searches and Searches not in Other Sections,boundary_seed_pending_local_pdf_extraction,PDG quark summary includes Free Quark Searches section; local details to be extracted when PDF is added
L_D_005,1,D_boundary_absences,Quarks/Searches not in Other Sections,magnetic monopole,monopole,dual boundary candidate,,,,magnetic charge,,,no,unresolved,unresolved,no,no,,UNRESOLVED_DUAL_BOUNDARY,DUAL_BOUNDARY_CANDIDATE,rpp2026-sum-quarks.pdf; rpp2026-sum-searches.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Searches,PDG 2026 Summary Tables / Quarks / Free Quark Searches and Searches not in Other Sections,boundary_seed_pending_local_pdf_extraction,not an electric fractional charge; included as dual charge-quantization witness
L_D_006,1,D_boundary_absences,Quarks/Searches not in Other Sections,millicharged particle,millicharged,constrained exotic boundary,,,,small non-integer,,,no,unresolved,unresolved,no,no,,CONSTRAINED_EXOTIC_BOUNDARY,BOUNDARY_ABSENCE,rpp2026-sum-quarks.pdf; rpp2026-sum-searches.pdf,https://pdg.lbl.gov/2026/tables/contents_tables.html#Searches,PDG 2026 Summary Tables / Quarks / Free Quark Searches and Searches not in Other Sections,boundary_seed_pending_local_pdf_extraction,hypothetical small electric charge; constraints to be sourced in Layer D completion
