sample_index,redshift,scale_factor,ln_scale_factor,cosmic_time_from_a_min_Gyr,lookback_from_present_Gyr,H_km_s_Mpc,E_of_a,E2_of_a,Omega_m_planck,Omega_r_effective,Omega_Lambda_planck,Omega_Lambda_dynamic,present_closure_planck_plus_radiation,present_closure_dynamic,rho_m_relative_to_rho_crit0,rho_r_relative_to_rho_crit0,rho_lambda_relative_to_rho_crit0,rho_total_relative_to_rho_crit0,fraction_matter_at_a,fraction_radiation_at_a,fraction_lambda_at_a,ricci_scalar_over_6H0sq,scale_factor_margin_component,density_margin_component,curvature_margin_component,boundary_margin_candidate
12,94623715.1366,1.05681750921e-08,-18.3654187017,8.84013481652e-15,13.7969074704,5.78680603087e+15,8.59574127551e+13,7.38867680755e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.67551621535e+23,7.38840925592e+27,0.684111138201,7.38867680755e+27,3.62110332478e-05,0.999963788967,9.25891273932e-29,1.33775810768e+23,1.05681750921e-08,1.35342230557e-28,7.47519296846e-24,1.35342230557e-28
13,94188958.6523,1.0616955572e-08,-18.3608135315,9.62186687766e-15,13.7969074704,5.73375275346e+15,8.51693575758e+13,7.25381946987e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.63880675667e+23,7.25355558919e+27,0.684111138201,7.25381946987e+27,3.63781697027e-05,0.99996362183,9.43104720269e-29,1.31940337834e+23,1.0616955572e-08,1.37858407444e-28,7.5791832613e-24,1.37858407444e-28
14,93756199.6926,1.06659612123e-08,-18.3562083613,1.04108321504e-14,13.7969074704,5.68118586922e+15,8.43885272971e+13,7.12142353937e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.60260097065e+23,7.12116327927e+27,0.684111138201,7.12142353937e+27,3.65460775681e-05,0.999963453922,9.60638184794e-29,1.30130048533e+23,1.06659612123e-08,1.40421363014e-28,7.68462020322e-24,1.40421363014e-28
15,93325429.0797,1.07151930524e-08,-18.3516031912,1.1207097562e-14,13.7969074704,5.62910091888e+15,8.36148556808e+13,6.99144409053e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.56689194664e+23,6.99118740133e+27,0.684111138201,6.99144409053e+27,3.67147604043e-05,0.99996328524,9.78497617005e-29,1.28344597332e+23,1.07151930524e-08,1.43031966937e-28,7.79152391911e-24,1.43031966937e-28
16,92896637.678,1.07646521363e-08,-18.346998021,1.20107306587e-14,13.7969074704,5.57749348405e+15,8.28482770962e+13,6.86383701781e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.5316728688e+23,6.86358385053e+27,0.684111138201,6.86383701781e+27,3.68842217878e-05,0.999963115778,9.96689077007e-29,1.2658364344e+23,1.07646521363e-08,1.45691105049e-28,7.89991481382e-24,1.45691105049e-28
17,92469816.3938,1.0814339513e-08,-18.3423928508,1.2821799612e-14,13.7969074704,5.52635918686e+15,8.20887265141e+13,6.7385590207e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.49693701483e+23,6.738309327e+27,0.684111138201,6.7385590207e+27,3.70544653116e-05,0.999962945535,1.01521873757e-28,1.24846850741e+23,1.0814339513e-08,1.48399679654e-28,8.00981357608e-24,1.48399679654e-28
18,92044956.1753,1.08642562362e-08,-18.3377876806,1.36403732242e-14,13.7969074704,5.47569368956e+15,8.13361395014e+13,6.61556758899e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.46267775464e+23,6.61532132122e+27,0.684111138201,6.61556758899e+27,3.72254945855e-05,0.999962774505,1.03409288621e-28,1.23133887732e+23,1.08642562362e-08,1.51158609832e-28,8.12124118242e-24,1.51158609832e-28
19,91622048.0122,1.09144033645e-08,-18.3331825104,1.44665209339e-14,13.7969074704,5.42549269418e+15,8.0590452216e+13,6.49482098837e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.42888854912e+23,6.49457809952e+27,0.684111138201,6.49482098837e+27,3.73973132357e-05,0.999962602687,1.05331792735e-28,1.21444427456e+23,1.09144033645e-08,1.53968831749e-28,8.23421890117e-24,1.53968831749e-28
20,91201082.9356,1.09647819614e-08,-18.3285773402,1.53003128224e-14,13.7969074704,5.37575194216e+15,7.98516014009e+13,6.37627824628e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.39556294888e+23,6.37603868999e+27,0.684111138201,6.37627824628e+27,3.75699249053e-05,0.999962430075,1.07290038448e-28,1.19778147444e+23,1.09647819614e-08,1.56831298977e-28,8.34876829654e-24,1.56831298977e-28
21,90782052.0178,1.10153930954e-08,-18.32397217,1.61418196195e-14,13.7969074704,5.32646721395e+15,7.91195243791e+13,6.25989913797e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.36269459302e+23,6.25966286851e+27,0.684111138201,6.25989913797e+27,3.77433332542e-05,0.999962256667,1.09284690236e-28,1.18134729651e+23,1.10153930954e-08,1.59746982812e-28,8.46491123274e-24,1.59746982812e-28
22,90364946.3722,1.10662378398e-08,-18.3193669999,1.69911127093e-14,13.7969074704,5.27763432873e+15,7.83941590482e+13,6.14564417288e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.33027720791e+23,6.14541114516e+27,0.684111138201,6.14564417288e+27,3.79175419591e-05,0.999962082458,1.11316424927e-28,1.16513860395e+23,1.10662378398e-08,1.62716872612e-28,8.58266987813e-24,1.62716872612e-28
23,89949757.153,1.11173172728e-08,-18.3147618297,1.78482641365e-14,13.7969074704,5.22924914398e+15,7.76754438753e+13,6.03347458123e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.29830460599e+23,6.03324475077e+27,0.684111138201,6.03347458123e+27,3.80925547137e-05,0.999961907445,1.13385931935e-28,1.149152303e+23,1.11173172728e-08,1.65741976126e-28,8.70206670945e-24,1.65741976126e-28
24,89536475.555,1.11686324778e-08,-18.3101566595,1.87133466123e-14,13.7969074704,5.18130755516e+15,7.69633178915e+13,5.92335230087e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.26677068462e+23,5.92312562381e+27,0.684111138201,5.92335230087e+27,3.82683752288e-05,0.999961731625,1.15493913489e-28,1.13338534231e+23,1.11686324778e-08,1.68823319837e-28,8.82312451615e-24,1.68823319837e-28
25,89125092.8134,1.1220184543e-08,-18.3055514893,1.95864335207e-14,13.7969074704,5.13380549539e+15,7.62577206869e+13,5.81523996436e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.23566942487e+23,5.81501639742e+27,0.684111138201,5.81523996436e+27,3.84450072323e-05,0.999961554993,1.17641084872e-28,1.11783471244e+23,1.1220184543e-08,1.71961949314e-28,8.9458664047e-24,1.71961949314e-28
26,88715600.2038,1.12719745618e-08,-18.3009463191,2.04675989249e-14,13.7969074704,5.08673893503e+15,7.55585924054e+13,5.70910088628e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.20499489041e+23,5.70888038679e+27,0.684111138201,5.70910088628e+27,3.86224544692e-05,0.999961377546,1.19828174668e-28,1.1024974452e+23,1.12719745618e-08,1.75158929562e-28,9.07031580301e-24,1.75158929562e-28
27,88307989.0419,1.13240036324e-08,-18.2963411489,2.13569175731e-14,13.7969074704,5.04010388141e+15,7.48658737397e+13,5.6048990508e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.17474122633e+23,5.60468157668e+27,0.684111138201,5.6048990508e+27,3.8800720702e-05,0.999961199279,1.22055925004e-28,1.08737061316e+23,1.13240036324e-08,1.78415345385e-28,9.19649646489e-24,1.78415345385e-28
28,87902250.6831,1.13762728582e-08,-18.2917359787,2.22544649052e-14,13.7969074704,4.99389637847e+15,7.41795059262e+13,5.50259909946e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.14490265809e+23,5.50238460919e+27,0.684111138201,5.50259909946e+27,3.89798097102e-05,0.99996102019,1.24325091804e-28,1.07245132904e+23,1.13762728582e-08,1.81732301759e-28,9.32443247464e-24,1.81732301759e-28
29,87498376.5227,1.14287833479e-08,-18.2871308086,2.31603170592e-14,13.7969074704,4.94811250641e+15,7.34994307401e+13,5.40216631913e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.11547349035e+23,5.40195477178e+27,0.684111138201,5.40216631913e+27,3.91597252912e-05,0.999960840275,1.26636445046e-28,1.05773674517e+23,1.14287833479e-08,1.85110924197e-28,9.45414825157e-24,1.85110924197e-28
30,87096357.9956,1.1481536215e-08,-18.2825256384,2.40745508776e-14,13.7969074704,4.90274838137e+15,7.28255904905e+13,5.30356663029e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.08644810592e+23,5.30335798548e+27,0.684111138201,5.30356663029e+27,3.93404712596e-05,0.999960659529,1.28990769022e-28,1.04322405296e+23,1.1481536215e-08,1.88552359141e-28,9.58566855471e-24,1.88552359141e-28
31,86696186.5758,1.15345325782e-08,-18.2779204682,2.49972439137e-14,13.7969074704,4.85780015509e+15,7.21579280151e+13,5.20676657544e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.05782096471e+23,5.20656079334e+27,0.684111138201,5.20676657544e+27,3.95220514477e-05,0.999960477949,1.31388862606e-28,1.02891048235e+23,1.15345325782e-08,1.92057774343e-28,9.71901848752e-24,1.92057774343e-28
32,86297853.7767,1.15877735616e-08,-18.273315298,2.59284744387e-14,13.7969074704,4.8132640146e+15,7.14963866761e+13,5.11173330773e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.02958660259e+23,5.11153034907e+27,0.684111138201,5.11173330773e+27,3.97044697055e-05,0.99996029553,1.33831539522e-28,1.0147933013e+23,1.15877735616e-08,1.95628359267e-28,9.85422350268e-24,1.95628359267e-28
33,85901351.1505,1.16412602941e-08,-18.2687101278,2.68683214477e-14,13.7969074704,4.76913618188e+15,7.08409103545e+13,5.01843457985e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,2.00173963045e+23,5.01823440589e+27,0.684111138201,5.01843457985e+27,3.98877299006e-05,0.99996011227,1.36319628624e-28,1.00086981522e+23,1.16412602941e-08,1.99265325489e-28,9.99130940697e-24,1.99265325489e-28
34,85506670.2885,1.16949939102e-08,-18.2641049576,2.78168646668e-14,13.7969074704,4.72541291356e+15,7.01914434461e+13,4.92683873304e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.97427473309e+23,4.92664130557e+27,0.684111138201,4.92683873304e+27,4.00718359187e-05,0.999959928164,1.38853974175e-28,9.87137366543e+22,1.16949939102e-08,2.02969907112e-28,1.01303023661e-23,2.02969907112e-28
35,85113802.8202,1.17489755494e-08,-18.2594997874,2.877418456e-14,13.7969074704,4.68209050057e+15,6.95479308564e+13,4.83691468641e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.94718666824e+23,4.83671996774e+27,0.684111138201,4.83691468641e+27,4.02567916634e-05,0.999959743208,1.41435436131e-28,9.73593334122e+22,1.17489755494e-08,2.06743361178e-28,1.027122891e-23,2.06743361178e-28
36,84722740.4141,1.18032063565e-08,-18.2548946173,2.97403623356e-14,13.7969074704,4.63916526786e+15,6.89103179961e+13,4.74863192632e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.92047026558e+23,4.74843987929e+27,0.684111138201,4.74863192632e+27,4.04426010561e-05,0.999959557399,1.44064890439e-28,9.60235132792e+22,1.18032063565e-08,2.10586968103e-28,1.04141159373e-23,2.10586968103e-28
37,84333474.7764,1.18576874817e-08,-18.2502894471,3.07154799532e-14,13.7969074704,4.59663357407e+15,6.82785507762e+13,4.66196049609e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.89412042571e+23,4.66177108405e+27,0.684111138201,4.66196049609e+27,4.06292680364e-05,0.999959370732,1.46743229329e-28,9.47060212855e+22,1.18576874817e-08,2.14502032104e-28,1.05589907213e-23,2.14502032104e-28
38,83945997.6519,1.19124200803e-08,-18.2456842769,3.1699620131e-14,13.7969074704,4.55449181122e+15,6.76525756037e+13,4.57687098581e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.86813211919e+23,4.5766841726e+27,0.684111138201,4.57687098581e+27,4.08167965622e-05,0.999959183203,1.49471361618e-28,9.34066059596e+22,1.19124200803e-08,2.18489881646e-28,1.07058809142e-23,2.18489881646e-28
39,83560300.8231,1.19674053131e-08,-18.2410791067,3.26928663523e-14,13.7969074704,4.51273640442e+15,6.70323393769e+13,4.49333452234e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.84250038561e+23,4.4931502723e+27,0.684111138201,4.49333452234e+27,4.10051906095e-05,0.999958994809,1.52250213021e-28,9.21250192804e+22,1.19674053131e-08,2.22551869893e-28,1.08548145532e-23,2.22551869893e-28
40,83176376.1103,1.20226443462e-08,-18.2364739365,3.36953028732e-14,13.7969074704,4.47136381153e+15,6.6417789481e+13,4.41132275954e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.81722033259e+23,4.41114103751e+27,0.684111138201,4.41132275954e+27,4.11944541728e-05,0.999958805546,1.5508072646e-28,9.08610166296e+22,1.20226443462e-08,2.26689375162e-28,1.10058200656e-23,2.26689375162e-28
41,82794215.3712,1.20781383511e-08,-18.2318687663,3.4707014729e-14,13.7969074704,4.4303705229e+15,6.58088737836e+13,4.33080786866e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.79228713491e+23,4.33062863995e+27,0.684111138201,4.33080786866e+27,4.13845912648e-05,0.999958615409,1.5796386239e-28,8.96143567454e+22,1.20781383511e-08,2.30903801398e-28,1.11589262738e-23,2.30903801398e-28
42,82413810.5013,1.21338885046e-08,-18.2272635961,3.57280877421e-14,13.7969074704,4.38975306108e+15,6.520554063e+13,4.25176252885e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.76769603352e+23,4.25158575925e+27,0.684111138201,4.25176252885e+27,4.15756059169e-05,0.999958424394,1.60900599118e-28,8.8384801676e+22,1.21338885046e-08,2.35196578646e-28,1.13141624016e-23,2.35196578646e-28
43,82035153.433,1.21898959892e-08,-18.222658426,3.67586085287e-14,13.7969074704,4.34950798045e+15,6.46077388395e+13,4.17415991795e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.74344233469e+23,4.17398557372e+27,0.684111138201,4.17415991795e+27,4.17675021792e-05,0.999958232498,1.63891933143e-28,8.71721167347e+22,1.21898959892e-08,2.39569163534e-28,1.14715580791e-23,2.39569163534e-28
44,81658236.1359,1.22461619927e-08,-18.2180532558,3.77986645068e-14,13.7969074704,4.30963186702e+15,6.40154177002e+13,4.09797370333e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.71952140909e+23,4.09780175119e+27,0.684111138201,4.09797370333e+27,4.19602841202e-05,0.999958039716,1.66938879487e-28,8.59760704544e+22,1.22461619927e-08,2.44023039774e-28,1.16311433485e-23,2.44023039774e-28
45,81283050.6164,1.23026877081e-08,-18.2134480856,3.8848343903e-14,13.7969074704,4.27012133809e+15,6.34285269654e+13,4.02317803301e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.69592869089e+23,4.02300844014e+27,0.684111138201,4.02317803301e+27,4.21539558273e-05,0.999957846044,1.70042472043e-28,8.47964345444e+22,1.23026877081e-08,2.48559718659e-28,1.17929486702e-23,2.48559718659e-28
46,80909588.9178,1.23594743344e-08,-18.2088429154,3.99077357601e-14,13.7969074704,4.23097304197e+15,6.2847016849e+13,3.94974752682e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.67265967692e+23,3.94958026086e+27,0.684111138201,3.94974752682e+27,4.23485214069e-05,0.999957651479,1.73203763925e-28,8.36329838458e+22,1.23594743344e-08,2.53180739581e-28,1.19570049281e-23,2.53180739581e-28
47,80537843.1199,1.24165230759e-08,-18.2042377452,4.09769299452e-14,13.7969074704,4.19218365769e+15,6.22708380213e+13,3.87765726788e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.64970992578e+23,3.87749229689e+27,0.684111138201,3.87765726788e+27,4.25439849842e-05,0.999957456015,1.76423827827e-28,8.24854962892e+22,1.24165230759e-08,2.57887670549e-28,1.2123343436e-23,2.57887670549e-28
48,80167805.3388,1.24738351424e-08,-18.199632575,4.20560171566e-14,13.7969074704,4.15374989474e+15,6.16999416049e+13,3.80688279405e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.62707505704e+23,3.80672008655e+27,0.684111138201,3.80688279405e+27,4.27403507034e-05,0.999957259649,1.79703756383e-28,8.13537528522e+22,1.24738351424e-08,2.62682108722e-28,1.22919959429e-23,2.62682108722e-28
49,79799467.7268,1.25314117494e-08,-18.1950274048,4.31450889318e-14,13.7969074704,4.11566849277e+15,6.11342791705e+13,3.73740008969e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.60475075034e+23,3.73723961462e+27,0.684111138201,3.73740008969e+27,4.29376227279e-05,0.999957062377,1.83044662542e-28,8.02375375172e+22,1.25314117494e-08,2.67565680955e-28,1.24629946399e-23,2.67565680955e-28
50,79432822.4724,1.25892541179e-08,-18.1904222347,4.42442376554e-14,13.7969074704,4.07793622133e+15,6.05738027327e+13,3.6691855775e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.58273274462e+23,3.66902730422e+27,0.684111138201,3.6691855775e+27,4.31358052403e-05,0.999956864195,1.86447679942e-28,7.91366372308e+22,1.25892541179e-08,2.72540044345e-28,1.26363721658e-23,2.72540044345e-28
51,79067861.8,1.26473634747e-08,-18.1858170645,4.53535565668e-14,13.7969074704,4.04054987958e+15,6.00184647462e+13,3.60221611049e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.56101683725e+23,3.60206000881e+27,0.684111138201,3.60221611049e+27,4.33349024426e-05,0.999956665098,1.89913963299e-28,7.80508418626e+22,1.26473634747e-08,2.77606886796e-28,1.28121616133e-23,2.77606886796e-28
52,78704577.9695,1.27057410521e-08,-18.1812118943,4.64731397679e-14,13.7969074704,4.00350629602e+15,5.94682181015e+13,3.53646896417e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.53959888331e+23,3.53631500428e+27,0.684111138201,3.53646896417e+27,4.35349185559e-05,0.999956465081,1.93444688793e-28,7.69799441653e+22,1.27057410521e-08,2.82767927594e-28,1.29903965357e-23,2.82767927594e-28
53,78342963.2766,1.27643880881e-08,-18.1766067241,4.76030822316e-14,13.7969074704,3.96680232824e+15,5.89230161211e+13,3.4719218288e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.51847479471e+23,3.47176998132e+27,0.684111138201,3.4719218288e+27,4.37358578211e-05,0.999956264142,1.97041054475e-28,7.59237397353e+22,1.27643880881e-08,2.88024917988e-28,1.31711109527e-23,2.88024917988e-28
54,77983010.0523,1.28233058266e-08,-18.1720015539,4.87434798094e-14,13.7969074704,3.93043486262e+15,5.83828125552e+13,3.40855280186e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.49764053947e+23,3.4084030378e+27,0.684111138201,3.40855280186e+27,4.39377244985e-05,0.999956062276,2.00704280664e-28,7.48820269733e+22,1.28233058266e-08,2.93379641781e-28,1.33543393578e-23,2.93379641781e-28
55,77624710.6629,1.28824955169e-08,-18.1673963837,4.98944292395e-14,13.7969074704,3.89440081411e+15,5.78475615783e+13,3.34634038056e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.47709214093e+23,3.34619267135e+27,0.684111138201,3.34634038056e+27,4.41405228681e-05,0.999955859477,2.04435610369e-28,7.38546070463e+22,1.28824955169e-08,2.98833915943e-28,1.35401167238e-23,2.98833915943e-28
56,77268057.5096,1.29419584145e-08,-18.1627912135,5.10560281556e-14,13.7969074704,3.85869712593e+15,5.7317217785e+13,3.28526345461e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.45682567698e+23,3.28511777204e+27,0.684111138201,3.28526345461e+27,4.43442572296e-05,0.999955655743,2.08236309706e-28,7.28412838491e+22,1.29419584145e-08,3.0438959122e-28,1.37284785105e-23,3.0438959122e-28
57,76913043.0287,1.30016957803e-08,-18.1581860434,5.22283750943e-14,13.7969074704,3.82332076933e+15,5.67917361859e+13,3.22530129901e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.43683727935e+23,3.22515761528e+27,0.684111138201,3.22530129901e+27,4.45489319026e-05,0.999955451068,2.12107668332e-28,7.18418639674e+22,1.30016957803e-08,3.10048552768e-28,1.39194606706e-23,3.10048552768e-28
58,76559659.6911,1.30617088813e-08,-18.1535808732,5.34115695044e-14,13.7969074704,3.78826874331e+15,5.62710722044e+13,3.16643356703e+27,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,1.41712313281e+23,3.16629185472e+27,0.684111138201,3.16643356703e+27,4.47545512265e-05,0.999955245449,2.16050999877e-28,7.08561566405e+22,1.30617088813e-08,3.15812720789e-28,1.41130996573e-23,3.15812720789e-28
