sample_index,branch_local_index,branch,time_relative_to_bounce_Gyr,distance_to_bounce_Gyr,x_bounce_distance,scale_factor,ln_scale_factor,redshift_equivalent,H_signed_km_s_Mpc,H_magnitude_km_s_Mpc,E_classical_of_a,E_lqc_of_a,E2_lqc_of_a,rho_total_relative_to_rho_crit0,rho_over_rho_c,rho_c_relative_to_rho_crit0,lqc_correction_factor,rho_m_relative_to_rho_crit0,rho_r_relative_to_rho_crit0,rho_lambda_relative_to_rho_crit0,fraction_matter_at_a,fraction_radiation_at_a,fraction_lambda_at_a,Omega_m_planck,Omega_r_effective,Omega_Lambda_planck,Omega_Lambda_dynamic,effective_ricci_over_6H0sq,scale_factor_margin_component,density_to_bounce_margin_component,curvature_margin_component,boundary_margin_candidate,distance_from_bounce_log_a,is_exact_bounce
10,10,contraction,-1.1023969659721875e-60,1.1023969659721875e-60,0.9225342340713083,3.9734088998684376e-32,-72.303098584597947,2.5167306592410129e+31,-3.7764786428819891e+62,3.7764786428819891e+62,6.0806352308274912e+60,5.6095941653384522e+60,3.1467546699799205e+121,3.6974124810380493e+121,0.14893058696646455,2.4826414481738492e+122,0.85106941303353545,5.0340532688999849e+93,3.6974124810380562e+121,0.68411113820097691,1.3615070795365178e-28,1.0000000000000018,1.8502429515489507e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.1013156221162475e+121,3.9734088998684376e-32,0.85106941303353545,9.0800491695417605e-122,9.0800491695417605e-122,0.47606873521707427,no
11,11,contraction,-1.0466394335160272e-60,1.0466394335160272e-60,0.91512567536117262,3.8874591007205833e-32,-72.324967219074409,2.5723743300981329e+31,-3.9136333540519344e+62,3.9136333540519344e+62,6.3524873078181985e+60,5.8133242377904063e+60,3.3794738693681406e+121,4.0354094995991298e+121,0.16254499829475766,2.4826414481738492e+122,0.83745500170524234,5.3753913566898958e+93,4.0354094995990881e+121,0.68411113820097691,1.3320559802478229e-28,0.99999999999998967,1.6952706739401174e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.3118712604620344e+121,3.8874591007205833e-32,0.83745500170524234,7.6226991941862121e-122,7.6226991941862121e-122,0.45420010074061062,no
12,12,contraction,-9.978478415602159e-61,9.978478415602159e-61,0.90777661226662976,3.8112469296433764e-32,-72.344766562093028,2.6238131993551289e+31,-4.0390188184168006e+62,4.0390188184168006e+62,6.6090843827764037e+60,5.9995722311810537e+60,3.5994866957158805e+121,4.3679996378658956e+121,0.17594162222172094,2.4826414481738492e+122,0.82405837777827906,5.7043521065464113e+93,4.3679996378658442e+121,0.68411113820097691,1.3059415246044816e-28,0.99999999999998823,1.5661886330540493e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.5370258843000981e+121,3.8112469296433764e-32,0.82405837777827906,6.506071304422835e-122,6.506071304422835e-122,0.43440075772199221,no
13,13,contraction,-9.5465764425624863e-61,9.5465764425624863e-61,0.90048656699862339,3.7430239607958072e-32,-72.362829145412647,2.6716366512048438e+31,-4.1539674226643685e+62,4.1539674226643685e+62,6.852203578976919e+60,6.1703172772086066e+60,3.8072815301419033e+121,4.6952693887744101e+121,0.18912394265503374,2.4826414481738492e+122,0.81087605734496626,6.0219863352863297e+93,4.6952693887744101e+121,0.68411113820097691,1.2825646063426892e-28,1,1.4570221249425435e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.7759757172650144e+121,3.7430239607958072e-32,0.81087605734496626,5.6307076176694036e-122,5.6307076176694036e-122,0.41633817440237209,no
14,14,contraction,-9.1605273165525285e-61,9.1605273165525285e-61,0.89325506560505874,3.681460413985534e-32,-72.379413450726901,2.7163133309843311e+31,-4.2595751032472698e+62,4.2595751032472698e+62,7.0832929218323881e+60,6.327187283591239e+60,4.0033298921638679e+121,5.0173038616480819e+121,0.20209538777090219,2.4826414481738492e+122,0.79790461222909781,6.3291761453210557e+93,5.0173038616480737e+121,0.68411113820097691,1.2614695700814204e-28,0.99999999999999833,1.3635035012136186e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,2.0279479389684373e+121,3.681460413985534e-32,0.79790461222909781,4.9310930561100753e-122,4.9310930561100753e-122,0.39975386908812771,no
15,15,contraction,-8.812586218312439e-61,8.812586218312439e-61,0.88608163793998884,3.6255231348453157e-32,-72.394724384854172,2.7582226421033866e+31,-4.3567580016833152e+62,4.3567580016833152e+62,7.3035517416741118e+60,6.4715430900420557e+60,4.1880869966271082e+121,5.3341868043310961e+121,0.21485933090558651,2.4826414481738492e+122,0.78514066909441349,6.6266730725961106e+93,5.3341868043311392e+121,0.68411113820097691,1.2423024006612553e-28,1.000000000000008,1.2825031505186742e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,2.2921996154079262e+121,3.6255231348453157e-32,0.78514066909441349,4.3626217947080372e-122,4.3626217947080372e-122,0.38444293496085064,no
16,16,contraction,-8.4967316134056224e-61,8.4967316134056224e-61,0.87896581763304771,3.5743946833589409e-32,-72.408927133339787,2.7976764979413999e+31,-4.4462925797168354e+62,4.4462925797168354e+62,7.5139873735372999e+60,6.6045380554656094e+60,4.3619922926093456e+121,5.6460006249677972e+121,0.22741909143266792,2.4826414481738492e+122,0.77258090856733208,6.9151255747016744e+93,5.6460006249678458e+121,0.68411113820097691,1.2247829984505387e-28,1.0000000000000087,1.211673861982399e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,2.56801666471685e+121,3.5743946833589409e-32,0.77258090856733208,3.8940557268940472e-122,3.8940557268940472e-122,0.3702401864752406,no
17,17,contraction,-8.2082008832573164e-61,8.2082008832573164e-61,0.87190714205913711,3.5274180370093113e-32,-72.422156806767802,2.8349347582512241e+31,-4.5288447652854633e+62,4.5288447652854633e+62,7.7154561844607304e+60,6.7271613514756491e+60,4.5254699848787686e+121,5.9528264134333326e+121,0.2397779356262677,2.4826414481738492e+122,0.7602220643737323,7.1950993251491097e+93,5.9528264134332904e+121,0.68411113820097691,1.2086862316214068e-28,0.99999999999999289,1.1492207074225959e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,2.8547128571091703e+121,3.5274180370093113e-32,0.7602220643737323,3.5029792839222774e-122,3.5029792839222774e-122,0.35701051304722753,no
18,18,contraction,-7.9431704155916536e-61,7.9431704155916536e-61,0.86490515230833309,3.4840578040686173e-32,-72.434525325662747,2.8702164436887893e+31,-4.6049916050412197e+62,4.6049916050412197e+62,7.9086939265737761e+60,6.8402701251232796e+60,4.678929538465405e+121,6.2547439624224923e+121,0.25193907751049915,2.4826414481738492e+122,0.74806092248950085,7.4670925138772701e+93,6.2547439624224161e+121,0.68411113820097691,1.1938286457029057e-28,0.99999999999998779,1.0937476294969194e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,3.1516288479142488e+121,3.4840578040686173e-32,0.74806092248950085,3.1729624529290653e-122,3.1729624529290653e-122,0.34464199415227831,no
19,19,contraction,-7.6985298462676671e-61,7.6985298462676671e-61,0.85795939315607184,3.443872394648143e-32,-72.446126441426301,2.9037080513030132e+31,-4.6752376648897027e+62,4.6752376648897027e+62,8.0943386315372088e+60,6.9446138603134121e+60,4.822766166885716e+121,6.5518317881995648e+121,0.26390567969526491,2.4826414481738492e+122,0.73609432030473509,7.7315475955111194e+93,6.5518317881994759e+121,0.68411113820097691,1.1800589278614154e-28,0.99999999999998646,1.0441524756986622e-122,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,3.4581312426277829e+121,3.443872394648143e-32,0.73609432030473509,2.8917352461155139e-122,2.8917352461155139e-122,0.33304087838873103,no
20,20,contraction,-7.4717193440174379e-61,7.4717193440174379e-61,0.851069413033537,3.4064936526261238e-32,-72.457039467892074,2.9355698321324714e+31,-4.7400276661213628e+62,4.7400276661213628e+62,8.272948175238319e+60,7.0408531475569467e+60,4.9573613045462573e+121,6.8441671510179038e+121,0.27568085419875077,2.4826414481738492e+122,0.72431914580124923,7.9888604562626199e+93,6.8441671510178258e+121,0.68411113820097691,1.1672509276858428e-28,0.99999999999998856,9.9955352215387081e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,3.7736116929433619e+121,3.4064936526261238e-32,0.72431914580124923,2.6499811887640581e-122,2.6499811887640581e-122,0.32212785192295917,no
21,21,contraction,-7.2606101227035608e-61,7.2606101227035608e-61,0.84423476399830966,3.3716116831804574e-32,-72.467332101500332,2.9659406063532653e+31,-4.7997563695204517e+62,4.7997563695204517e+62,8.445013958077139e+60,7.1295743658596835e+60,5.0830830638323511e+121,7.1318260752117696e+121,0.28726766325671838,2.4826414481738492e+122,0.71273233674328162,8.2393876693488767e+93,7.1318260752116871e+121,0.68411113820097691,1.1552984582709722e-28,0.99999999999998845,9.5923699061977363e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,4.0974860227589068e+121,3.3716116831804574e-32,0.71273233674328162,2.4405208326413842e-122,2.4405208326413842e-122,0.31183521831469047,no
22,22,contraction,-7.063415224782213e-61,7.063415224782213e-61,0.8374550017052439,3.3389633715019742e-32,-72.477062584808692,2.9949415094966061e+31,-4.854776411930181e+62,4.854776411930181e+62,8.6109717041500057e+60,7.2113013231827508e+60,5.2002866773737283e+121,7.4148833689672053e+121,0.29866912011886992,2.4826414481738492e+122,0.70133087988113008,8.4834523110897517e+93,7.414883368967209e+121,0.68411113820097691,1.1441113621010851e-28,1.0000000000000004,9.2261887902933325e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,4.4291933831869522e+121,3.3389633715019742e-32,0.70133087988113008,2.2577474349978971e-122,2.2577474349978971e-122,0.30210473500633467,no
23,23,contraction,-6.8786219053603396e-61,6.8786219053603396e-61,0.83072968537757841,3.3083235711837718e-32,-72.486281388684361,3.0226789444364531e+31,-4.9054045952916703e+62,4.9054045952916703e+62,8.7712100897062935e+60,7.2865045982023505e+60,5.3093149259624006e+121,7.6934126437765495e+121,0.30988818983246957,2.4826414481738492e+122,0.69011181016753043,8.7213486768678803e+93,7.6934126437764339e+121,0.68411113820097691,1.1336124917104066e-28,0.99999999999998501,8.8921674928534676e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,4.7681954356283858e+121,3.3083235711837718e-32,0.69011181016753043,2.0972294728691487e-122,2.0972294728691487e-122,0.29288593113066846,no
24,24,contraction,-6.7049396924354383e-61,6.7049396924354383e-61,0.82405837777827917,3.2794982547802694e-32,-72.495032536218261,3.0492469344735215e+31,-4.9519269894082341e+62,4.9519269894082341e+62,8.9260777128488935e+60,7.3556091199731113e+60,5.4104985525831603e+121,7.9674863335817728e+121,0.32092779001343097,2.4826414481738492e+122,0.67907220998656903,8.9533461447985429e+93,7.9674863335818609e+121,0.68411113820097691,1.1237353626904282e-28,1.0000000000000111,8.5862856810629217e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,5.1139755619971599e+121,3.2794982547802694e-32,0.67907220998656903,1.9554258480059497e-122,1.9554258480059497e-122,0.28413478359676719,no
25,25,contraction,-6.5412599988583699e-61,6.5412599988583699e-61,0.81744064518161941,3.252319127664886e-32,-72.503354656200315,3.0747290187294265e+31,-4.9946031136408409e+62,4.9946031136408409e+62,9.0758887794040773e+60,7.4190003794326902e+60,5.5041566630022395e+121,8.2371757136112841e+121,0.33179079160505776,2.4826414481738492e+122,0.66820920839494224,9.1796923710115062e+93,8.2371757136113997e+121,0.68411113820097691,1.1144223081028596e-28,1.000000000000014,8.3051662606946348e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,5.4660381012180113e+121,3.252319127664886e-32,0.66820920839494224,1.8294786488538518e-122,1.8294786488538518e-122,0.27581266361470552,no
26,26,contraction,-6.3866243656029914e-61,6.3866243656029914e-61,0.81087605734496637,3.2266393476765873e-32,-72.511281829854084,3.0991997934943425e+31,-5.0336693950755015e+62,5.0336693950755015e+62,9.2209277835347497e+60,7.4770295661753164e+60,5.5905971133459849e+121,8.5025509189163065e+121,0.34248001962468277,2.4826414481738492e+122,0.65751998037531723,9.4006159549278508e+93,8.5025509189162551e+121,0.68411113820097691,1.1056230117967947e-28,0.999999999999994,8.0459516764431249e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,5.8239076111406743e+121,3.2266393476765873e-32,0.65751998037531723,1.7170602055689881e-122,1.7170602055689881e-122,0.26788548996094075,no
27,27,contraction,-6.2401992363737538e-61,6.2401992363737538e-61,0.8043641874808295,3.2023300905438242e-32,-72.518844277683826,3.1227261766452646e+31,-5.06934205225847e+62,5.06934205225847e+62,9.3614533928281021e+60,7.5300178519618313e+60,5.6701168850863868e+121,8.7636809626092788e+121,0.35299825389830497,2.4826414481738492e+122,0.64700174610169503,9.6163286799730839e+93,8.7636809626092752e+121,0.68411113820097691,1.0972933315351932e-28,0.99999999999999956,7.8062077010764568e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,6.1871281550457842e+121,3.2023300905438242e-32,0.64700174610169503,1.6162587470965357e-122,1.6162587470965357e-122,0.26032304213119961,no
28,28,contraction,-6.1012557321272351e-61,6.1012557321272351e-61,0.7979046122290977,3.1792777694124595e-32,-72.526068921349207,3.1453684532408854e+31,-5.1018195184003428e+62,5.1018195184003428e+62,9.4977016976803154e+60,7.5782599901552549e+60,5.7430024478387923e+121,9.0206337538119544e+121,0.36334822978353321,2.4826414481738492e+122,0.63665177021646679,9.8270274110220085e+93,9.0206337538120186e+121,0.68411113820097691,1.089394346253032e-28,1.0000000000000071,7.5838478411994511e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,6.5552626119462875e+121,3.1792777694124595e-32,0.63665177021646679,1.5254918974223909e-122,1.5254918974223909e-122,0.25309839846582038,no
29,29,contraction,-5.9691532941906673e-61,5.9691532941906673e-61,0.79149691162952263,3.1573817654211651e-32,-72.532979846898726,3.1671811465808265e+31,-5.1312844920329733e+62,5.1312844920329733e+62,9.6298889481216028e+60,7.6220273617735196e+60,5.8095301103624211e+121,9.2734761153154582e+121,0.37353263888092769,2.4826414481738492e+122,0.62646736111907231,1.0032895711917345e+94,9.2734761153153977e+121,0.68411113820097691,1.0818915784284687e-28,0.99999999999999345,7.3770733832068029e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,6.9278920099061055e+121,3.1573817654211651e-32,0.62646736111907231,1.4434405134637095e-122,1.4434405134637095e-122,0.24618747291629958,no
30,30,contraction,-5.8433263502338466e-61,5.8433263502338466e-61,0.78514066909441349,3.1365525613276187e-32,-72.539598689439657,3.1882137488450913e+31,-5.1579056837829633e+62,5.1579056837829633e+62,9.7582138739413815e+60,7.6615705701527245e+60,5.8699663601430339e+121,9.5222738009582052e+121,0.38355412973397673,2.4826414481738492e+122,0.61644587026602327,1.0234105232904171e+94,9.5222738009582437e+121,0.68411113820097691,1.0747543545612327e-28,1.000000000000004,7.1843254300473517e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,7.3046148816303243e+121,3.1365525613276187e-32,0.61644587026602327,1.3689975668872073e-122,1.3689975668872073e-122,0.23956863037537313,no
31,31,contraction,-5.7232733638573259e-61,5.7232733638573259e-61,0.77883547138155373,3.1167101957919208e-32,-72.545944954710251,3.2085113378528647e+31,-5.1818393133564101e+62,5.1818393133564101e+62,9.882859663440405e+60,7.6971216645733521e+60,5.924568191924444e+121,9.7670915127257394e+121,0.39341530851787299,2.4826414481738492e+122,0.60658469148212701,1.0430816907555371e+94,9.7670915127256495e+121,0.68411113820097691,1.067955275525457e-28,0.99999999999999079,7.004246221197322e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,7.6850466416026303e+121,3.1167101957919208e-32,0.60658469148212701,1.3012282769847461e-122,1.3012282769847461e-122,0.23322236510477079,no
32,32,contraction,-5.6085477796991805e-61,5.6085477796991805e-61,0.77258090856733341,3.0977829748383633e-32,-72.552036289580968,3.2281151007751864e+31,-5.2032303997275376e+62,5.2032303997275376e+62,1.0003995660523395e+61,7.7288960567108255e+60,5.9735834255440139e+121,1.0007992917577091e+122,0.40311873971727363,2.4826414481738492e+122,0.59688126028272637,1.062318199088488e+94,1.0007992917576959e+122,0.68411113820097691,1.0614697750462361e-28,0.99999999999998679,6.8356477051404474e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,8.0688189840662064e+121,3.0977829748383633e-32,0.59688126028272637,1.2393387458248062e-122,1.2393387458248062e-122,0.22713103023405043,no
33,33,contraction,-5.4987504878250425e-61,5.4987504878250425e-61,0.76637657402010329,3.0797063911438557e-32,-72.557888710918633,3.2470627812951445e+31,-5.2222138789800642e+62,5.2222138789800642e+62,1.0121778827855178e+61,7.7570941810808689e+60,6.0172510134158674e+121,1.0245040664001736e+122,0.41266694679320914,2.4826414481738492e+122,0.58733305320679086,1.0811342964221591e+94,1.0245040664001666e+122,0.68411113820097691,1.0552757493886468e-28,0.99999999999999323,6.6774858259446045e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,8.4555793011717621e+121,3.0797063911438557e-32,0.58733305320679086,1.1826510808803146e-122,1.1826510808803146e-122,0.22127860889639098,no
34,34,contraction,-5.3935235148234453e-61,5.3935235148234453e-61,0.76022206437373097,3.0624222124563986e-32,-72.563516800275437,3.2653890633776792e+31,-5.2389155776152566e+62,5.2389155776152566e+62,1.0236355014511831e+61,7.781902940794578e+60,6.0558013379947295e+121,1.0478296398312153e+122,0.42206241283934287,2.4826414481738492e+122,0.57793758716065713,1.0995434327641921e+94,1.0478296398312239e+122,0.68411113820097691,1.0493532450001193e-28,1.0000000000000082,6.5288393475028414e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,8.8449901206348223e+121,3.0624222124563986e-32,0.57793758716065713,1.1305835126565727e-122,1.1305835126565727e-122,0.21565051953958606,no
35,35,contraction,-5.2925447122041388e-61,5.2925447122041388e-61,0.75411697950138135,3.0458777085615062e-32,-72.56893387034944,3.2831259022289362e+31,-5.2534530639436272e+62,5.2534530639436272e+62,1.0347860059295013e+61,7.8034969722185401e+60,6.0894564995423921e+121,1.0707820780675299e+122,0.43130758122771318,2.4826414481738492e+122,0.56869241877228682,1.1175583296980107e+94,1.0707820780675446e+122,0.68411113820097691,1.0436841936268668e-28,1.0000000000000138,6.3888923079064909e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,9.2367285622657721e+121,3.0458777085615062e-32,0.56869241877228682,1.0826343908006968e-122,1.0826343908006968e-122,0.21023344946558226,no
36,36,contraction,-5.1955232608379989e-61,5.1955232608379989e-61,0.74806092248950218,3.0300249924467405e-32,-72.574152107989946,3.3003028110091645e+31,-5.2659363960745513e+62,5.2659363960745513e+62,1.0456420755157018e+61,7.822039756041137e+60,6.1184305945088081e+121,1.0933673500887849e+122,0.44040485624415504,2.4826414481738492e+122,0.55959514375584496,1.1351910419439352e+94,1.0933673500887788e+122,0.68411113820097691,1.0382521865608609e-28,0.99999999999999445,6.2569193980909066e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,9.6304858127580939e+121,3.0300249924467405e-32,0.55959514375584496,1.0383692156788589e-122,1.0383692156788589e-122,0.20501521182508187,no
37,37,contraction,-5.1021958471766337e-61,5.1021958471766337e-61,0.74205349961201728,3.0148204561416027e-32,-72.57918269760529,3.316947110276046e+31,-5.2764687817544616e+62,5.2764687817544616e+62,1.0562155695642391e+61,7.8376845973984371e+60,6.1429299848296691e+121,1.1155913293899098e+122,0.4493566037135579,2.4826414481738492e+122,0.5506433962864421,1.1524530119424731e+94,1.1155913293899107e+122,0.68411113820097691,1.0330422813278066e-28,1.0000000000000009,6.1322737115131657e-123,0.31579669999999999,9.2161799023199995e-05,0.68420329999999996,0.68411113820097691,1.0025966618138858e+122,3.0148204561416027e-32,0.5506433962864421,9.9741006337564697e-123,9.9741006337564697e-123,0.19998462220973873,no
