id,source,role,n,state_dim,source_ratio,VD_best_single,VD_best_pair,VD_family_contrast,VD_q1,VD_q2,VD_pair_ratio,VD_qmax,JPR_parent_gain,JPR_best_depth,JPR_best_gain,JPR_best_fractional_depth,JPR_best_fractional_gain,JPR_cover_advantage,JPR_best_rho,FL_best_depth,FL_best_peak_contrast,FL_best_capture,FL_best_fractional_depth,FL_fractional_advantage,FC_parent_full_r2,FC_parent_mixed_gain,FC_best_fractional_depth,FC_frac_axis_gain,FC_frac_mixed_gain,FC_frac_total_gain
MS_M1p0,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,782,3,1.618033988749895,0.9246400383493368,0.9083594685235229,0.2703101959478196,1,2,2.0,120,0.6495778468099285,1,0.6495778468099285,2,0.4107620701969652,-0.23881577661296327,0.4592685615331712,2,1.2558984757657217,0.9690271900062113,2,0.8566726159588541,0.8810180340483618,0.10138917494765276,2,-0.009515518533517509,-0.007427620294281234,-0.016943138827798743
MS_M1p2,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,782,3,1.618033988749895,0.9282390211367636,0.910525568544232,0.2695587164868648,1,2,2.0,120,0.6117945474641486,1,0.6117945474641486,2,0.3402372849533686,-0.27155726251078005,0.4210290273902129,2,1.3647539297762754,0.9574046630084483,2,0.8964797206313134,0.8786594336184075,0.1174997652996379,2,-0.007855171431777164,-0.0052327588918460455,-0.01308793032362321
MS_M1p4,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,782,3,1.618033988749895,0.9118203587421453,0.8918505705104178,0.27413541151660015,1,2,2.0,120,0.6123177976555232,1,0.6123177976555232,2,0.2966608609682273,-0.3156569366872959,0.37963229460472736,2,1.2349024854236008,0.954049987656299,2,0.7082558899345013,0.849689755137611,0.12184940199337946,3,-0.005131528913444927,-0.010435082501814796,-0.015566611415259723
MS_M1p7,MALZ_SMITH_2021,QP_NON_DTQC_TOPO,782,3,1.618033988749895,0.5579571506376274,0.3713073460770509,0.03611801668781878,3,52,17.333333333333332,120,0.18631867765286514,1,0.18631867765286514,2,0.12085410337931424,-0.0654645742735509,0.21028518958240452,3,0.6842173463774477,1.0,3,0.4378177319206899,0.2850461111549996,0.0330439752674081,2,-0.10476556467721876,-0.0704317042279634,-0.17519726890518217
MS_M2p3,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,782,3,1.618033988749895,0.3870173813316962,0.35884847456624325,0.08696349316849084,2,4,2.0,120,0.012300464798740696,1,0.012300464798740696,2,0.004625190926757616,-0.007675273871983079,0.10621931136717117,2,0.6032024753798663,0.8959464124493671,2,0.5548439033307545,-0.2760714942400527,-0.01629949611869791,2,-0.14516537883516872,-0.30679366483919335,-0.45195904367436207
MS_M2p6,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,782,3,1.618033988749895,0.5167300615449607,0.42518498310637765,0.10347591429359365,2,6,3.0,120,0.2246197493533426,1,0.2246197493533426,2,0.11505971654027092,-0.1095600328130717,0.20130568205333707,2,0.9952597149565979,0.9631075256983778,2,0.6129951498033731,0.31593983177117363,0.03206128635054456,2,-0.05461980929079996,-0.05145723690761822,-0.10607704619841818
MS_M2p8,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,782,3,1.618033988749895,0.5571864883244712,0.3575727848898182,0.10193391208445057,2,80,40.0,120,0.2566666630390767,1,0.2566666630390767,2,0.12648440120624527,-0.13018226183283144,0.21166684084541237,2,0.7617105395153301,0.9590119085594055,2,0.4053487599399501,0.3601510304318026,0.04356818643367871,2,-0.02642807573819772,-0.024819112027819,-0.05124718776601672
MS_M3p0,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,782,3,1.618033988749895,0.2815723456737533,0.24454073605877744,0.02926102712366091,49,52,1.0612244897959184,120,0.1909589104780124,1,0.1909589104780124,2,0.07220381660416042,-0.11875509387385197,0.15826231467330007,3,0.6805577079256482,1.0,3,0.6015897938402112,0.22252056388867164,0.03524244162574072,2,-0.01517886260546325,-0.05834730666307533,-0.07352616926853858
MS_M3p2,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,782,3,1.618033988749895,0.18691488930902045,0.2085587500049858,0.06503855678128645,46,48,1.0434782608695652,120,0.10753036770181901,1,0.10753036770181901,2,0.07424967753702871,-0.033280690164790294,0.10860641216946366,3,0.5657239079667831,1.0,3,0.3785418351389743,0.11864889275523241,0.0165233526356756,2,-0.06587145171164732,-0.05912193572977731,-0.12499338744142463
MS_M3p4,MALZ_SMITH_2021,QP_NON_DTQC_TRIVIAL,782,3,1.618033988749895,0.22020637796160344,0.2465493112950242,0.07627672915342956,36,38,1.0555555555555556,120,0.12395976112452223,1,0.12395976112452223,2,0.07933078559762585,-0.044628975526896375,0.1280001176147868,2,0.6434616864931707,0.9538594913797572,2,0.5110203002030899,0.15410531485395637,0.026647858222837745,2,-0.014319783333832603,-0.0508620145300408,-0.0651817978638734
