Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""3p6.3d.4p""","=""3P*""","=""0""",1,"=""""","=""39333.382""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3P*""","=""1""",3,"=""""","=""39335.322""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""3P*""","=""2""",5,"=""""","=""39340.080""","=""""","=""""","=""L7185"""
"=""3p6.4s.6s""","=""3S""","=""1""",3,"=""""","=""40474.241""","=""""","=""""","=""L7185"""
"=""3p6.3d.4p""","=""1F*""","=""3""",7,"=""""","=""40537.893""","=""""","=""""","=""L7185"""
"=""3p6.4s.6s""","=""1S""","=""0""",1,"=""""","=""40690.435""","=""""","=""""","=""L7185"""
"=""3p6.4p2""","=""1D""","=""2""",5,"=""""","=""40719.847""","=""""","=""""","=""L7185"""
"=""3p6.4s.6p""","=""1P*""","=""1""",3,"=""""","=""41679.008""","=""""","=""""","=""L7185"""
"=""3p6.4p2""","=""1S""","=""0""",1,"=""""","=""41786.276""","=""""","=""""","=""L7185"""
"=""3p6.4s.4f""","=""3F*""","=""2""",5,"=""""","=""42170.214""","=""""","=""""","=""L7185"""
"=""3p6.4s.4f""","=""3F*""","=""3""",7,"=""""","=""42170.558""","=""""","=""""","=""L7185"""
"=""3p6.4s.4f""","=""3F*""","=""4""",9,"=""""","=""42171.026""","=""""","=""""","=""L7185"""
"=""3p6.4s.4f""","=""1F*""","=""3""",7,"=""""","=""42343.587""","=""""","=""""","=""L7185"""
"=""3p6.4s.6p""","=""3P*""","=""0""",1,"=""""","=""42514.845""","=""""","=""""","=""L7185"""
"=""3p6.4s.6p""","=""3P*""","=""1""",3,"=""""","=""42518.708""","=""""","=""""","=""L7185"""
"=""3p6.4s.6p""","=""3P*""","=""2""",5,"=""""","=""42526.591""","=""""","=""""","=""L7185"""
"=""3p6.4s.5d""","=""3D""","=""1""",3,"=""""","=""42743.002""","=""""","=""""","=""L7185"""
"=""3p6.4s.5d""","=""3D""","=""2""",5,"=""""","=""42744.716""","=""""","=""""","=""L7185"""
"=""3p6.4s.5d""","=""3D""","=""3""",7,"=""""","=""42747.387""","=""""","=""""","=""L7185"""
"=""3p6.4s.5d""","=""1D""","=""2""",5,"=""""","=""42919.053""","=""""","=""""","=""L7185"""
"=""3p6.3d2""","=""3F""","=""2""",5,"=""""","=""43474.827""","=""""","=""""","=""L7185"""
"=""3p6.3d2""","=""3F""","=""3""",7,"=""""","=""43489.119""","=""""","=""""","=""L7185"""
"=""3p6.3d2""","=""3F""","=""4""",9,"=""""","=""43508.088""","=""""","=""""","=""L7185"""
"=""3p6.4s.np""","=""w 1P*""","=""1""",3,"=""""","=""43933.477""","=""""","=""""","=""L7185"""
"=""3p6.4s.7s""","=""3S""","=""1""",3,"=""""","=""43980.767""","=""""","=""""","=""L7185"""
"=""3p6.4s.7s""","=""1S""","=""0""",1,"=""""","=""44276.538""","=""""","=""""","=""L7185"""
"=""3p6.4s.5f""","=""3F*""","=""2""",5,"=""""","=""44762.620""","=""""","=""""","=""L7185"""
"=""3p6.4s.5f""","=""3F*""","=""3""",7,"=""""","=""44762.839""","=""""","=""""","=""L7185"""
"=""3p6.4s.5f""","=""3F*""","=""4""",9,"=""""","=""44763.118""","=""""","=""""","=""L7185"""
"=""3p6.4s.5f""","=""1F*""","=""3""",7,"=""""","=""44804.878""","=""""","=""""","=""L7185"""
"=""3p6.4s.5g""","=""3G""","=""5""",11,"=""""","=""44874.86""","=""""","=""""","=""L7185"""
"=""3p6.4s.5g""","=""1G""","=""4""",9,"=""""","=""44875.95""","=""""","=""""","=""L7185"""
"=""3p6.4s.7p""","=""3P*""","=""0""",1,"=""""","=""44955.67""","=""""","=""""","=""L7185"""
"=""3p6.4s.7p""","=""3P*""","=""1""",3,"=""""","=""44957.655""","=""""","=""""","=""L7185"""
"=""3p6.4s.7p""","=""3P*""","=""2""",5,"=""""","=""44961.757""","=""""","=""""","=""L7185"""
"=""3p6.4s.6d""","=""1D""","=""2""",5,"=""""","=""44989.830""","=""""","=""""","=""L7185"""
"=""3p6.4s.6d""","=""3D""","=""1""",3,"=""""","=""45049.073""","=""""","=""""","=""L7185"""
"=""3p6.4s.6d""","=""3D""","=""2""",5,"=""""","=""45050.419""","=""""","=""""","=""L7185"""
"=""3p6.4s.6d""","=""3D""","=""3""",7,"=""""","=""45052.374""","=""""","=""""","=""L7185"""
"=""3p6.4s.7p""","=""1P*""","=""1""",3,"=""""","=""45425.358""","=""""","=""""","=""L7185"""
"=""3p6.4s.8s""","=""3S""","=""1""",3,"=""""","=""45738.684""","=""""","=""""","=""L7185"""
"=""3p6.4s.8s""","=""1S""","=""0""",1,"=""""","=""45887.200""","=""""","=""""","=""L7185"""
"=""3p6.4s.6f""","=""3F*""","=""2""",5,"=""""","=""46164.644""","=""""","=""""","=""L7185"""
"=""3p6.4s.6f""","=""3F*""","=""3""",7,"=""""","=""46164.785""","=""""","=""""","=""L7185"""
"=""3p6.4s.6f""","=""3F*""","=""4""",9,"=""""","=""46164.971""","=""""","=""""","=""L7185"""
"=""3p6.4s.6f""","=""1F*""","=""3""",7,"=""""","=""46182.399""","=""""","=""""","=""L7185"""
"=""3p6.4s.7d""","=""1D""","=""2""",5,"=""""","=""46200.13""","=""""","=""""","=""L7185"""
"=""3p6.4s.8p""","=""3P*""","=""0""",1,"=""""","=""46284.12""","=""""","=""""","=""L7185"""
"=""3p6.4s.8p""","=""3P*""","=""1""",3,"=""""","=""46285.23""","=""""","=""""","=""L7185"""
"=""3p6.4s.8p""","=""3P*""","=""2""",5,"=""""","=""46287.63""","=""""","=""""","=""L7185"""
"=""3p6.4s.7d""","=""3D""","=""1""",3,"=""""","=""46301.973""","=""""","=""""","=""L7185"""
"=""3p6.4s.7d""","=""3D""","=""2""",5,"=""""","=""46303.649""","=""""","=""""","=""L7185"""
"=""3p6.4s.7d""","=""3D""","=""3""",7,"=""""","=""46306.059""","=""""","=""""","=""L7185"""
"=""3p6.4s.8p""","=""1P*""","=""1""",3,"=""""","=""46479.813""","=""""","=""""","=""L7185"""
"=""3p6.4s.9s""","=""3S""","=""1""",3,"=""""","=""46748.283""","=""""","=""""","=""L7185"""
"=""3p6.4s.9s""","=""1S""","=""0""",1,"=""""","=""46835.055""","=""""","=""""","=""L7185"""
"=""3p6.4s.8d""","=""1D""","=""2""",5,"=""""","=""46948.98""","=""""","=""""","=""L7185"""
"=""3p6.4s.7f""","=""3F*""","=""2""",5,"=""""","=""47006.194""","=""""","=""""","=""L7185"""
"=""3p6.4s.7f""","=""3F*""","=""3""",7,"=""""","=""47006.280""","=""""","=""""","=""L7185"""
"=""3p6.4s.7f""","=""3F*""","=""4""",9,"=""""","=""47006.400""","=""""","=""""","=""L7185"""
"=""3p6.4s.7f""","=""1F*""","=""3""",7,"=""""","=""47015.141""","=""""","=""""","=""L7185"""
"=""3p6.4s.8d""","=""3D""","=""1""",3,"=""""","=""47036.225""","=""""","=""""","=""L7185"""
"=""3p6.4s.8d""","=""3D""","=""2""",5,"=""""","=""47040.007""","=""""","=""""","=""L7185"""
"=""3p6.4s.8d""","=""3D""","=""3""",7,"=""""","=""47045.241""","=""""","=""""","=""L7185"""
"=""3p6.4s.9p""","=""3P*""","=""1""",3,"=""""","=""47085.38""","=""""","=""""","=""L7185"""
"=""3p6.4s.9p""","=""3P*""","=""2""",5,"=""""","=""47086.99""","=""""","=""""","=""L7185"""
"=""3p6.4s.9p""","=""1P*""","=""1""",3,"=""""","=""47184.370""","=""""","=""""","=""L7185"""
"=""3p6.4s.10s""","=""3S""","=""1""",3,"=""""","=""47382.048""","=""""","=""""","=""L7185"""
"=""3p6.4s.10s""","=""1S""","=""0""",1,"=""""","=""47437.471""","=""""","=""""","=""L7185"""
"=""3p6.3d.5s""","=""1D""","=""2""",5,"=""""","=""47449.083""","=""""","=""""","=""L7185"""
"=""3p6.3d.5s""","=""3D""","=""1""",3,"=""""","=""47456.452""","=""""","=""""","=""L7185"""
"=""3p6.3d.5s""","=""3D""","=""2""",5,"=""""","=""47466.014""","=""""","=""""","=""L7185"""
"=""3p6.3d.5s""","=""3D""","=""3""",7,"=""""","=""47475.915""","=""""","=""""","=""L7185"""
"=""3p6.4s.8f""","=""3F*""","=""2""",5,"=""""","=""47550.214""","=""""","=""""","=""L7185"""
"=""3p6.4s.8f""","=""3F*""","=""3""",7,"=""""","=""47550.271""","=""""","=""""","=""L7185"""
"=""3p6.4s.8f""","=""3F*""","=""4""",9,"=""""","=""47550.371""","=""""","=""""","=""L7185"""
"=""3p6.4s.8f""","=""1F*""","=""3""",7,"=""""","=""47555.23""","=""""","=""""","=""L7185"""
"=""3p6.4s.10p""","=""3P*""","=""1""",3,"=""""","=""47604.75""","=""""","=""""","=""L7185"""
"=""3p6.4s.10p""","=""3P*""","=""2""",5,"=""""","=""47605.77""","=""""","=""""","=""L7185"""
"=""3p6.4s.10p""","=""1P*""","=""1""",3,"=""""","=""47662.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.9d""","=""3D""","=""1""",3,"=""""","=""47752.655""","=""""","=""""","=""L7185"""
"=""3p6.4s.9d""","=""3D""","=""2""",5,"=""""","=""47757.286""","=""""","=""""","=""L7185"""
"=""3p6.4s.9d""","=""3D""","=""3""",7,"=""""","=""47765.697""","=""""","=""""","=""L7185"""
"=""3p6.4s.11s""","=""3S""","=""1""",3,"=""""","=""47806.20""","=""""","=""""","=""L7185"""
"=""3p6.4s.9d""","=""1D""","=""2""",5,"=""""","=""47812.39""","=""""","=""""","=""L7185"""
"=""3p6.4s.11s""","=""1S""","=""0""",1,"=""""","=""47843.76""","=""""","=""""","=""L7185"""
"=""3p6.4s.9f""","=""3F*""","=""2""",5,"=""""","=""47921.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.9f""","=""3F*""","=""3""",7,"=""""","=""47921.981""","=""""","=""""","=""L7185"""
"=""3p6.4s.9f""","=""3F*""","=""4""",9,"=""""","=""47922.033""","=""""","=""""","=""L7185"""
"=""3p6.4s.9f""","=""1F*""","=""3""",7,"=""""","=""47924.947""","=""""","=""""","=""L7185"""
"=""3p6.4s.11p""","=""3P*""","=""1""",3,"=""""","=""47960.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.11p""","=""3P*""","=""2""",5,"=""""","=""47961.53""","=""""","=""""","=""L7185"""
"=""3p6.4s.11p""","=""1P*""","=""1""",3,"=""""","=""47997.49""","=""""","=""""","=""L7185"""
"=""3p6.4s.10d""","=""3D""","=""1""",3,"=""""","=""48031.58""","=""""","=""""","=""L7185"""
"=""3p6.4s.10d""","=""3D""","=""2""",5,"=""""","=""48033.23""","=""""","=""""","=""L7185"""
"=""3p6.4s.10d""","=""3D""","=""3""",7,"=""""","=""48036.212""","=""""","=""""","=""L7185"""
"=""3p6.4s.10d""","=""1D""","=""2""",5,"=""""","=""48083.41""","=""""","=""""","=""L7185"""
"=""3p6.4s.12s""","=""3S""","=""1""",3,"=""""","=""48104.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.12s""","=""1S""","=""0""",1,"=""""","=""48130.75""","=""""","=""""","=""L7185"""
"=""3p6.4s.10f""","=""3F*""","=""2""",5,"=""""","=""48187.045""","=""""","=""""","=""L7185"""
"=""3p6.4s.10f""","=""3F*""","=""3""",7,"=""""","=""48187.075""","=""""","=""""","=""L7185"""
"=""3p6.4s.10f""","=""3F*""","=""4""",9,"=""""","=""48187.118""","=""""","=""""","=""L7185"""
"=""3p6.4s.10f""","=""1F*""","=""3""",7,"=""""","=""48188.990""","=""""","=""""","=""L7185"""
"=""3p6.4s.10g""","=""1G""","=""4""",9,"=""""","=""48202.2""","=""""","=""""","=""L7185"""
"=""3p6.4s.10h""","=""1H*""","=""5""",11,"=""""","=""48208""","=""""","=""""","=""L7185"""
"=""3p6.4s.12p""","=""3P*""","=""1""",3,"=""""","=""48215.81""","=""""","=""""","=""L7185"""
"=""3p6.4s.12p""","=""3P*""","=""2""",5,"=""""","=""48216.36""","=""""","=""""","=""L7185"""
"=""3p6.4s.12p""","=""1P*""","=""1""",3,"=""""","=""48240.53""","=""""","=""""","=""L7185"""
"=""3p6.4s.11d""","=""3D""","=""1""",3,"=""""","=""48258.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.11d""","=""3D""","=""2""",5,"=""""","=""48258.84""","=""""","=""""","=""L7185"""
"=""3p6.4s.11d""","=""3D""","=""3""",7,"=""""","=""48260.29""","=""""","=""""","=""L7185"""
"=""3p6.4s.11d""","=""1D""","=""2""",5,"=""""","=""48290.85""","=""""","=""""","=""L7185"""
"=""3p6.4s.13s""","=""3S""","=""1""",3,"=""""","=""48321.14""","=""""","=""""","=""L7185"""
"=""3p6.4s.13s""","=""1S""","=""0""",1,"=""""","=""48340.75""","=""""","=""""","=""L7185"""
"=""3p6.4s.11f""","=""3F*""","=""2""",5,"=""""","=""48382.70""","=""""","=""""","=""L7185"""
"=""3p6.4s.11f""","=""3F*""","=""3""",7,"=""""","=""48382.781""","=""""","=""""","=""L7185"""
"=""3p6.4s.11f""","=""3F*""","=""4""",9,"=""""","=""48382.801""","=""""","=""""","=""L7185"""
"=""3p6.4s.11f""","=""1F*""","=""3""",7,"=""""","=""48384.039""","=""""","=""""","=""L7185"""
"=""3p6.4s.11g""","=""1G""","=""4""",9,"=""""","=""48394.3""","=""""","=""""","=""L7185"""
"=""3p6.4s.11h""","=""1H*""","=""5""",11,"=""""","=""48398.6""","=""""","=""""","=""L7185"""
"=""3p6.4s.13p""","=""3P*""","=""1""",3,"=""""","=""48404.57""","=""""","=""""","=""L7185"""
"=""3p6.4s.13p""","=""3P*""","=""2""",5,"=""""","=""48404.95""","=""""","=""""","=""L7185"""
"=""3p6.4s.13p""","=""1P*""","=""1""",3,"=""""","=""48422.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.12d""","=""3D""","=""1""",3,"=""""","=""48433.01""","=""""","=""""","=""L7185"""
"=""3p6.4s.12d""","=""3D""","=""2""",5,"=""""","=""48433.46""","=""""","=""""","=""L7185"""
"=""3p6.4s.12d""","=""3D""","=""3""",7,"=""""","=""48434.47""","=""""","=""""","=""L7185"""
"=""3p6.4s.12d""","=""1D""","=""2""",5,"=""""","=""48451.73""","=""""","=""""","=""L7185"""
"=""3p6.4s.14s""","=""3S""","=""1""",3,"=""""","=""48484.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.14s""","=""1S""","=""0""",1,"=""""","=""48499.14""","=""""","=""""","=""L7185"""
"=""3p6.3d2""","=""3P""","=""0""",1,"=""""","=""48524.093""","=""""","=""""","=""L7185"""
"=""3p6.3d2""","=""3P""","=""1""",3,"=""""","=""48537.623""","=""""","=""""","=""L7185"""
"=""3p6.3d2""","=""3P""","=""2""",5,"=""""","=""48563.522""","=""""","=""""","=""L7185"""
"=""3p6.4s.12f""","=""3F*""","=""3""",7,"=""""","=""48531.04""","=""""","=""""","=""L7185"""
"=""3p6.4s.12f""","=""3F*""","=""4""",9,"=""""","=""48531.04""","=""""","=""""","=""L7185"""
"=""3p6.4s.12f""","=""1F*""","=""3""",7,"=""""","=""48532.139""","=""""","=""""","=""L7185"""
"=""3p6.4s.12g""","=""1G""","=""4""",9,"=""""","=""48540.1""","=""""","=""""","=""L7185"""
"=""3p6.4s.12h""","=""1H*""","=""5""",11,"=""""","=""48544.2""","=""""","=""""","=""L7185"""
"=""3p6.4s.14p""","=""3P*""","=""1""",3,"=""""","=""48548.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.14p""","=""3P*""","=""2""",5,"=""""","=""48548.51""","=""""","=""""","=""L7185"""
"=""3p6.4s.14p""","=""1P*""","=""1""",3,"=""""","=""48561.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.13d""","=""3D""","=""1""",3,"=""""","=""48568.66""","=""""","=""""","=""L7185"""
"=""3p6.4s.13d""","=""3D""","=""2""",5,"=""""","=""48568.95""","=""""","=""""","=""L7185"""
"=""3p6.4s.13d""","=""3D""","=""3""",7,"=""""","=""48569.51""","=""""","=""""","=""L7185"""
"=""3p6.4s.13d""","=""1D""","=""2""",5,"=""""","=""48578.32""","=""""","=""""","=""L7185"""
"=""3p6.4s.15s""","=""3S""","=""1""",3,"=""""","=""48609.75""","=""""","=""""","=""L7185"""
"=""3p6.4s.15s""","=""1S""","=""0""",1,"=""""","=""48621.53""","=""""","=""""","=""L7185"""
"=""3p6.4s.13f""","=""3F*""","=""4""",9,"=""""","=""48646.38""","=""""","=""""","=""L7185"""
"=""3p6.4s.13f""","=""1F*""","=""3""",7,"=""""","=""48647.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.13g""","=""1G""","=""4""",9,"=""""","=""48653.7""","=""""","=""""","=""L7185"""
"=""3p6.4s.13h""","=""1H*""","=""5""",11,"=""""","=""48657.0""","=""""","=""""","=""L7185"""
"=""3p6.4s.15p""","=""3P*""","=""2""",5,"=""""","=""48660.23""","=""""","=""""","=""L7185"""
"=""3p6.4s.15p""","=""1P*""","=""1""",3,"=""""","=""48669.83""","=""""","=""""","=""L7185"""
"=""3p6.4s.14d""","=""3D""","=""1""",3,"=""""","=""48675.42""","=""""","=""""","=""L7185"""
"=""3p6.4s.14d""","=""3D""","=""2""",5,"=""""","=""48675.65""","=""""","=""""","=""L7185"""
"=""3p6.4s.14d""","=""3D""","=""3""",7,"=""""","=""48676.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.14d""","=""1D""","=""2""",5,"=""""","=""48678.97""","=""""","=""""","=""L7185"""
"=""3p6.4s.16s""","=""3S""","=""1""",3,"=""""","=""48708.82""","=""""","=""""","=""L7185"""
"=""3p6.4s.16s""","=""1S""","=""0""",1,"=""""","=""48718.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.14f""","=""1F*""","=""3""",7,"=""""","=""48738.54""","=""""","=""""","=""L7185"""
"=""3p6.4s.14g""","=""1G""","=""4""",9,"=""""","=""48743.4""","=""""","=""""","=""L7185"""
"=""3p6.4s.14h""","=""1H*""","=""5""",11,"=""""","=""48747.4""","=""""","=""""","=""L7185"""
"=""3p6.4s.16p""","=""3P*""","=""2""",5,"=""""","=""48749.04""","=""""","=""""","=""L7185"""
"=""3p6.4s.16p""","=""1P*""","=""1""",3,"=""""","=""48756.45""","=""""","=""""","=""L7185"""
"=""3p6.4s.15d""","=""1D""","=""2""",5,"=""""","=""48760.14""","=""""","=""""","=""L7185"""
"=""3p6.4s.15d""","=""3D""","=""1""",3,"=""""","=""48760.88""","=""""","=""""","=""L7185"""
"=""3p6.4s.15d""","=""3D""","=""2""",5,"=""""","=""48761.20""","=""""","=""""","=""L7185"""
"=""3p6.4s.15d""","=""3D""","=""3""",7,"=""""","=""48761.31""","=""""","=""""","=""L7185"""
"=""3p6.4s.17s""","=""3S""","=""1""",3,"=""""","=""48788.03""","=""""","=""""","=""L7185"""
"=""3p6.4s.17s""","=""1S""","=""0""",1,"=""""","=""48795.46""","=""""","=""""","=""L7185"""
"=""3p6.4s.15f""","=""1F*""","=""3""",7,"=""""","=""48812.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.17p""","=""3P*""","=""2""",5,"=""""","=""48820.60""","=""""","=""""","=""L7185"""
"=""3p6.4s.17p""","=""1P*""","=""1""",3,"=""""","=""48826.54""","=""""","=""""","=""L7185"""
"=""3p6.4s.16d""","=""1D""","=""2""",5,"=""""","=""48827.05""","=""""","=""""","=""L7185"""
"=""3p6.4s.16d""","=""3D""","=""1""",3,"=""""","=""48829.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.16d""","=""3D""","=""2""",5,"=""""","=""48829.95""","=""""","=""""","=""L7185"""
"=""3p6.4s.16d""","=""3D""","=""3""",7,"=""""","=""48830.47""","=""""","=""""","=""L7185"""
"=""3p6.4s.18s""","=""3S""","=""1""",3,"=""""","=""48852.58""","=""""","=""""","=""L7185"""
"=""3p6.4s.18s""","=""1S""","=""0""",1,"=""""","=""48858.59""","=""""","=""""","=""L7185"""
"=""3p6.4s.16f""","=""1F*""","=""3""",7,"=""""","=""48872.20""","=""""","=""""","=""L7185"""
"=""3p6.4s.18p""","=""3P*""","=""2""",5,"=""""","=""48879.31""","=""""","=""""","=""L7185"""
"=""3p6.4s.17d""","=""1D""","=""2""",5,"=""""","=""48882.37""","=""""","=""""","=""L7185"""
"=""3p6.4s.18p""","=""1P*""","=""1""",3,"=""""","=""48884.06""","=""""","=""""","=""L7185"""
"=""3p6.4s.17d""","=""3D""","=""2""",5,"=""""","=""48886.75""","=""""","=""""","=""L7185"""
"=""3p6.4s.17d""","=""3D""","=""1""",3,"=""""","=""48886.90""","=""""","=""""","=""L7185"""
"=""3p6.4s.17d""","=""3D""","=""3""",7,"=""""","=""48887.04""","=""""","=""""","=""L7185"""
"=""3p6.4s.19s""","=""3S""","=""1""",3,"=""""","=""48905.60""","=""""","=""""","=""L7185"""
"=""3p6.4s.19s""","=""1S""","=""0""",1,"=""""","=""48910.65""","=""""","=""""","=""L7185"""
"=""3p6.4s.17f""","=""1F*""","=""3""",7,"=""""","=""48921.95""","=""""","=""""","=""L7185"""
"=""3p6.4s.19p""","=""3P*""","=""2""",5,"=""""","=""48927.93""","=""""","=""""","=""L7185"""
"=""3p6.4s.18d""","=""1D""","=""2""",5,"=""""","=""48928.79""","=""""","=""""","=""L7185"""
"=""3p6.4s.19p""","=""1P*""","=""1""",3,"=""""","=""48931.82""","=""""","=""""","=""L7185"""
"=""3p6.4s.18d""","=""3D""","=""2""",5,"=""""","=""48934.04""","=""""","=""""","=""L7185"""
"=""3p6.4s.18d""","=""3D""","=""1""",3,"=""""","=""48934.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.18d""","=""3D""","=""3""",7,"=""""","=""48934.32""","=""""","=""""","=""L7185"""
"=""3p6.4s.20s""","=""3S""","=""1""",3,"=""""","=""48949.88""","=""""","=""""","=""L7185"""
"=""3p6.4s.20s""","=""1S""","=""0""",1,"=""""","=""48954.13""","=""""","=""""","=""L7185"""
"=""3p6.4s.18f""","=""1F*""","=""3""",7,"=""""","=""48963.67""","=""""","=""""","=""L7185"""
"=""3p6.4s.19d""","=""1D""","=""2""",5,"=""""","=""48968.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.20p""","=""3P*""","=""2""",5,"=""""","=""48968.67""","=""""","=""""","=""L7185"""
"=""3p6.4s.20p""","=""1P*""","=""1""",3,"=""""","=""48971.93""","=""""","=""""","=""L7185"""
"=""3p6.4s.19d""","=""3D""","=""1""",3,"=""""","=""48973.80""","=""""","=""""","=""L7185"""
"=""3p6.4s.19d""","=""3D""","=""3""",7,"=""""","=""48973.92""","=""""","=""""","=""L7185"""
"=""3p6.4s.19d""","=""3D""","=""2""",5,"=""""","=""48973.95""","=""""","=""""","=""L7185"""
"=""3p6.4s.21s""","=""3S""","=""1""",3,"=""""","=""48987.35""","=""""","=""""","=""L7185"""
"=""3p6.4s.21s""","=""1S""","=""0""",1,"=""""","=""48990.83""","=""""","=""""","=""L7185"""
"=""3p6.4s.19f""","=""1F*""","=""3""",7,"=""""","=""48998.89""","=""""","=""""","=""L7185"""
"=""3p6.4s.20d""","=""1D""","=""2""",5,"=""""","=""49001.66""","=""""","=""""","=""L7185"""
"=""3p6.4s.21p""","=""3P*""","=""2""",5,"=""""","=""49003.21""","=""""","=""""","=""L7185"""
"=""3p6.4s.21p""","=""1P*""","=""1""",3,"=""""","=""49005.92""","=""""","=""""","=""L7185"""
"=""3p6.4s.20d""","=""3D""","=""2""",5,"=""""","=""49007.58""","=""""","=""""","=""L7185"""
"=""3p6.4s.20d""","=""3D""","=""1""",3,"=""""","=""49007.59""","=""""","=""""","=""L7185"""
"=""3p6.4s.20d""","=""3D""","=""3""",7,"=""""","=""49007.70""","=""""","=""""","=""L7185"""
"=""3p6.4s.22s""","=""3S""","=""1""",3,"=""""","=""49019.13""","=""""","=""""","=""L7185"""
"=""3p6.4s.22s""","=""1S""","=""0""",1,"=""""","=""49022.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.20f""","=""1F*""","=""3""",7,"=""""","=""49028.93""","=""""","=""""","=""L7185"""
"=""3p6.4s.21d""","=""1D""","=""2""",5,"=""""","=""49030.55""","=""""","=""""","=""L7185"""
"=""3p6.4s.22p""","=""3P*""","=""2""",5,"=""""","=""49032.70""","=""""","=""""","=""L7185"""
