Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""4d10.8p""","=""2P*""","=""1/2""",2,"=""""","=""56620.876""","=""""","=""0.003""","=""L15300"""
"=""4d10.8p""","=""2P*""","=""3/2""",4,"=""""","=""56660.597""","=""""","=""0.003""","=""L17163"""
"=""4d10.5f""","=""2F*""","=""5/2""",6,"=""""","=""56691.275""","=""""","=""0.002""","=""L17163"""
"=""4d10.5f""","=""2F*""","=""7/2""",8,"=""""","=""56691.397""","=""""","=""0.002""","=""L17163"""
"=""4d10.7d""","=""2D""","=""3/2""",4,"=""""","=""56699.832""","=""""","=""0.003""","=""L17163"""
"=""4d10.7d""","=""2D""","=""5/2""",6,"=""""","=""56705.467""","=""""","=""0.002""","=""L17163"""
"=""4d10.5g""","=""2G""","=""7/2,9/2""",18,"=""""","=""56711.565""","=""""","=""0.003""","=""L17163"""
"=""4d10.9s""","=""2S""","=""1/2""",2,"=""""","=""57425.078""","=""""","=""0.008""","=""L11755"""
"=""4d10.9p""","=""2P*""","=""1/2""",2,"=""""","=""58005.20""","=""""","=""0.06""","=""L3466"""
"=""4d10.9p""","=""2P*""","=""3/2""",4,"=""""","=""58027.10""","=""""","=""0.06""","=""L3466"""
"=""4d10.6f""","=""2F*""","=""5/2""",6,"=""""","=""58041.987""","=""""","=""0.005""","=""L17163"""
"=""4d10.6f""","=""2F*""","=""7/2""",8,"=""""","=""58042.063""","=""""","=""0.004""","=""L17163"""
"=""4d10.8d""","=""2D""","=""3/2""",4,"=""""","=""58049.973""","=""""","=""0.007""","=""L11755"""
"=""4d10.8d""","=""2D""","=""5/2""",6,"=""""","=""58053.388""","=""""","=""0.008""","=""L17163"""
"=""4d10.6g""","=""2G""","=""7/2""",8,"=""""","=""58054.711""","=""""","=""0.004""","=""L17163"""
"=""4d10.6g""","=""2G""","=""9/2""",10,"=""""","=""58054.713""","=""""","=""0.003""","=""L17163"""
"=""4d10.6h""","=""2H*""","=""9/2,11/2""",22,"=""""","=""58057.140""","=""""","=""0.004""","=""L17163"""
"=""4d10.10s""","=""2S""","=""1/2""",2,"=""""","=""58478.051""","=""""","=""0.030""","=""L17163"""
"=""4d9.5s.(3D).5p""","=""4F*""","=""7/2""",8,"=""""","=""58789.879""","=""""","=""0.005""","=""L11755"""
"=""4d9.5s.(3D).5p""","=""4F*""","=""9/2""",10,"=""""","=""58902.05""","=""""","=""0.10""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4F*""","=""5/2""",6,"=""""","=""59321.40""","=""""","=""0.15""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4F*""","=""3/2""",4,"=""""","=""61242.25""","=""""","=""0.10""","=""L2489"""
"=""4d10.10p""","=""2P*""","=""1/2""",2,"=""""","=""58834.25""","=""""","=""0.06""","=""L3466"""
"=""4d10.10p""","=""2P*""","=""3/2""",4,"=""""","=""58849.83""","=""""","=""0.06""","=""L3466"""
"=""4d10.7f""","=""2F*""","=""5/2""",6,"=""""","=""58854.510""","=""""","=""0.003""","=""L15300"""
"=""4d10.7f""","=""2F*""","=""7/2""",8,"=""""","=""58854.755""","=""""","=""0.003""","=""L15300"""
"=""4d10.9d""","=""2D""","=""3/2""",4,"=""""","=""58862.463""","=""""","=""0.038""","=""L11755"""
"=""4d10.9d""","=""2D""","=""5/2""",6,"=""""","=""58864.603""","=""""","=""0.016""","=""L17163"""
"=""4d10.7g""","=""2G""","=""7/2,9/2""",18,"=""""","=""58864.644""","=""""","=""0.007""","=""L17163"""
"=""4d10.11s""","=""2S""","=""1/2""",2,"=""""","=""59135.99""","=""""","=""0.06""","=""L3466"""
"=""4d10.10d""","=""2D""","=""3/2""",4,"=""""","=""59388.97""","=""""","=""0.06""","=""L3466"""
"=""4d10.10d""","=""2D""","=""5/2""",6,"=""""","=""59390.587""","=""""","=""0.018""","=""L11755"""
"=""4d10.12s""","=""2S""","=""1/2""",2,"=""""","=""59574.56""","=""""","=""0.06""","=""L3466"""
"=""4d10.11d""","=""2D""","=""3/2""",4,"=""""","=""59751.15""","=""""","=""0.06""","=""L3466"""
"=""4d10.11d""","=""2D""","=""5/2""",6,"=""""","=""59751.51""","=""""","=""0.06""","=""L3466"""
"=""4d10.12d""","=""2D""","=""3/2,5/2""",10,"=""""","=""60007.6""","=""""","=""0.2""","=""L3466"""
"=""Ag II (4d10 1S<0>)""","=""Limit""","=""---""",,"=""""","=""61106.45""","=""""","=""0.20""","=""L11835"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""7/2""",8,"=""""","=""61773.12""","=""""","=""0.05""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""5/2""",6,"=""""","=""62181.85""","=""""","=""0.15""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""1/2""",2,"=""""","=""64575.5""","=""""","=""0.4""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""4D*""","=""3/2""",4,"=""""","=""66340.7""","=""""","=""0.6""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2D*""","=""3/2""",4,"=""""","=""63531.35""","=""""","=""0.10""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2D*""","=""5/2""",6,"=""""","=""66972.30""","=""""","=""0.10""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2F*""","=""5/2""",6,"=""""","=""64264.5""","=""""","=""0.3""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2F*""","=""7/2""",8,"=""""","=""65637.75""","=""""","=""0.15""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2P*""","=""3/2""",4,"=""""","=""65979.2""","=""""","=""1.0""","=""L2489"""
"=""4d9.5s.(3D).5p""","=""2P*""","=""1/2""",2,"=""""","=""66033""","=""""","=""10""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2P*""","=""3/2""",4,"=""""","=""72184""","=""""","=""20""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2P*""","=""1/2""",2,"=""""","=""76404""","=""""","=""30""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2F*""","=""7/2""",8,"=""""","=""72334.3""","=""""","=""0.3""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2F*""","=""5/2""",6,"=""""","=""76810.1""","=""""","=""0.8""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2D*""","=""5/2""",6,"=""""","=""73527.5""","=""""","=""0.8""","=""L2489"""
"=""4d9.5s.(1D).5p""","=""2D*""","=""3/2""",4,"=""""","=""77942.3""","=""""","=""0.5""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""7/2""",8,"=""""","=""79413.0""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""5/2""",6,"=""""","=""80164.0""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""3/2""",4,"=""""","=""81266.4""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""4D""","=""1/2""",2,"=""""","=""83983.0""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""2D""","=""5/2""",6,"=""""","=""82071.1""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).6s""","=""2D""","=""3/2""",4,"=""""","=""84595.0""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(1D).6s""","=""2D""","=""5/2""",6,"=""""","=""86484.6""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(1D).6s""","=""2D""","=""3/2""",4,"=""""","=""87432.3""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2P""","=""3/2""",4,"=""""","=""86836.2""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2G""","=""9/2""",10,"=""""","=""86896.1""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2G""","=""7/2""",8,"=""""","=""88691.9""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4S""","=""3/2""",4,"=""""","=""86986.3""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).6p""","=""2*""","=""""",,"=""""","=""87044.3""","=""""","=""1.5""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4G""","=""11/2""",12,"=""""","=""87122.7""","=""?""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4G""","=""9/2""",10,"=""""","=""88593.7""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2D""","=""5/2""",6,"=""""","=""87143.6""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2D""","=""3/2""",4,"=""""","=""88833.1""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4P""","=""5/2""",6,"=""""","=""87221.7""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4P""","=""1/2""",2,"=""""","=""88443.7""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4P""","=""3/2""",4,"=""""","=""88546.4""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2F""","=""7/2""",8,"=""""","=""87227.1""","=""?""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""2F""","=""5/2""",6,"=""""","=""88886.1""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4D""","=""7/2""",8,"=""""","=""87312.5""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4D""","=""5/2""",6,"=""""","=""88737.3""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4D""","=""3/2""",4,"=""""","=""91604.3""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4F""","=""9/2""",10,"=""""","=""87357.3""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4F""","=""7/2""",8,"=""""","=""88818.6""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).5d""","=""4F""","=""5/2""",6,"=""""","=""91866.1""","=""?""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).6p""","=""1*""","=""""",,"=""""","=""88297.9""","=""""","=""1.5""","=""L2489"""
"=""4d9.5s.(3D).7s""","=""4D""","=""7/2""",8,"=""""","=""90365.8""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).7s""","=""4D""","=""5/2""",6,"=""""","=""90981.0""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(3D).7s""","=""2D""","=""5/2""",6,"=""""","=""92152.2""","=""""","=""2.0""","=""L2489"""
"=""4d9.5s.(1D).5d""","=""2D""","=""3/2""",4,"=""""","=""94049.0""","=""""","=""2.0""","=""L2489"""
