file,class,length,smooth_kernel,seed,path
randomwalk_0034_n85.csv,R3_randomwalk,85,5,2016726852,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0034_n85.csv
randomwalk_0035_n798.csv,R3_randomwalk,798,5,813773289,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0035_n798.csv
randomwalk_0036_n468.csv,R3_randomwalk,468,5,558008615,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0036_n468.csv
randomwalk_0037_n690.csv,R3_randomwalk,690,5,2043137099,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0037_n690.csv
randomwalk_0038_n337.csv,R3_randomwalk,337,5,974568232,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0038_n337.csv
randomwalk_0039_n569.csv,R3_randomwalk,569,5,2876829200,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0039_n569.csv
randomwalk_0040_n941.csv,R3_randomwalk,941,5,1877553193,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0040_n941.csv
randomwalk_0041_n169.csv,R3_randomwalk,169,5,3576325619,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0041_n169.csv
randomwalk_0042_n634.csv,R3_randomwalk,634,5,3007615710,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0042_n634.csv
randomwalk_0043_n106.csv,R3_randomwalk,106,5,1341604508,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0043_n106.csv
randomwalk_0044_n770.csv,R3_randomwalk,770,5,3574528627,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0044_n770.csv
randomwalk_0045_n441.csv,R3_randomwalk,441,5,3456436595,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0045_n441.csv
randomwalk_0046_n844.csv,R3_randomwalk,844,5,1664206964,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0046_n844.csv
randomwalk_0047_n900.csv,R3_randomwalk,900,5,1238359775,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0047_n900.csv
randomwalk_0048_n247.csv,R3_randomwalk,247,5,2931295868,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0048_n247.csv
randomwalk_0049_n641.csv,R3_randomwalk,641,5,600232345,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0049_n641.csv
randomwalk_0050_n835.csv,R3_randomwalk,835,5,858599190,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0050_n835.csv
randomwalk_0051_n807.csv,R3_randomwalk,807,5,31620706,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0051_n807.csv
randomwalk_0052_n799.csv,R3_randomwalk,799,5,3379814464,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0052_n799.csv
randomwalk_0053_n783.csv,R3_randomwalk,783,5,2855512684,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0053_n783.csv
randomwalk_0054_n477.csv,R3_randomwalk,477,5,3028662238,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0054_n477.csv
randomwalk_0055_n284.csv,R3_randomwalk,284,5,3353205654,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0055_n284.csv
randomwalk_0056_n560.csv,R3_randomwalk,560,5,1971028246,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0056_n560.csv
randomwalk_0057_n511.csv,R3_randomwalk,511,5,2442724835,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0057_n511.csv
randomwalk_0058_n46.csv,R3_randomwalk,46,5,600423534,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0058_n46.csv
randomwalk_0059_n253.csv,R3_randomwalk,253,5,491902919,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0059_n253.csv
randomwalk_0060_n445.csv,R3_randomwalk,445,5,2870768860,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0060_n445.csv
randomwalk_0061_n658.csv,R3_randomwalk,658,5,2023342797,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0061_n658.csv
randomwalk_0062_n857.csv,R3_randomwalk,857,5,2427670590,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0062_n857.csv
randomwalk_0063_n88.csv,R3_randomwalk,88,5,3285645073,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0063_n88.csv
randomwalk_0064_n579.csv,R3_randomwalk,579,5,2726094425,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0064_n579.csv
randomwalk_0065_n570.csv,R3_randomwalk,570,5,2377605420,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0065_n570.csv
randomwalk_0066_n99.csv,R3_randomwalk,99,5,2401776466,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0066_n99.csv
randomwalk_0067_n797.csv,R3_randomwalk,797,5,1305455729,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0067_n797.csv
randomwalk_0068_n607.csv,R3_randomwalk,607,5,132361590,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0068_n607.csv
randomwalk_0069_n354.csv,R3_randomwalk,354,5,1875686903,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0069_n354.csv
randomwalk_0070_n983.csv,R3_randomwalk,983,5,921634150,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0070_n983.csv
randomwalk_0071_n284.csv,R3_randomwalk,284,5,1754617163,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0071_n284.csv
randomwalk_0072_n993.csv,R3_randomwalk,993,5,3665338288,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0072_n993.csv
randomwalk_0073_n44.csv,R3_randomwalk,44,5,1004762440,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0073_n44.csv
randomwalk_0074_n824.csv,R3_randomwalk,824,5,250408367,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0074_n824.csv
randomwalk_0075_n857.csv,R3_randomwalk,857,5,1208534612,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0075_n857.csv
randomwalk_0076_n919.csv,R3_randomwalk,919,5,1260975586,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0076_n919.csv
randomwalk_0077_n440.csv,R3_randomwalk,440,5,2842909782,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0077_n440.csv
randomwalk_0078_n135.csv,R3_randomwalk,135,5,2392434876,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0078_n135.csv
randomwalk_0079_n510.csv,R3_randomwalk,510,5,3366817170,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0079_n510.csv
randomwalk_0080_n997.csv,R3_randomwalk,997,5,2853204928,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0080_n997.csv
randomwalk_0081_n415.csv,R3_randomwalk,415,5,1745418278,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0081_n415.csv
randomwalk_0082_n424.csv,R3_randomwalk,424,5,3496190929,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0082_n424.csv
randomwalk_0083_n328.csv,R3_randomwalk,328,5,717143229,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0083_n328.csv
randomwalk_0084_n341.csv,R3_randomwalk,341,5,97547610,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0084_n341.csv
randomwalk_0085_n115.csv,R3_randomwalk,115,5,386752616,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0085_n115.csv
randomwalk_0086_n774.csv,R3_randomwalk,774,5,3102509785,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0086_n774.csv
randomwalk_0087_n700.csv,R3_randomwalk,700,5,1983747597,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0087_n700.csv
randomwalk_0088_n720.csv,R3_randomwalk,720,5,692657015,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0088_n720.csv
randomwalk_0089_n902.csv,R3_randomwalk,902,5,2151970921,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0089_n902.csv
randomwalk_0090_n939.csv,R3_randomwalk,939,5,654175498,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0090_n939.csv
randomwalk_0091_n502.csv,R3_randomwalk,502,5,2990673237,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0091_n502.csv
randomwalk_0092_n501.csv,R3_randomwalk,501,5,1916226611,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0092_n501.csv
randomwalk_0093_n174.csv,R3_randomwalk,174,5,1636473704,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0093_n174.csv
randomwalk_0094_n246.csv,R3_randomwalk,246,5,1294984561,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0094_n246.csv
randomwalk_0095_n687.csv,R3_randomwalk,687,5,2707043123,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0095_n687.csv
randomwalk_0096_n611.csv,R3_randomwalk,611,5,1553973328,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0096_n611.csv
randomwalk_0097_n961.csv,R3_randomwalk,961,5,376453535,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0097_n961.csv
randomwalk_0098_n349.csv,R3_randomwalk,349,5,506831489,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0098_n349.csv
randomwalk_0099_n345.csv,R3_randomwalk,345,5,4131319010,CLE_PILOT_I\adversarial\raw\randomwalk\randomwalk_0099_n345.csv
