rank,shot_id,campaign,split_membership,status,candidate_score,candidate_class,core_required_present,core_required_total,profile_preferred_present,profile_preferred_total,edge_activity_present,edge_activity_total,supporting_present,supporting_total,has_core_required,has_thomson_profiles,has_soft_xray,metadata_key_count,signal_like_count,sources,missing_core_required,missing_profile_preferred,missing_edge_activity,error,has__charge_exchange-t_i,has__charge_exchange-v_i,has__equilibrium-beta_normal,has__equilibrium-beta_pol,has__equilibrium-elongation,has__equilibrium-minor_radius,has__equilibrium-psi,has__equilibrium-q,has__equilibrium-q95,has__equilibrium-triangularity_lower,has__equilibrium-triangularity_upper,has__equilibrium-whmd,has__gas_injection-total_injected,has__interferometer-n_e_line,has__magnetics-b_field_pol_probe_obr_field,has__magnetics-b_field_tor_probe_omaha_voltage,has__magnetics-ip,has__pf_active-coil_current,has__pf_active-solenoid_current,has__soft_x_rays-horizontal_cam_lower,has__soft_x_rays-horizontal_cam_upper,has__spectrometer_visible-filter_spectrometer_dalpha_voltage,has__summary-ip,has__summary-power_nbi,has__thomson_scattering-n_e,has__thomson_scattering-t_e,shape__equilibrium-elongation,shape__equilibrium-minor_radius,shape__equilibrium-q95,shape__equilibrium-triangularity_lower,shape__equilibrium-triangularity_upper,shape__interferometer-n_e_line,shape__soft_x_rays-horizontal_cam_lower,shape__soft_x_rays-horizontal_cam_upper,shape__spectrometer_visible-filter_spectrometer_dalpha_voltage,shape__summary-power_nbi,shape__thomson_scattering-n_e,shape__thomson_scattering-t_e
14,11940,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[101],[101],[101],[101],[101],[2018],"[18, 25220]","[18, 25220]","[3, 25220]",[2018],"[120, 101]","[120, 101]"
15,11941,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[105],[105],[105],[105],[105],[2089],"[18, 26111]","[18, 26111]","[3, 26111]",[2089],"[120, 105]","[120, 105]"
16,11942,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[103],[103],[103],[103],[103],[2060],"[18, 25740]","[18, 25740]","[3, 25740]",[2060],"[120, 103]","[120, 103]"
17,11943,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[116],[116],[116],[116],[116],[2311],"[18, 28880]","[18, 28880]","[3, 28880]",[2311],"[120, 116]","[120, 116]"
18,11946,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[110],[110],[110],[110],[110],[2181],"[18, 27251]","[18, 27251]","[3, 27251]",[2181],"[120, 110]","[120, 110]"
19,11996,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[109],[109],[109],[109],[109],[2172],"[18, 27140]","[18, 27140]","[3, 27140]",[2172],"[120, 109]","[120, 109]"
20,11998,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[97],[97],[97],[97],[97],[1934],"[18, 24171]","[18, 24171]","[3, 24171]",[1934],"[120, 97]","[120, 97]"
21,12004,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[108],[108],[108],[108],[108],[2143],"[18, 26781]","[18, 26781]","[3, 26781]",[2143],"[120, 108]","[120, 108]"
22,12006,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[109],[109],[109],[109],[109],[2168],"[18, 27090]","[18, 27090]","[3, 27090]",[2168],"[120, 109]","[120, 109]"
23,12007,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[90],[90],[90],[90],[90],[1781],"[18, 22260]","[18, 22260]","[3, 22260]",[1781],"[120, 90]","[120, 90]"
24,12008,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[85],[85],[85],[85],[85],[1691],"[18, 21130]","[18, 21130]","[3, 21130]",[1691],"[120, 85]","[120, 85]"
25,12009,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[108],[108],[108],[108],[108],[2157],"[18, 26960]","[18, 26960]","[3, 26960]",[2157],"[120, 108]","[120, 108]"
26,12010,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[96],[96],[96],[96],[96],[1910],"[18, 23870]","[18, 23870]","[3, 23870]",[1910],"[120, 96]","[120, 96]"
27,12012,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[86],[86],[86],[86],[86],[1707],"[18, 21330]","[18, 21330]","[3, 21330]",[1707],"[120, 86]","[120, 86]"
28,12013,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[82],[82],[82],[82],[82],[1637],"[18, 20451]","[18, 20451]","[3, 20451]",[1637],"[120, 82]","[120, 82]"
29,12014,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[103],[103],[103],[103],[103],[2055],"[18, 25680]","[18, 25680]","[3, 25680]",[2055],"[120, 103]","[120, 103]"
30,12016,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[104],[104],[104],[104],[104],[2070],"[18, 25870]","[18, 25870]","[3, 25870]",[2070],"[120, 104]","[120, 104]"
31,12017,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[110],[110],[110],[110],[110],[2181],"[18, 27260]","[18, 27260]","[3, 27260]",[2181],"[120, 110]","[120, 110]"
32,12018,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[103],[103],[103],[103],[103],[2056],"[18, 25690]","[18, 25690]","[3, 25690]",[2056],"[120, 103]","[120, 103]"
33,12046,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[91],[91],[91],[91],[91],[1817],"[18, 22701]","[18, 22701]","[3, 22701]",[1817],"[120, 91]","[120, 91]"
34,12053,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,215,97,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[72],[72],[72],[72],[72],[1424],"[18, 17791]","[18, 17791]","[3, 17791]",[1424],"[120, 72]","[120, 72]"
35,12055,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,219,99,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[69],[69],[69],[69],[69],[1377],"[18, 17211]","[18, 17211]","[3, 17211]",[1377],"[120, 69]","[120, 69]"
36,12056,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,219,99,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[75],[75],[75],[75],[75],[1490],"[18, 18620]","[18, 18620]","[3, 18620]",[1490],"[120, 75]","[120, 75]"
37,12058,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,219,99,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[73],[73],[73],[73],[73],[1459],"[18, 18231]","[18, 18231]","[3, 18231]",[1459],"[120, 73]","[120, 73]"
38,12080,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[67],[67],[67],[67],[67],[1334],"[18, 16670]","[18, 16670]","[3, 16670]",[1334],"[120, 67]","[120, 67]"
39,12083,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[86],[86],[86],[86],[86],[1715],"[18, 21430]","[18, 21430]","[3, 21430]",[1715],"[120, 86]","[120, 86]"
40,12085,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,217,98,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[78],[78],[78],[78],[78],[1559],"[18, 19480]","[18, 19480]","[3, 19480]",[1559],"[120, 78]","[120, 78]"
41,12088,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[80],[80],[80],[80],[80],[1588],"[18, 19850]","[18, 19850]","[3, 19850]",[1588],"[120, 80]","[120, 80]"
42,12089,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[78],[78],[78],[78],[78],[1552],"[18, 19390]","[18, 19390]","[3, 19390]",[1552],"[120, 78]","[120, 78]"
43,12090,M5,train,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[81],[81],[81],[81],[81],[1617],"[18, 20210]","[18, 20210]","[3, 20210]",[1617],"[120, 81]","[120, 81]"
44,12092,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[94],[94],[94],[94],[94],[1876],"[18, 23440]","[18, 23440]","[3, 23440]",[1876],"[120, 94]","[120, 94]"
45,12093,M5,val,OK,96.429,FULL_PROFILE_EDGE_CANDIDATE,8,8,2,2,2,2,9,14,True,True,True,227,103,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary;thomson_scattering,,,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,[99],[99],[99],[99],[99],[1963],"[18, 24531]","[18, 24531]","[3, 24531]",[1963],"[120, 99]","[120, 99]"
46,11830,M5,train,OK,81.429,PROFILE_DALPHA_CANDIDATE,8,8,2,2,0,2,9,14,True,True,False,207,94,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;spectrometer_visible;summary;thomson_scattering,,,soft_x_rays-horizontal_cam_lower;soft_x_rays-horizontal_cam_upper,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,False,False,True,True,True,True,True,[76],[76],[76],[76],[76],[1513],,,"[3, 18910]",[1513],"[120, 76]","[120, 76]"
47,11876,M5,train,OK,72.143,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,10,14,True,False,True,199,90,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[108],[108],[108],[108],[108],[2144],"[18, 26800]","[18, 26800]","[3, 26800]",[2144],,
48,12034,M5,train,OK,72.143,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,10,14,True,False,True,215,98,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[121],[121],[121],[121],[121],[2412],"[18, 30150]","[18, 30150]","[3, 30150]",[2412],,
