column,dtype,count,missing,unique,min,max,mean
POHMSMOOTHMW_A,float64,90,2,90,0.03714128884999999,0.28224053599999993,0.15664262804944443
PRAD,float64,90,2,90,98129.1275024414,386366.16058349604,175130.89711507162
PRADCORE,float64,90,2,90,33392.29965209961,161990.35228382453,57412.473703955955
PRyter,float64,92,0,92,0.2909178784934114,0.36758538883113634,0.35609301678915173
PTOTMW,float64,92,0,92,0.40281027236708233,1.2134553649754944,0.7901074718984767
PTOTMW_A,float64,89,3,89,0.3073691855999999,1.058948753,0.6403268618638503
PTOTMW_ASTD,float64,89,3,89,0.00011567100000009489,0.03950787330000005,0.007859722198610104
Q95,float64,92,0,92,3.1646406650543213,7.279103149067271,3.6678917833766227
Q95STD,float64,92,0,92,0.00541508758036568,0.13514898169290696,0.023178088779553515
RGEO,float64,92,0,92,0.8699744790792464,0.8831797093153,0.8755271789136632
RMAG,float64,92,0,92,0.8841027698733589,0.9156309664249419,0.8942614641207594
SEEDING,float64,92,0,2,0.0,1.0,0.2391304347826087
SHOT,float64,92,0,66,66444.0,73917.0,68361.51086956522
SHOTDATE,float64,92,0,16,737980.0,738611.0,738110.7826086957
SHOTYEAR,float64,92,0,3,2020.0,2022.0,2020.2391304347825
SPLASMA,float64,92,0,92,9.763823986053467,10.412160656668922,9.96969546268021
THL,float64,92,0,19,1.03,2.5,2.071195652173913
TIME,float64,92,0,86,0.814,2.03,1.3291304347826087
VOL,float64,92,0,92,1.2635036761110479,1.437139240178195,1.3062752794325687
WMHD,float64,92,0,92,5805.718683416192,14377.56565163352,10670.60148592872
WMHD_A,float64,90,2,90,7427.0531026300005,21021.090663,11316.996771840335
WMHD_ASTD,float64,90,2,1,0.0,0.0,0.0
WMHD_STD,float64,92,0,1,0.0,0.0,0.0
Z,float64,92,0,2,1.0,2.0,1.184782608695652
ZEFF,float64,90,2,90,0.977490905197111,2.608648321082562,1.3426285628083443
ZEFF_A,float64,90,2,90,0.9886985859999989,2.227715655000001,1.3371989819555552
ZGEO,float64,92,0,92,-0.011889130554415962,0.014918808232654223,-0.003198860546854142
ZMAG,float64,92,0,92,-0.00944891322234815,0.01422776954925873,-0.0023914675167220133
cH,float64,90,2,90,0.016702344841878453,1.0,0.49320721131434386
cHe,float64,92,0,92,0.024733643808415945,0.2980623413661402,0.05344210448368984
nRyter,float64,92,0,92,0.2736568914512012,0.3924580922524368,0.37529548907158744
