t,q0,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19
10,0.99799222,0.88517749,0.9113524,0.93762839,0.9456448,0.93177277,0.93965703,0.89715779,0.97244871,0.96349978,0.96241897,0.98101372,0.94097412,0.94716018,0.9499445,0.94074184,0.93199039,0.95249444,0.91269904,0.99797428
11,-0.99811482,-0.87128597,-0.89021868,-0.93173856,-0.95866883,-0.92432046,-0.93886703,-0.87702471,-0.96819538,-0.95462394,-0.95668626,-0.98673117,-0.93372262,-0.94103253,-0.9535929,-0.91697288,-0.92783153,-0.93830907,-0.91410899,-0.99907368
12,0.99722213,0.88301492,0.90449506,0.92900187,0.93105674,0.91991681,0.93098909,0.86542332,0.96133476,0.96182173,0.95544869,0.98475444,0.93365145,0.94103891,0.94207382,0.92355239,0.92445117,0.9387241,0.90518486,0.99960756
13,-0.99590719,-0.87317199,-0.87442732,-0.92694002,-0.9503352,-0.91608155,-0.91922492,-0.85187978,-0.95769262,-0.94912678,-0.94600791,-0.98818636,-0.92550844,-0.93356484,-0.94589174,-0.91682315,-0.92709714,-0.92961746,-0.9096002,-1.0013307
14,1.0018954,0.88560367,0.89414203,0.92384028,0.93910342,0.90831721,0.91825706,0.83586073,0.94469607,0.94960546,0.94696748,0.98309487,0.9222306,0.93451738,0.93342918,0.91378313,0.91406429,0.93514526,0.90022373,1.00343
15,-1.0033829,-0.87762791,-0.86634552,-0.92598146,-0.9515906,-0.902592,-0.91306114,-0.82768959,-0.950885,-0.95049071,-0.94361144,-0.97848541,-0.9215287,-0.93130243,-0.94321382,-0.90912306,-0.92653573,-0.91391218,-0.89867544,-1.0032341
16,1.0017513,0.89403254,0.90193689,0.92146981,0.92357773,0.90345246,0.91503698,0.81817162,0.94464839,0.96337718,0.95217067,0.97975594,0.91824645,0.93289286,0.92774743,0.9098621,0.91298991,0.93275249,0.89741915,1.0049413
17,-1.0019453,-0.88876992,-0.85815597,-0.92080188,-0.94806522,-0.88697904,-0.91604084,-0.81660873,-0.95140123,-0.94839257,-0.93389761,-0.97952682,-0.92007542,-0.93593001,-0.92181587,-0.89523238,-0.92489344,-0.90221518,-0.89570802,-1.0016204
18,0.99865633,0.8912493,0.90169513,0.91996348,0.93825525,0.89677483,0.90596741,0.79905206,0.936423,0.95025694,0.93700606,0.96654814,0.91913974,0.93980646,0.91167241,0.88785923,0.91249335,0.93375856,0.89223588,0.99954677
19,-1.0033329,-0.89740568,-0.84626621,-0.92619473,-0.96202171,-0.89384359,-0.91552866,-0.79034775,-0.93537909,-0.94780242,-0.92724586,-0.96520364,-0.91724831,-0.94223821,-0.92007554,-0.91171885,-0.93066543,-0.89481533,-0.90255672,-1.0029043
20,1.0008557,0.90686232,0.90576333,0.91392261,0.92864525,0.88475943,0.90324998,0.77397114,0.93934613,0.96207142,0.93178254,0.95041609,0.91648763,0.93249494,0.89683127,0.88063371,0.91847879,0.93153,0.88741118,1.0055029
21,-1.0090332,-0.89633536,-0.83468908,-0.92329592,-0.95524359,-0.88940537,-0.91061348,-0.76978058,-0.9341743,-0.94645238,-0.92419553,-0.95615774,-0.915892,-0.93698716,-0.91592854,-0.91175222,-0.92868316,-0.89275879,-0.89297408,-1.0055845
22,1.0023329,0.89700502,0.90283865,0.917189,0.91666907,0.88697523,0.911897,0.75635844,0.92830884,0.9623704,0.94179618,0.95900631,0.91589558,0.93496531,0.9037618,0.87428087,0.92295438,0.93787915,0.89139605,1.0074812
23,-1.0075885,-0.89504004,-0.84455568,-0.92243665,-0.94482732,-0.88469917,-0.90711045,-0.75689149,-0.91975063,-0.94298261,-0.91726512,-0.95788157,-0.90710562,-0.94012642,-0.92280674,-0.91929317,-0.93926525,-0.88768446,-0.89278871,-1.0070279
24,1.0023066,0.89203936,0.89941603,0.92125201,0.91148639,0.88628346,0.91285419,0.74574119,0.9291721,0.95676076,0.93118602,0.95353311,0.9108867,0.93514156,0.89221764,0.84511149,0.92625719,0.94863683,0.89792025,1.0043271
25,-1.0098391,-0.89065111,-0.83246046,-0.93241161,-0.94382113,-0.88761163,-0.9232924,-0.75231475,-0.91491127,-0.95265079,-0.9257037,-0.97199529,-0.91135645,-0.9500941,-0.90809524,-0.8986516,-0.9378655,-0.88275552,-0.8948648,-1.0049108
26,1.0066757,0.88375443,0.894759,0.92993999,0.91536242,0.89025128,0.91328126,0.7394709,0.92119259,0.96180809,0.93538374,0.95665383,0.90683651,0.94099271,0.88603139,0.83574003,0.93170893,0.94331878,0.90557915,1.0023302
27,-1.0124997,-0.88779819,-0.83515429,-0.93172395,-0.94652891,-0.90536779,-0.92147505,-0.74316907,-0.90558398,-0.94407088,-0.92963958,-0.97291923,-0.90632027,-0.94634956,-0.92428666,-0.91471559,-0.93622416,-0.87269908,-0.90218711,-1.0078831
28,0.99933243,0.88021493,0.90022802,0.92662376,0.92790556,0.9046492,0.911008,0.74053788,0.91621625,0.95265263,0.92682534,0.95520872,0.91071975,0.93301809,0.92385554,0.84889197,0.93444359,0.94938534,0.90915918,1.0089175
29,-1.0078515,-0.88713771,-0.84192884,-0.93190128,-0.94751489,-0.91171604,-0.9297713,-0.74983931,-0.90030748,-0.93921536,-0.91580939,-0.97113359,-0.90323627,-0.93688458,-0.93725383,-0.89181179,-0.93734449,-0.88280761,-0.90700608,-1.0095149
30,1.0060781,0.89047205,0.89768034,0.93699497,0.93949807,0.91647929,0.92505306,0.74372709,0.92231536,0.95259565,0.92976791,0.95792723,0.9128384,0.93163615,0.93702382,0.88121212,0.94038224,0.96178222,0.91714954,1.0099955
31,-1.0107287,-0.89631194,-0.84316236,-0.93202579,-0.93928051,-0.928523,-0.9356069,-0.7538932,-0.9125005,-0.93351966,-0.92210364,-0.96631485,-0.91597825,-0.94090319,-0.93983805,-0.91411352,-0.95193779,-0.89564365,-0.90441787,-1.0090121
32,1.003906,0.88798541,0.90424013,0.93272758,0.93198752,0.93141395,0.92825687,0.74623096,0.92127448,0.94517511,0.93822801,0.94791216,0.91385067,0.92520946,0.94442505,0.86732763,0.9477722,0.96618903,0.91278416,1.0045853
33,-1.0075257,-0.89748514,-0.86158866,-0.93883401,-0.98540896,-0.93289822,-0.93793309,-0.78320408,-0.91334891,-0.93361145,-0.93062752,-0.9732613,-0.91700357,-0.94064367,-0.96716917,-0.93576711,-0.9571836,-0.91469681,-0.91245043,-1.0128036
34,0.99747849,0.89306968,0.908768,0.94587266,0.95191228,0.9244234,0.93540949,0.78131312,0.92798716,0.9489041,0.9433859,0.95751578,0.91941136,0.92850018,0.95670849,0.88165146,0.95675105,0.97307748,0.90967274,1.0100595
35,-1.0047417,-0.90270692,-0.87764204,-0.94103414,-0.98323059,-0.93260717,-0.94234347,-0.79219538,-0.92513114,-0.92661899,-0.93667644,-0.97122645,-0.93116254,-0.93717331,-0.96749532,-0.96134138,-0.9572354,-0.92377084,-0.9055624,-1.0104183
36,1.0062457,0.90254158,0.91290045,0.94834179,0.95641786,0.92525899,0.93632203,0.80193835,0.93429714,0.93832016,0.94072002,0.96440524,0.92917991,0.92408264,0.95784891,0.89302278,0.96122807,0.98083508,0.90579915,1.0069965
37,-1.0063353,-0.90794766,-0.88475484,-0.94739991,-0.99232292,-0.95417863,-0.94013023,-0.80028111,-0.91692245,-0.93010294,-0.93975878,-0.9730376,-0.92584544,-0.93876666,-0.98222238,-0.93355542,-0.95193464,-0.92298704,-0.90269876,-1.0114553
38,1.0027853,0.90606511,0.91903561,0.94974583,0.9515813,0.90828276,0.94108719,0.81492323,0.92860538,0.93582135,0.94161916,0.96836442,0.92031878,0.92101794,0.97449756,0.89450508,0.96773696,0.98794818,0.91770738,1.010956
39,-1.0062051,-0.91240627,-0.89068985,-0.95355034,-0.97933519,-0.95307231,-0.94013125,-0.81426984,-0.92336524,-0.92275184,-0.93671769,-0.97745538,-0.92733955,-0.9360671,-0.99766517,-0.93462509,-0.97002506,-0.93338764,-0.90144521,-1.0211108
40,1.0025063,0.90927863,0.92068803,0.96227258,0.95167977,0.92467731,0.94327557,0.83858299,0.93306732,0.93183929,0.9427411,0.95697856,0.92651606,0.92844367,0.9742679,0.90768582,0.96061236,1.0026659,0.9149974,1.0082061
41,-1.0166494,-0.92732477,-0.90350372,-0.95631391,-0.96942556,-0.96257025,-0.95236212,-0.83758503,-0.92984277,-0.92568046,-0.94130713,-0.96223444,-0.92050707,-0.94570065,-1.0007421,-0.93001163,-0.94129241,-0.9392463,-0.90719986,-1.0159036
42,1.0088663,0.91052783,0.93191153,0.96639752,0.94987631,0.92523676,0.93954057,0.84588212,0.95034111,0.9375971,0.94412619,0.95746994,0.92962277,0.9300667,0.97483063,0.90577036,0.96214378,0.98516995,0.92123079,1.0105273
43,-1.0127617,-0.91801214,-0.89961028,-0.95260233,-0.97351998,-0.95915204,-0.9380995,-0.8476131,-0.93315256,-0.92383707,-0.92826104,-0.94782865,-0.92551619,-0.94218099,-0.98492849,-0.92471981,-0.94178319,-0.94777882,-0.91098481,-1.0181923
44,1.0057509,0.91138011,0.9388026,0.95765984,0.95746779,0.92928296,0.94365257,0.86460513,0.94618219,0.93870181,0.95171374,0.94554424,0.92635942,0.93183279,0.99354553,0.92317367,0.96489841,0.99733728,0.92799902,1.0081428
45,-1.0152326,-0.92059976,-0.90722978,-0.95378047,-0.96959704,-0.98306203,-0.93934709,-0.86478686,-0.93769145,-0.93335682,-0.92960215,-0.94125241,-0.93051821,-0.9569276,-1.0221416,-0.95054334,-0.95078039,-0.95871115,-0.9190768,-1.0182859
46,1.0051769,0.91666639,0.93478078,0.96565151,0.98169309,0.94238955,0.94961077,0.87094527,0.94960952,0.94176018,0.94275814,0.93548936,0.92254549,0.93299818,1.0029149,0.92331928,0.96388125,1.0083816,0.94677514,1.0092937
47,-1.0103847,-0.92125684,-0.90910107,-0.95645827,-0.95389724,-0.97685462,-0.94461113,-0.88408655,-0.94821501,-0.95404553,-0.94278359,-0.94113445,-0.92322117,-0.95666838,-1.0138947,-0.9321515,-0.93837881,-0.96232545,-0.92506176,-1.0212387
48,1.0085871,0.91162241,0.93587953,0.97035462,0.95544839,0.93989265,0.95063829,0.88906354,0.9514491,0.9551422,0.95321089,0.93104529,0.93930221,0.93810368,1.0462226,0.9254716,0.96006364,1.0095547,0.95108032,1.0116152
49,-1.0130564,-0.91576487,-0.92247719,-0.96317911,-0.96260989,-0.97389096,-0.93845963,-0.88338244,-0.94479597,-0.94481933,-0.94974023,-0.94089836,-0.9320364,-0.96979326,-1.0170146,-0.94258642,-0.94610775,-0.97545129,-0.93932545,-1.0178353
50,1.0167761,0.91061097,0.94348609,0.95586723,0.98352885,0.93461657,0.94717306,0.89046955,0.96193194,0.94854254,0.93520629,0.91829503,0.93073386,0.9476977,1.0118449,0.93727356,0.95927632,1.0165006,0.94678146,1.0068858
51,-1.0079002,-0.90848929,-0.92466992,-0.97016984,-0.9503305,-1.0005502,-0.93921423,-0.90232331,-0.94214231,-0.94164133,-0.94886136,-0.93789095,-0.94659024,-0.96249592,-1.0204008,-0.96666944,-0.94365817,-0.98621058,-0.9420653,-1.0210286
52,1.0021585,0.89712268,0.95166612,0.96766442,0.99738199,0.96165955,0.95728976,0.90033889,0.95574898,0.95690376,0.96037143,0.92949635,0.95033187,0.93512785,1.0246937,0.98815072,0.97370166,1.0244544,0.94834268,1.0177665
53,-1.0183833,-0.90585637,-0.92742366,-0.96858186,-0.94376665,-0.99313349,-0.94739586,-0.92156363,-0.95717764,-0.94651634,-0.9514125,-0.93594921,-0.94745409,-0.9567489,-1.0246741,-0.97207761,-0.94770861,-0.99049109,-0.94305748,-1.0230221
54,1.0144354,0.89838499,0.93808568,0.95612276,0.99232173,0.96336114,0.95212191,0.91855806,0.96974659,0.95997858,0.94711059,0.9196074,0.95133293,0.93365526,1.0076667,0.9693678,0.96970147,1.0054228,0.95779186,1.0140516
55,-1.0129274,-0.90624332,-0.91429383,-0.9639309,-0.96289265,-1.0007699,-0.9381789,-0.9250139,-0.9464013,-0.94060749,-0.9434697,-0.94244576,-0.94700181,-0.98246646,-1.0364969,-0.94558167,-0.94802481,-0.98172843,-0.95054692,-1.0281293
56,1.0103935,0.88329303,0.93506587,0.97769761,1.0117431,0.95881993,0.96876752,0.91336381,0.98126316,0.97243816,0.95177621,0.92607301,0.95513314,0.93379229,1.0478425,0.96619093,0.97446358,1.0283839,0.96262723,1.0136888
57,-1.0204958,-0.89565235,-0.91606182,-0.98484445,-0.94811201,-0.99984062,-0.95048302,-0.92613566,-0.95037323,-0.95195311,-0.95378983,-0.92492467,-0.95349437,-0.9677974,-1.0506802,-0.97113651,-0.93929833,-0.9814893,-0.95216918,-1.0263541
58,1.0146726,0.89626008,0.9370954,0.97362876,0.99236298,0.96261752,0.94551545,0.94069529,0.95888025,0.97264528,0.9501214,0.91750497,0.96622819,0.93607372,1.0761399,0.98688197,0.99194813,1.031624,0.96566492,1.0222782
59,-1.0264286,-0.9016453,-0.9102428,-0.97870082,-0.95984292,-0.99776423,-0.98011559,-0.94175994,-0.94541776,-0.96617651,-0.94792336,-0.93195814,-0.95701057,-0.94859856,-1.0731095,-0.96632671,-0.95496875,-0.99551874,-0.96463269,-1.0282277
60,1.0093169,0.89965564,0.91806167,0.97735143,0.99977636,0.96303707,0.95083302,0.92640537,0.9748739,0.97866809,0.95537281,0.91200626,0.96576577,0.9255659,1.0947038,1.0014548,0.97614443,1.0343573,0.96038818,1.0190437
61,-1.0201073,-0.90913683,-0.90717679,-1.0017132,-0.98862147,-1.0212941,-0.95946485,-0.94931275,-0.97238916,-0.94749832,-0.94239616,-0.93031889,-0.95198572,-0.96770996,-1.062191,-0.95781338,-0.93203825,-0.98142028,-0.95251375,-1.0250384
62,1.0180612,0.90764403,0.919765,0.9853552,1.014858,0.96169752,0.95220649,0.92029041,0.97049487,0.96605432,0.97121847,0.90757585,0.96560889,0.93515891,1.0315269,0.97778219,0.96757746,1.0227565,0.95708948,1.0157312
63,-1.0076838,-0.92972827,-0.90281272,-0.98329169,-0.96771765,-1.0426497,-0.9606992,-0.94707876,-0.95462531,-0.96535355,-0.93155694,-0.91519064,-0.95718879,-0.9696489,-1.0429486,-0.97091049,-0.93957961,-0.99649674,-0.94072193,-1.0282372
64,1.0104243,0.91140831,0.92850167,0.98677075,1.0566454,0.96779394,0.93075883,0.9176963,0.96721578,0.97580206,0.94551921,0.89548939,0.96757513,0.91756481,1.0589168,1.0089248,0.9714371,1.0216775,0.95406979,1.018473
65,-1.0150177,-0.92385978,-0.90025043,-1.0010918,-0.97706133,-1.0178635,-0.94697648,-0.95064551,-0.95635641,-0.95724785,-0.93790871,-0.91334301,-0.9761914,-0.9407779,-1.0621371,-1.0082816,-0.93600488,-1.0047348,-0.95311481,-1.0303088
66,0.99947739,0.91678208,0.931997,0.97318047,1.0444732,0.9568212,0.96066409,0.92382544,0.98239094,0.97923648,0.95268911,0.91000414,0.9607268,0.90909481,1.0499744,1.015028,0.98201764,1.0259758,0.96921819,1.0132418
67,-1.0039333,-0.92924792,-0.92159045,-0.98245388,-1.0065272,-1.0173624,-0.93716413,-0.95595688,-0.95877916,-0.97128093,-0.944251,-0.9134832,-0.95964104,-0.94445664,-1.0456042,-0.95456982,-0.93021131,-0.98861575,-0.94694334,-1.0289351
68,1.0204051,0.91891611,0.94090414,0.98208916,1.0026685,0.96630061,0.96765435,0.91997296,0.95859677,0.98189265,0.96406627,0.90394104,0.95553958,0.88488537,1.0535049,0.99889427,0.98252165,1.0404485,0.96117723,1.0210041
69,-1.006574,-0.93220448,-0.91617233,-1.0121527,-0.98971671,-1.0075877,-0.9648456,-0.93802869,-0.97301978,-0.98105085,-0.93889356,-0.89773887,-0.97057921,-0.94148612,-1.0763413,-0.9584223,-0.94462055,-0.99774873,-0.96044862,-1.0365117
70,1.0111589,0.90825248,0.95010191,0.99955505,1.0442847,0.9648509,0.93669188,0.91265875,0.96940762,0.98178649,0.95704687,0.88063872,0.95698649,0.88632578,1.0573366,0.99177951,1.000334,1.0250014,0.96977597,1.0162373
71,-1.0027808,-0.93035382,-0.91353405,-0.9899739,-0.98359424,-1.0468949,-0.93450499,-0.94301879,-0.95704556,-0.97872442,-0.94396877,-0.88048309,-0.97655517,-0.93176669,-1.0691334,-0.966483,-0.93751967,-0.9901486,-0.95931381,-1.0362761
72,1.0105742,0.91699117,0.9164058,0.96991563,1.0189092,0.95113653,0.95060647,0.91039526,0.9437111,0.98038995,0.96961534,0.89612198,0.96297073,0.9011724,1.0374508,1.0018454,0.99964595,1.0198766,0.9522689,1.0075674
73,-1.022348,-0.92118573,-0.91338682,-0.97937834,-1.0359092,-1.0247115,-0.92613536,-0.93328875,-0.98153979,-0.94558752,-0.93219173,-0.91445577,-0.96814835,-0.94878858,-1.1003661,-0.98519641,-0.93836635,-0.97719991,-0.95537484,-1.0321864
74,1.0038594,0.90698022,0.93397522,0.9721905,1.0132915,0.95401692,0.96303672,0.91228658,0.97824723,0.97802383,0.96790314,0.88288778,0.95430434,0.92035097,1.0342907,0.99244845,0.99476498,1.0081208,0.96137697,1.0206764
75,-1.0283663,-0.914895,-0.91508889,-1.0090219,-0.9852618,-1.0478027,-0.97199279,-0.94376779,-0.96484333,-0.958206,-0.93778533,-0.88428497,-0.98560029,-0.94570774,-1.0914813,-0.98945606,-0.93250567,-0.97756851,-0.97886705,-1.0361127
76,1.0269068,0.92354292,0.93462318,0.98413193,1.0410105,0.96218598,0.95400399,0.89539927,0.9642005,0.97642493,0.9505899,0.87636262,0.96591139,0.9173696,1.0767928,0.98105615,0.97073466,1.0022852,0.95754844,1.0164376
77,-1.0173501,-0.91703671,-0.9207806,-0.98425448,-0.99949133,-1.0188445,-0.95196533,-0.89600843,-0.95975447,-0.95474654,-0.94252181,-0.86840814,-0.96184039,-0.95260614,-1.0710639,-1.0155381,-0.93527669,-0.97700524,-0.96591663,-1.0299219
78,0.99756157,0.90911824,0.94897419,0.9807685,1.0436959,0.9531123,0.98659694,0.89531589,0.96387678,0.97778136,0.95868433,0.88447207,0.96675962,0.90894407,1.0627694,0.98539102,1.0049956,1.0100926,0.96611679,1.0168047
79,-1.0197988,-0.92989546,-0.90439874,-0.99556023,-0.99183261,-1.0254431,-0.97494,-0.910119,-0.96024728,-0.94820994,-0.94750947,-0.88661331,-0.96045649,-0.95055389,-1.076726,-1.0169569,-0.93909138,-0.97901809,-0.97814113,-1.0311157
80,1.0102072,0.91120362,0.93648916,0.96248972,1.0239668,0.9626081,0.94583368,0.87147212,0.96346289,0.9732883,0.94856834,0.87915659,0.95741856,0.91573006,1.1208125,0.97648209,0.99591237,0.95469368,0.96204245,1.0070809
81,-1.0169395,-0.93374145,-0.90127128,-0.99158424,-0.98637885,-1.0310218,-0.98411411,-0.90189219,-0.95562887,-0.93729603,-0.95363313,-0.87225926,-0.94971848,-0.93928778,-1.1102275,-0.97646099,-0.93570012,-0.95476574,-0.95008802,-1.0442187
82,1.009028,0.89195341,0.95612717,0.96390104,1.0276622,0.92960608,0.98234683,0.8950448,0.94267833,0.99756062,0.93843681,0.89102185,0.967471,0.92190599,1.0901421,1.0184237,0.99366087,0.99048293,0.95466423,1.011645
83,-1.0170866,-0.94336522,-0.93168592,-1.0021666,-1.009593,-0.99927014,-0.9908753,-0.91998172,-0.94679093,-0.94153672,-0.92932057,-0.86615688,-0.95173079,-0.93353981,-1.1094567,-0.9808175,-0.92449164,-0.93976355,-0.94855863,-1.0392213
84,1.0166965,0.89342922,0.90736204,0.9560259,1.003775,0.94954574,0.92750186,0.85586214,0.94265783,0.97534561,0.93767953,0.87352705,0.94777578,0.87688744,1.0999998,1.0176681,0.99934071,0.98317903,0.95749539,1.0057108
85,-1.0259511,-0.93256909,-0.93494093,-0.98621434,-1.030188,-0.99217623,-0.98813492,-0.91011733,-0.97471917,-0.94058269,-0.91724163,-0.88988853,-0.93126541,-0.95024014,-1.1385314,-0.95422202,-0.92370021,-0.92161667,-0.93853551,-1.0461248
86,1.0338045,0.89623046,0.95702916,0.95690417,1.0168829,0.9401567,0.96579367,0.8401413,0.96690625,0.9543156,0.93322289,0.88095325,0.95835084,0.88861358,1.1524872,0.97623807,1.0001969,0.99481308,0.9624815,1.0076377
87,-1.0162667,-0.93621004,-0.91375566,-1.001259,-1.0219686,-0.97736281,-0.97827673,-0.86371166,-0.95727527,-0.95181936,-0.90558124,-0.86866444,-0.94624144,-0.9514035,-1.1567831,-1.0420334,-0.93236613,-0.93452805,-0.93458897,-1.0422724
88,0.99931782,0.91537637,0.97690725,0.97049624,1.0172209,0.93249112,0.93212867,0.84999353,0.93282819,0.97539282,0.91676134,0.85930789,0.96670294,0.90509164,1.0517625,1.0005997,1.0068741,0.95957565,0.94265991,1.0130199
89,-1.0247222,-0.94208431,-0.92614567,-0.99427742,-0.97084653,-1.0243877,-0.97730452,-0.87528658,-1.0097973,-0.9423371,-0.91172665,-0.88506007,-0.94911313,-0.94907677,-1.1410568,-0.99971789,-0.91239673,-0.96006304,-0.9573974,-1.0587825
90,1.0067689,0.91626555,0.94394141,0.95980269,1.0609376,0.90529919,0.93085164,0.84192008,0.91923386,0.97673583,0.92870003,0.85390741,0.96214581,0.86692268,1.108489,0.95553714,0.98637807,0.96800476,0.95813364,1.0092524
91,-1.0165728,-0.94618475,-0.90287995,-0.97893959,-1.0281587,-0.98236442,-0.97691566,-0.88077664,-0.97877747,-0.94764459,-0.89942551,-0.87291628,-0.97067446,-0.93773472,-1.1281348,-0.95132577,-0.91534185,-0.93093991,-0.93162811,-1.0548309
92,1.0247626,0.90360636,0.96952665,0.94247574,1.0561136,0.90785336,0.93397993,0.85683197,0.89557117,0.97241557,0.91536582,0.88605475,0.9671225,0.90075624,1.1255937,1.0249854,1.0130595,0.98615199,0.92844874,1.0190442
93,-1.0192662,-0.93089169,-0.88475704,-1.0079584,-1.016115,-1.0082541,-0.9597131,-0.85235608,-1.0236261,-0.92917764,-0.91416222,-0.88155174,-0.97757119,-0.92137533,-1.0812485,-0.98338085,-0.90811568,-0.93835574,-0.91363221,-1.0341754
94,1.0273981,0.89657009,0.94627273,0.96108007,1.0627458,0.9404425,0.93756062,0.87253553,0.89266932,0.96158177,0.91667295,0.83748722,0.93578684,0.87642819,1.0646752,0.99364734,1.0385779,0.98366523,0.97977161,1.0252922
95,-1.0218781,-0.93621463,-0.89884335,-0.98068702,-1.0524328,-1.0281404,-0.96138966,-0.86346418,-0.93498355,-0.95023727,-0.90141225,-0.87829393,-0.96247888,-0.95810902,-1.0903834,-0.99796313,-0.88793916,-0.9173466,-0.9197042,-1.0585026
96,1.0072148,0.8935948,0.92447525,0.96674258,1.0111285,0.95269883,0.94002253,0.85012811,0.89724565,0.97131336,0.92948848,0.85937291,0.97625619,0.88773638,1.1797971,1.0021822,1.0262338,0.97083294,0.95528501,1.0099913
97,-1.0209589,-0.92338002,-0.89364922,-1.020485,-1.0029726,-1.0783358,-1.0012462,-0.87823802,-0.97670281,-0.90695149,-0.89252281,-0.85003662,-0.96065271,-0.88544023,-1.1320256,-0.96611428,-0.91460395,-0.88579041,-0.92184371,-1.0576991
98,1.0115968,0.91559005,0.93408132,0.93369424,1.0445291,0.89262623,0.92702192,0.83414721,0.92836678,0.95101017,0.91804576,0.85923034,0.91201419,0.94162989,1.1318846,1.0472775,1.0545679,0.94954586,0.92989004,1.0008843
99,-1.0091716,-0.93189722,-0.89018601,-0.94561255,-1.0236109,-1.1709614,-0.96173614,-0.88205057,-0.95700735,-0.94635373,-0.89984328,-0.88183612,-0.97613388,-0.92211354,-1.0993824,-0.96671772,-0.94509304,-0.90624601,-0.93846911,-1.0539515
100,1.0150447,0.89030451,0.93188542,0.96226001,0.97621918,0.86697441,0.91487622,0.88087237,0.9186998,0.97837603,0.94422573,0.80444956,0.93440056,0.90237099,1.1022661,1.0178744,1.0484006,0.97295803,0.94569004,1.0138043
