value,transition_id,transition_name,phase,batch,transition_family,encoding,initial_objects,final_objects,initial_symbols,final_symbols,initial_Q_sum,final_Q_sum,charge_balance_error,charge_conserved,initial_layers,final_layers,layer_transition,route_transition,closure_transition,category_transition,transition_class,source_file,source_note,notes
0.0,T011,negative_kaon_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,charged_multiplicity_delta,k_minus,muon_minus;muon_antineutrino,K-,mu-;anti_nu_mu,-1.0,-1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->lepton;lepton,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,K- -> mu- + anti_nu_mu.,Charge-conjugate counterpart of positive kaon muonic decay.
0.0,T012,positive_kaon_pionic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,charged_multiplicity_delta,k_plus,pi_plus;pi_zero,K+,pi+;pi0,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson->meson;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,K+ -> pi+ + pi0.,Charged kaon routes into charged and neutral composite meson closures.
0.0,T013,negative_kaon_pionic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,charged_multiplicity_delta,k_minus,pi_minus;pi_zero,K-,pi-;pi0,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson->meson;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,K- -> pi- + pi0.,Charge-conjugate composite meson channel.
0.0,T014,eta_two_photon_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,charged_multiplicity_delta,eta,photon;photon,eta,gamma;gamma,0.0,0.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_NEUTRAL_ROUTE->FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->gauge_boson;gauge_boson,NEUTRAL_COMPOSITE_TO_RADIATION,rpp2026-sum-mesons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,eta -> gamma + gamma.,Neutral composite meson routes into two neutral external radiation closures.
2.0,T015,eta_three_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,charged_multiplicity_delta,eta,pi_plus;pi_minus;pi_zero,eta,pi+;pi-;pi0,0.0,0.0,0.0,TRUE,C,C;C;C,C->C;C;C,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson->meson;meson;meson,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,eta -> pi+ + pi- + pi0.,Neutral composite meson routes into charged-pair plus neutral composite closures.
2.0,T016,rho_zero_two_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,charged_multiplicity_delta,rho_zero,pi_plus;pi_minus,rho0,pi+;pi-,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,meson->meson;meson,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,rho0 -> pi+ + pi-.,Neutral vector meson routes into charged composite pair.
0.0,T017,rho_plus_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_or_charged_vector_meson_decay,charged_multiplicity_delta,rho_plus,pi_plus;pi_zero,rho+,pi+;pi0,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson->meson;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,rho+ -> pi+ + pi0.,Charged vector meson routes into charged and neutral composite mesons.
0.0,T018,rho_minus_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_or_charged_vector_meson_decay,charged_multiplicity_delta,rho_minus,pi_minus;pi_zero,rho-,pi-;pi0,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson->meson;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,rho- -> pi- + pi0.,Charge-conjugate vector meson composite channel.
2.0,T019,omega_three_pion_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,charged_multiplicity_delta,omega_meson,pi_plus;pi_minus;pi_zero,omega,pi+;pi-;pi0,0.0,0.0,0.0,TRUE,C,C;C;C,C->C;C;C,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,meson->meson;meson;meson,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,omega -> pi+ + pi- + pi0.,Neutral composite vector meson routes into three composite pions.
2.0,T020,phi_kaon_pair_decay,Phase 3B,expanded_allowed_transition_corpus,neutral_meson_decay,charged_multiplicity_delta,phi_meson,k_plus;k_minus,phi,K+;K-,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,meson->meson;meson,NEUTRAL_COMPOSITE_TO_COMPOSITES,rpp2026-sum-mesons.pdf,phi -> K+ + K-.,Neutral composite vector meson routes into charged kaon pair.
2.0,T021,lambda_to_proton_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,lambda_zero,proton;pi_minus,Lambda0,p;pi-,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Lambda0 -> p + pi-.,Neutral baryon routes into charged baryon plus oppositely charged meson.
0.0,T022,lambda_to_neutron_pion_zero,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,lambda_zero,neutron;pi_zero,Lambda0,n;pi0,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Lambda0 -> n + pi0.,Neutral baryon routes into neutral baryon plus neutral meson.
0.0,T023,sigma_plus_to_proton_pion_zero,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,sigma_plus,proton;pi_zero,Sigma+,p;pi0,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Sigma+ -> p + pi0.,Charged baryon routes into charged baryon plus neutral meson.
0.0,T024,sigma_plus_to_neutron_pion_plus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,sigma_plus,neutron;pi_plus,Sigma+,n;pi+,1.0,1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Sigma+ -> n + pi+.,Charged baryon routes into neutral baryon plus charged meson.
0.0,T025,sigma_minus_to_neutron_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,sigma_minus,neutron;pi_minus,Sigma-,n;pi-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Sigma- -> n + pi-.,Negative baryon routes into neutral baryon plus negative meson.
0.0,T026,xi_minus_to_lambda_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,xi_minus,lambda_zero;pi_minus,Xi-,Lambda0;pi-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Xi- -> Lambda0 + pi-.,Negative cascade baryon routes into neutral baryon plus negative meson.
0.0,T027,xi_zero_to_lambda_pion_zero,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,xi_zero,lambda_zero;pi_zero,Xi0,Lambda0;pi0,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Xi0 -> Lambda0 + pi0.,Neutral cascade baryon routes into neutral baryon plus neutral meson.
0.0,T028,omega_minus_to_lambda_kaon_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,charged_multiplicity_delta,omega_minus,lambda_zero;k_minus,Omega-,Lambda0;K-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Omega- -> Lambda0 + K-.,Negative omega baryon routes into neutral baryon plus negative kaon.
1.0,T029,delta_plus_plus_to_proton_pion_plus,Phase 3B,expanded_allowed_transition_corpus,baryon_resonance_decay,charged_multiplicity_delta,delta_plus_plus,proton;pi_plus,Delta++,p;pi+,2.0,2.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Delta++ -> p + pi+.,Doubly charged baryon resonance routes into two positive composite closures.
0.0,T030,delta_minus_to_neutron_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_resonance_decay,charged_multiplicity_delta,delta_minus,neutron;pi_minus,Delta-,n;pi-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon->baryon;meson,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Delta- -> n + pi-.,Negative baryon resonance routes into neutral baryon plus negative pion.
0.0,T031,w_minus_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,charged_multiplicity_delta,w_minus,muon_minus;muon_antineutrino,W-,mu-;anti_nu_mu,-1.0,-1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson->lepton;lepton,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W- -> mu- + anti_nu_mu.,External charged gauge closure routes into muon channel.
0.0,T032,w_plus_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,charged_multiplicity_delta,w_plus,muon_plus;muon_neutrino,W+,mu+;nu_mu,1.0,1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson->lepton;lepton,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W+ -> mu+ + nu_mu.,Charge-conjugate W muon channel.
0.0,T033,w_minus_tauonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,charged_multiplicity_delta,w_minus,tau_minus;tau_antineutrino,W-,tau-;anti_nu_tau,-1.0,-1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson->lepton;lepton,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W- -> tau- + anti_nu_tau.,External charged gauge closure routes into tau channel.
0.0,T034,w_plus_tauonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,charged_multiplicity_delta,w_plus,tau_plus;tau_neutrino,W+,tau+;nu_tau,1.0,1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson->lepton;lepton,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W+ -> tau+ + nu_tau.,Charge-conjugate W tau channel.
2.0,T035,z_to_electron_pair,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,charged_multiplicity_delta,z_boson,electron;positron,Z,e-;e+,0.0,0.0,0.0,TRUE,A,A;A,A->A;A,FREE_NEUTRAL_ROUTE->FREE_INTEGER_ROUTE;FREE_INTEGER_ROUTE,FREE_NEUTRAL_CLOSURE->FREE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE,gauge_boson->lepton;lepton,NEUTRAL_EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,Z -> e- + e+.,Neutral gauge closure routes into opposite-charge external lepton pair.
2.0,T036,z_to_muon_pair,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,charged_multiplicity_delta,z_boson,muon_minus;muon_plus,Z,mu-;mu+,0.0,0.0,0.0,TRUE,A,A;A,A->A;A,FREE_NEUTRAL_ROUTE->FREE_INTEGER_ROUTE;FREE_INTEGER_ROUTE,FREE_NEUTRAL_CLOSURE->FREE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE,gauge_boson->lepton;lepton,NEUTRAL_EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,Z -> mu- + mu+.,Neutral gauge closure routes into opposite-charge muon pair.
0.0,T037,sigma_zero_radiative_decay,Phase 3B,expanded_allowed_transition_corpus,radiative_decay,charged_multiplicity_delta,sigma_zero,lambda_zero;photon,Sigma0,Lambda0;gamma,0.0,0.0,0.0,TRUE,C,C;A,C->C;A,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,baryon->baryon;gauge_boson,COMPOSITE_TO_COMPOSITE_PLUS_RADIATION,rpp2026-sum-baryons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,Sigma0 -> Lambda0 + gamma.,Neutral baryon closure routes into neutral baryon plus radiation closure.
0.0,T038,eta_prime_radiative_decay,Phase 3B,expanded_allowed_transition_corpus,radiative_decay,charged_multiplicity_delta,eta_prime,rho_zero;photon,eta_prime,rho0;gamma,0.0,0.0,0.0,TRUE,C,C;A,C->C;A,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,meson->meson;gauge_boson,NEUTRAL_COMPOSITE_TO_COMPOSITE_PLUS_RADIATION,rpp2026-sum-mesons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,eta_prime -> rho0 + gamma.,Neutral meson routes into neutral vector meson plus radiation closure.
