transition_id,transition_label,phase3C_group,group_name,transition_status,initial_state,final_state,Qi,Qf,charge_balance_error,electric_charge_violation_flag,free_fractional_externalization_flag,selection_violation_flag,route_incoherence_flag,constrained_flag,boundary_candidate_flag,forbidden_flag,allowed_control_flag,expected_boundary_response,expected_chamber_behavior,audit_status,notes
P3C_A011,z0_to_electron_positron,A,allowed_control,allowed_control,Z0,electron_minus + positron,0.0,0.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,z0_to_electron_positron
P3C_A012,higgs_to_two_photons,A,allowed_control,allowed_control,Higgs,gamma + gamma,0.0,0.0,0.0,0,0,0,0,0,0,0,1,allowed_interior,persistent_allowed_control,balanced,higgs_to_two_photons
P3C_B001,neutron_to_proton_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,neutron,proton + nu_e,0.0,1.0,1.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,neutron_to_proton_neutrino_charge_violation
P3C_B002,electron_to_neutrino_photon_charge_violation,B,charge_violating_mock,forbidden_mock,electron_minus,nu_e + gamma,-1.0,0.0,1.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,electron_to_neutrino_photon_charge_violation
P3C_B003,proton_to_neutron_photon_charge_violation,B,charge_violating_mock,forbidden_mock,proton,neutron + gamma,1.0,0.0,-1.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,proton_to_neutron_photon_charge_violation
P3C_B004,pi_plus_to_two_photons_charge_violation,B,charge_violating_mock,forbidden_mock,pi_plus,gamma + gamma,1.0,0.0,-1.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,pi_plus_to_two_photons_charge_violation
P3C_B005,w_plus_to_electron_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,W_plus,electron_minus + nu_e,1.0,-1.0,-2.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,w_plus_to_electron_neutrino_charge_violation
P3C_B006,mu_minus_to_photon_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,mu_minus,gamma + nu_mu,-1.0,0.0,1.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,mu_minus_to_photon_neutrino_charge_violation
P3C_B007,k_minus_to_neutral_pion_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,K_minus,pi0 + anti_neutrino_mu,-1.0,0.0,1.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,k_minus_to_neutral_pion_neutrino_charge_violation
P3C_B008,delta_pp_to_proton_gamma_charge_violation,B,charge_violating_mock,forbidden_mock,Delta_plus_plus,proton + gamma,2.0,1.0,-1.0,1,0,0,0,0,0,1,0,charge_violation_boundary,fragmented_charge_violation,charge_violating,delta_pp_to_proton_gamma_charge_violation
P3C_C001,proton_to_u_u_d_free_fractional,C,free_fractional_externalization,forbidden_mock,proton,u + u + d,1.0,1.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,proton_to_u_u_d_free_fractional
P3C_C002,neutron_to_u_d_d_free_fractional,C,free_fractional_externalization,forbidden_mock,neutron,u + d + d,0.0,0.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,neutron_to_u_d_d_free_fractional
P3C_C003,pi_plus_to_u_antid_free_fractional,C,free_fractional_externalization,forbidden_mock,pi_plus,u + anti_d,1.0,1.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,pi_plus_to_u_antid_free_fractional
P3C_C004,k_plus_to_u_antis_free_fractional,C,free_fractional_externalization,forbidden_mock,K_plus,u + anti_s,1.0,1.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,k_plus_to_u_antis_free_fractional
P3C_C005,delta_pp_to_u_u_u_free_fractional,C,free_fractional_externalization,forbidden_mock,Delta_plus_plus,u + u + u,2.0,2.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,delta_pp_to_u_u_u_free_fractional
P3C_C006,pi_minus_to_antiu_d_free_fractional,C,free_fractional_externalization,forbidden_mock,pi_minus,anti_u + d,-1.0,-1.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,pi_minus_to_antiu_d_free_fractional
P3C_C007,k_minus_to_antiu_s_free_fractional,C,free_fractional_externalization,forbidden_mock,K_minus,anti_u + s,-1.0,-1.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,k_minus_to_antiu_s_free_fractional
P3C_C008,pi0_to_u_antiu_free_fractional,C,free_fractional_externalization,forbidden_mock,pi0,u + anti_u,0.0,0.0,0.0,0,1,0,1,0,1,1,0,fractional_externalization_boundary,boundary_fractional_externalization,balanced,pi0_to_u_antiu_free_fractional
P3C_D001,proton_to_positron_gamma_baryon_violation,D,selection_rule_violation,forbidden_mock,proton,positron + gamma,1.0,1.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,proton_to_positron_gamma_baryon_violation
P3C_D002,neutron_to_two_photons_baryon_violation,D,selection_rule_violation,forbidden_mock,neutron,gamma + gamma,0.0,0.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,neutron_to_two_photons_baryon_violation
P3C_D003,mu_minus_to_electron_gamma_lfv,D,selection_rule_violation,forbidden_mock,mu_minus,electron_minus + gamma,-1.0,-1.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,mu_minus_to_electron_gamma_lfv
P3C_D004,k_plus_to_pi_plus_gamma_selection_violation,D,selection_rule_violation,forbidden_mock,K_plus,pi_plus + gamma,1.0,1.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,k_plus_to_pi_plus_gamma_selection_violation
P3C_D005,pi0_to_neutrino_antineutrino_constrained,D,selection_rule_violation,forbidden_mock,pi0,nu_e + anti_neutrino_e,0.0,0.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,pi0_to_neutrino_antineutrino_constrained
P3C_D006,tau_minus_to_mu_minus_gamma_lfv,D,selection_rule_violation,forbidden_mock,tau_minus,mu_minus + gamma,-1.0,-1.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,tau_minus_to_mu_minus_gamma_lfv
P3C_D007,lambda0_to_gamma_gamma_baryon_violation,D,selection_rule_violation,forbidden_mock,Lambda0,gamma + gamma,0.0,0.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,lambda0_to_gamma_gamma_baryon_violation
P3C_D008,z0_to_gamma_gamma_selection_boundary,D,selection_rule_violation,forbidden_mock,Z0,gamma + gamma,0.0,0.0,0.0,0,0,1,0,0,0,1,0,selection_boundary,boundary_selection_violation,balanced,z0_to_gamma_gamma_selection_boundary
P3C_E001,positron_to_proton_antineutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,positron,proton + anti_neutron,1.0,1.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,positron_to_proton_antineutron_route_incoherent
P3C_E002,photon_to_proton_antiproton_route_mock,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,gamma,proton + anti_proton,0.0,0.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,photon_to_proton_antiproton_route_mock
P3C_E003,w_plus_to_pi_plus_neutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,W_plus,pi_plus + neutron,1.0,1.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,w_plus_to_pi_plus_neutron_route_incoherent
P3C_E004,mu_plus_to_pi_plus_gamma_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,mu_plus,pi_plus + gamma,1.0,1.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,mu_plus_to_pi_plus_gamma_route_incoherent
P3C_E005,neutrino_to_photon_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,nu_e,gamma,0.0,0.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,neutrino_to_photon_route_incoherent
P3C_E006,electron_to_pi_minus_pi0_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,electron_minus,pi_minus + pi0,-1.0,-1.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,electron_to_pi_minus_pi0_route_incoherent
P3C_E007,z0_to_neutron_antineutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,Z0,neutron + anti_neutron,0.0,0.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,z0_to_neutron_antineutron_route_incoherent
P3C_E008,higgs_to_proton_antiproton_route_mock,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,Higgs,proton + anti_proton,0.0,0.0,0.0,0,0,0,1,0,0,1,0,route_incoherence_boundary,unstable_route_incoherence,balanced,higgs_to_proton_antiproton_route_mock
P3C_F001,proton_decay_to_positron_pi0_constrained,F,constrained_boundary_case,constrained_unconfirmed,proton,positron + pi0,1.0,1.0,0.0,0,0,1,0,1,1,1,0,constrained_boundary,transitional_constrained_case,balanced,proton_decay_to_positron_pi0_constrained
P3C_F002,proton_decay_to_mu_plus_pi0_constrained,F,constrained_boundary_case,constrained_unconfirmed,proton,mu_plus + pi0,1.0,1.0,0.0,0,0,1,0,1,1,1,0,constrained_boundary,transitional_constrained_case,balanced,proton_decay_to_mu_plus_pi0_constrained
P3C_F003,proton_decay_to_antineutrino_kplus_constrained,F,constrained_boundary_case,constrained_unconfirmed,proton,anti_neutrino_e + K_plus,1.0,1.0,0.0,0,0,1,0,1,1,1,0,constrained_boundary,transitional_constrained_case,balanced,proton_decay_to_antineutrino_kplus_constrained
P3C_F004,mu_minus_to_electron_gamma_constrained,F,constrained_boundary_case,constrained_unconfirmed,mu_minus,electron_minus + gamma,-1.0,-1.0,0.0,0,0,1,0,1,1,1,0,constrained_boundary,transitional_constrained_case,balanced,mu_minus_to_electron_gamma_constrained
