transition_id,initial_state,final_state,Qi,Qf,error,abs_error,expected_balanced,balance_status,expectation_status
P3C_B007,K_minus,pi0 + anti_neutrino_mu,-1.0,0.0,1.0,1.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
P3C_B008,Delta_plus_plus,proton + gamma,2.0,1.0,-1.0,1.0,0,FAIL_CHARGE_VIOLATION,EXPECTED_VIOLATION
P3C_C001,proton,u + u + d,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_C002,neutron,u + d + d,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_C003,pi_plus,u + anti_d,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_C004,K_plus,u + anti_s,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_C005,Delta_plus_plus,u + u + u,2.0,2.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_C006,pi_minus,anti_u + d,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_C007,K_minus,anti_u + s,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_C008,pi0,u + anti_u,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D001,proton,positron + gamma,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D002,neutron,gamma + gamma,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D003,mu_minus,electron_minus + gamma,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D004,K_plus,pi_plus + gamma,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D005,pi0,nu_e + anti_neutrino_e,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D006,tau_minus,mu_minus + gamma,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D007,Lambda0,gamma + gamma,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_D008,Z0,gamma + gamma,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E001,positron,proton + anti_neutron,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E002,gamma,proton + anti_proton,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E003,W_plus,pi_plus + neutron,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E004,mu_plus,pi_plus + gamma,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E005,nu_e,gamma,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E006,electron_minus,pi_minus + pi0,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E007,Z0,neutron + anti_neutron,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_E008,Higgs,proton + anti_proton,0.0,0.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_F001,proton,positron + pi0,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_F002,proton,mu_plus + pi0,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_F003,proton,anti_neutrino_e + K_plus,1.0,1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
P3C_F004,mu_minus,electron_minus + gamma,-1.0,-1.0,0.0,0.0,1,PASS_BALANCED,EXPECTED_BALANCED
