Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""9l""","=""2L""","=""15/2""","=""(""","=""433490.489600115""","="")""","=""0.000000010""","="" 100                    ""","=""L3620c107"""
"=""9k""","=""2K*""","=""15/2""","=""(""","=""433490.48960487""","="")""","=""0.00000004""","="" 100                    ""","=""L3620c107"""
"=""9l""","=""2L""","=""17/2""","=""(""","=""433490.491385335""","="")""","=""0.000000010""","="" 100                    ""","=""L3620c107"""
"=""10p""","=""2P*""","=""1/2""","=""(""","=""434519.9013585""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""10s""","=""2S""","=""1/2""","=""(""","=""434519.9051443""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""10d""","=""2D""","=""3/2""","=""(""","=""434519.9481342""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""10p""","=""2P*""","=""3/2""","=""(""","=""434519.9482148""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""10f""","=""2F*""","=""5/2""","=""(""","=""434519.9637232""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""10d""","=""2D""","=""5/2""","=""(""","=""434519.9637522""","="")""","=""0.0000010""","="" 100                    ""","=""L3620c107"""
"=""10g""","=""2G""","=""7/2""","=""(""","=""434519.9715169""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""10f""","=""2F*""","=""7/2""","=""(""","=""434519.9715319""","="")""","=""0.0000009""","="" 100                    ""","=""L3620c107"""
"=""10h""","=""2H*""","=""9/2""","=""(""","=""434519.97619285""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""10g""","=""2G""","=""9/2""","=""(""","=""434519.9762021""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""10i""","=""2I""","=""11/2""","=""(""","=""434519.97931004""","="")""","=""0.00000009""","="" 100                    ""","=""L3620c107"""
"=""10h""","=""2H*""","=""11/2""","=""(""","=""434519.97931635""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""10k""","=""2K*""","=""13/2""","=""(""","=""434519.98153650""","="")""","=""0.00000005""","="" 100                    ""","=""L3620c107"""
"=""10i""","=""2I""","=""13/2""","=""(""","=""434519.98154107""","="")""","=""0.00000009""","="" 100                    ""","=""L3620c107"""
"=""10l""","=""2L""","=""15/2""","=""(""","=""434519.983206287""","="")""","=""0.00000002""","="" 100                    ""","=""L3620c107"""
"=""10k""","=""2K*""","=""15/2""","=""(""","=""434519.98320976""","="")""","=""0.00000005""","="" 100                    ""","=""L3620c107"""
"=""10m""","=""2M*""","=""17/2""","=""(""","=""434519.984504989""","="")""","=""0.000000007""","="" 100                    ""","=""L3620c107"""
"=""10l""","=""2L""","=""17/2""","=""(""","=""434519.984507717""","="")""","=""0.00000002""","="" 100                    ""","=""L3620c107"""
"=""10m""","=""2M*""","=""19/2""","=""(""","=""434519.985546130""","="")""","=""0.000000007""","="" 100                    ""","=""L3620c107"""
"=""11p""","=""2P*""","=""1/2""","=""(""","=""435281.6307420""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""11s""","=""2S""","=""1/2""","=""(""","=""435281.6335866""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""11d""","=""2D""","=""3/2""","=""(""","=""435281.6658851""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""11p""","=""2P*""","=""3/2""","=""(""","=""435281.6659458""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""11f""","=""2F*""","=""5/2""","=""(""","=""435281.6775973""","="")""","=""0.0000007""","="" 100                    ""","=""L3620c107"""
"=""11d""","=""2D""","=""5/2""","=""(""","=""435281.6776188""","="")""","=""0.0000008""","="" 100                    ""","=""L3620c107"""
"=""11g""","=""2G""","=""7/2""","=""(""","=""435281.6834528""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""11f""","=""2F*""","=""7/2""","=""(""","=""435281.6834641""","="")""","=""0.0000007""","="" 100                    ""","=""L3620c107"""
"=""11h""","=""2H*""","=""9/2""","=""(""","=""435281.68696592""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""11g""","=""2G""","=""9/2""","=""(""","=""435281.6869729""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""11i""","=""2I""","=""11/2""","=""(""","=""435281.68930788""","="")""","=""0.00000008""","="" 100                    ""","=""L3620c107"""
"=""11h""","=""2H*""","=""11/2""","=""(""","=""435281.68931262""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""11k""","=""2K*""","=""13/2""","=""(""","=""435281.69098065""","="")""","=""0.00000004""","="" 100                    ""","=""L3620c107"""
"=""11i""","=""2I""","=""13/2""","=""(""","=""435281.69098408""","="")""","=""0.00000008""","="" 100                    ""","=""L3620c107"""
"=""11l""","=""2L""","=""15/2""","=""(""","=""435281.692235191""","="")""","=""0.00000002""","="" 100                    ""","=""L3620c107"""
"=""11k""","=""2K*""","=""15/2""","=""(""","=""435281.69223780""","="")""","=""0.00000004""","="" 100                    ""","=""L3620c107"""
"=""11m""","=""2M*""","=""17/2""","=""(""","=""435281.693210925""","="")""","=""0.000000010""","="" 100                    ""","=""L3620c107"""
"=""11l""","=""2L""","=""17/2""","=""(""","=""435281.693212971""","="")""","=""0.00000002""","="" 100                    ""","=""L3620c107"""
"=""11n""","=""2N""","=""19/2""","=""(""","=""435281.693991493""","="")""","=""0.000000004""","="" 100                    ""","=""L3620c107"""
"=""11m""","=""2M*""","=""19/2""","=""(""","=""435281.693993145""","="")""","=""0.000000010""","="" 100                    ""","=""L3620c107"""
"=""11n""","=""2N""","=""21/2""","=""(""","=""435281.694631494""","="")""","=""0.000000004""","="" 100                    ""","=""L3620c107"""
"=""12p""","=""2P*""","=""1/2""","=""(""","=""435860.9871441""","="")""","=""0.0000006""","="" 100                    ""","=""L3620c107"""
"=""12s""","=""2S""","=""1/2""","=""(""","=""435860.98933550""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""12o""","=""2O*""","=""23/2""","=""(""","=""435861.0367649250""","="")""","=""0.000000002""","="" 100                    ""","=""L3620c107"""
"=""13p""","=""2P*""","=""1/2""","=""(""","=""436311.8618159""","="")""","=""0.0000005""","="" 100                    ""","=""L3620c107"""
"=""13s""","=""2S""","=""1/2""","=""(""","=""436311.86353949""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""13q""","=""2Q""","=""25/2""","=""(""","=""436311.9011165370""","="")""","=""0.0000000011""","="" 100                    ""","=""L3620c107"""
"=""14p""","=""2P*""","=""1/2""","=""(""","=""436669.6164891""","="")""","=""0.0000004""","="" 100                    ""","=""L3620c107"""
"=""14s""","=""2S""","=""1/2""","=""(""","=""436669.61786918""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""14r""","=""2R*""","=""27/2""","=""(""","=""436669.6481424940""","="")""","=""0.0000000009""","="" 100                    ""","=""L3620c107"""
"=""15p""","=""2P*""","=""1/2""","=""(""","=""436958.2342977""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""15s""","=""2S""","=""1/2""","=""(""","=""436958.23541990""","="")""","=""0.00000010""","="" 100                    ""","=""L3620c107"""
"=""15t""","=""2T""","=""29/2""","=""(""","=""436958.2601650090""","="")""","=""0.0000000007""","="" 100                    ""","=""L3620c107"""
"=""16p""","=""2P*""","=""1/2""","=""(""","=""437194.4465331""","="")""","=""0.0000003""","="" 100                    ""","=""L3620c107"""
"=""16s""","=""2S""","=""1/2""","=""(""","=""437194.44745771""","="")""","=""0.00000010""","="" 100                    ""","=""L3620c107"""
"=""16u""","=""2U*""","=""31/2""","=""(""","=""437194.4679421100""","="")""","=""0.0000000006""","="" 100                    ""","=""L3620c107"""
"=""17p""","=""2P*""","=""1/2""","=""(""","=""437390.21323955""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""17s""","=""2S""","=""1/2""","=""(""","=""437390.21401038""","="")""","=""0.00000009""","="" 100                    ""","=""L3620c107"""
"=""17v""","=""2V""","=""33/2""","=""(""","=""437390.2311582170""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""18p""","=""2P*""","=""1/2""","=""(""","=""437554.26748285""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""18s""","=""2S""","=""1/2""","=""(""","=""437554.26813229""","="")""","=""0.00000008""","="" 100                    ""","=""L3620c107"""
"=""18w""","=""2W*""","=""35/2""","=""(""","=""437554.2826303230""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""19p""","=""2P*""","=""1/2""","=""(""","=""437693.10646024""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""19s""","=""2S""","=""1/2""","=""(""","=""437693.10701251""","="")""","=""0.00000006""","="" 100                    ""","=""L3620c107"""
"=""19x""","=""2X""","=""37/2""","=""(""","=""437693.1193795750""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""20p""","=""2P*""","=""1/2""","=""(""","=""437811.64483364""","="")""","=""0.0000002""","="" 100                    ""","=""L3620c107"""
"=""20s""","=""2S""","=""1/2""","=""(""","=""437811.64530704""","="")""","=""0.00000006""","="" 100                    ""","=""L3620c107"""
"=""20y""","=""2Y*""","=""39/2""","=""(""","=""437811.6559409790""","="")""","=""0.0000000005""","="" 100                    ""","=""L3620c107"""
"=""""","=""Limit""","=""---""","=""(""","=""438908.878840""","="")""","=""0.000008""","=""                        ""","=""L19200"""
