sample_index,trajectory_role,evolution_direction,redshift,scale_factor,ln_scale_factor,contraction_elapsed_time_Gyr,time_to_numerical_cutoff_Gyr,H_signed_km_s_Mpc,H_magnitude_km_s_Mpc,E_of_a,E2_of_a,Omega_m_planck,Omega_r_effective,Omega_Lambda_planck,Omega_Lambda_dynamic,present_closure_planck_plus_radiation,present_closure_dynamic,rho_m_relative_to_rho_crit0,rho_r_relative_to_rho_crit0,rho_lambda_relative_to_rho_crit0,rho_total_relative_to_rho_crit0,fraction_matter_at_a,fraction_radiation_at_a,fraction_lambda_at_a,ricci_scalar_over_6H0sq,scale_factor_margin_component,density_margin_component,curvature_margin_component,boundary_margin_candidate,distance_to_cutoff_log_a
10,classical_singular_approach,contraction,0.0471285480509,0.954992586021,-0.0460517018599,0.661386914047,13.1355205564,-68.8792640371,68.8792640371,1.02313492063,1.04680506582,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.362583124762,0.000110802853196,0.684111138201,1.04680506582,0.346371198041,0.000105848602394,0.653522953357,1.54951383878,0.954992586021,0.488566310833,0.392231642279,0.392231642279,18.3746290421
11,classical_singular_approach,contraction,0.0519618738232,0.950604793656,-0.0506568720459,0.726682219769,13.0702252507,-69.0450797048,69.0450797048,1.02559795217,1.0518511595,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.367627158472,0.000112862832037,0.684111138201,1.0518511595,0.349504922964,0.000107299241929,0.650387777794,1.55203585564,0.950604793656,0.487364785388,0.391844024366,0.391844024366,18.3700238719
12,classical_singular_approach,contraction,0.0568175092137,0.946237161366,-0.0552620422319,0.791820009041,13.0050874614,-69.2127968363,69.2127968363,1.02808922813,1.05696746099,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.372741361681,0.000114961108745,0.684111138201,1.05696746099,0.352651690272,0.00010876504054,0.647239544688,1.55459295724,0.946237161366,0.48615256146,0.391451795545,0.391451795545,18.3654187017
13,classical_singular_approach,contraction,0.0616955571987,0.941889596523,-0.0598672124178,0.856799248524,12.9401082219,-69.3824335483,69.3824335483,1.03060901759,1.06215494714,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.377926710543,0.000117098395328,0.684111138201,1.06215494714,0.355811279287,0.000110246057455,0.644078474655,1.55718563167,0.941889596523,0.484929612776,0.391054911155,0.391054911155,18.3608135315
14,classical_singular_approach,contraction,0.0665961212303,0.937562006926,-0.0644723826038,0.921618908537,12.8752885619,-69.5540080652,69.5540080652,1.03315759128,1.06741460841,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.383184194794,0.000119275417036,0.684111138201,1.06741460841,0.35898346507,0.000111742350251,0.64090479258,1.5598143738,0.937562006926,0.483695914661,0.390653326364,0.390653326364,18.3562083613
15,classical_singular_approach,contraction,0.0715193052376,0.933254300797,-0.0690775527898,0.98627796325,12.8106295072,-69.7275387199,69.7275387199,1.0357352215,1.07274744905,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.388514817936,0.0001214929126,0.684111138201,1.07274744905,0.362168018465,0.000113253974836,0.63771872756,1.56247968537,0.933254300797,0.482451444077,0.390246996185,0.390246996185,18.3516031912
16,classical_singular_approach,contraction,0.0764652136298,0.92896638678,-0.0736827229758,1.05077539089,12.7461320795,-69.9030439526,69.9030439526,1.03834218217,1.07815448727,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.393919597432,0.000123751634484,0.684111138201,1.07815448727,0.365364706157,0.00011478098542,0.634520512858,1.56518207512,0.92896638678,0.481196179652,0.389835875472,0.389835875472,18.346998021
17,classical_singular_approach,contraction,0.0814339512979,0.924698173938,-0.0782878931618,1.11511017395,12.6817972965,-70.0805423113,70.0805423113,1.0409787488,1.08363675545,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.399399564901,0.000126052349143,0.684111138201,1.08363675545,0.36857329072,0.000116323434498,0.631310385846,1.56792205885,0.924698173938,0.479930101724,0.389419918939,0.389419918939,18.3423928508
18,classical_singular_approach,contraction,0.0864256236171,0.920449571753,-0.0828930633478,1.17928129938,12.617626171,-70.2600524514,70.2600524514,1.0436451985,1.08919530035,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.404955766312,0.000128395837281,0.684111138201,1.08919530035,0.371793530675,0.000117881372826,0.628088587952,1.57070015956,0.920449571753,0.478653192371,0.388999081158,0.388999081158,18.3377876806
19,classical_singular_approach,contraction,0.0914403364488,0.916220490122,-0.0874982335338,1.24328775879,12.5536197116,-70.4415931352,70.4415931352,1.04634180996,1.09483118328,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.410589262183,0.000130782894116,0.684111138201,1.09483118328,0.375025180552,0.000119454849399,0.624855364598,1.57351690749,0.916220490122,0.47736543545,0.388573316572,0.388573316572,18.3331825104
20,classical_singular_approach,contraction,0.0964781961432,0.912010839356,-0.0921034037198,1.30712854867,12.4897789218,-70.6251832319,70.6251832319,1.04906886348,1.10054548032,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.416301127789,0.000133214329652,0.684111138201,1.10054548032,0.378267990949,0.000121043911436,0.621610965139,1.5763728403,0.912010839356,0.476066816629,0.388142579505,0.388142579505,18.3285773402
21,classical_singular_approach,contraction,0.101539309541,0.907820530178,-0.0967085739058,1.37080267056,12.4261047999,-70.8108417175,70.8108417175,1.05182664091,1.10633928253,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.42209245336,0.000135690968949,0.684111138201,1.10633928253,0.381521708598,0.000122648604358,0.618355642797,1.57926850308,0.907820530178,0.474757323426,0.387706824165,0.387706824165,18.32397217
22,classical_singular_approach,contraction,0.106623783978,0.903649473722,-0.101313744092,1.4343091313,12.3625983391,-70.9985876744,70.9985876744,1.05461542571,1.11221369615,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.427964344295,0.000138213652408,0.684111138201,1.11221369615,0.384786076432,0.000124268971769,0.615089654596,1.58220444855,0.903649473722,0.473436945241,0.387266004658,0.387266004658,18.3193669999
23,classical_singular_approach,contraction,0.111731727282,0.89949758153,-0.105918914278,1.49764694319,12.2992605272,-71.1884402909,71.1884402909,1.05743550291,1.11816984281,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.43391792137,0.000140783236054,0.684111138201,1.11816984281,0.388060833657,0.000125905055444,0.611813261287,1.58518123709,0.89949758153,0.472105673393,0.386820074993,0.386820074993,18.3147618297
24,classical_singular_approach,contraction,0.116863247781,0.89536476555,-0.110524084464,1.56081512422,12.2360923462,-71.3804188615,71.3804188615,1.0602871591,1.12420885975,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.439954320953,0.000143400591827,0.684111138201,1.12420885975,0.391345715824,0.000127556895308,0.608526727281,1.58819943688,0.89536476555,0.470763501156,0.386368989094,0.386368989094,18.3101566595
25,classical_singular_approach,contraction,0.122018454302,0.891250938134,-0.11512925465,1.62381269827,12.1730947722,-71.5745427865,71.5745427865,1.06317068245,1.13033190003,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.446074695218,0.000146066607877,0.684111138201,1.13033190003,0.394640454903,0.000129224529427,0.605230320568,1.59125962401,0.891250938134,0.469410423788,0.385912700809,0.385912700809,18.3055514893
26,classical_singular_approach,contraction,0.127197456176,0.887156012038,-0.119734424836,1.68663869528,12.1102687751,-71.7708315715,71.7708315715,1.06608636271,1.13654013276,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.452280212371,0.000148782188866,0.684111138201,1.13654013276,0.397944779365,0.000130907993987,0.601924312641,1.59436238259,0.887156012038,0.46804643857,0.385451163921,0.385451163921,18.3009463191
27,classical_singular_approach,contraction,0.132400363236,0.883079900419,-0.124339595022,1.74929215152,12.0476153189,-71.9693048273,71.9693048273,1.06903449118,1.14283474332,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.458572056866,0.000151548256274,0.684111138201,1.14283474332,0.401258414259,0.00013260732329,0.598608978418,1.59750830483,0.883079900419,0.466671544838,0.384984332153,0.384984332153,18.2963411489
28,classical_singular_approach,contraction,0.137627285823,0.879022516831,-0.128944765208,1.8117721097,11.9851353607,-72.16998227,72.16998227,1.0720153607,1.14921693359,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.464951429637,0.000154365748716,0.684111138201,1.14921693359,0.404581081298,0.000134322549733,0.595284596152,1.60069799122,0.879022516831,0.465285744018,0.384512159188,0.384512159188,18.2917359787
29,classical_singular_approach,contraction,0.14287833479,0.874983775227,-0.133549935394,1.87407761928,11.9228298512,-72.3728837201,72.3728837201,1.07502926572,1.15568792215,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.471419548323,0.000157235622252,0.684111138201,1.15568792215,0.407912498945,0.000136053703806,0.591951447351,1.60393205056,0.874983775227,0.463889039655,0.384034598669,0.384034598669,18.2871308086
30,classical_singular_approach,contraction,0.148153621497,0.870963589956,-0.13815510558,1.93620773656,11.8606997339,-72.578029103,72.578029103,1.07807650218,1.16224894456,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.477977647504,0.000160158850722,0.684111138201,1.16224894456,0.411252382498,0.000137800814078,0.588609816688,1.60721110015,0.870963589956,0.462481437449,0.383551604218,0.383551604218,18.2825256384
31,classical_singular_approach,contraction,0.153453257821,0.866961875758,-0.142760275766,1.99816152495,11.7987459455,-72.7854384483,72.7854384483,1.08115736762,1.16890125356,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.484626978932,0.000163136426066,0.684111138201,1.16890125356,0.414600444183,0.00013956390719,0.58525999191,1.61053576587,0.866961875758,0.461062945286,0.383063129444,0.383063129444,18.2779204682
32,classical_singular_approach,contraction,0.158777356155,0.862978547767,-0.147365445952,2.05993805517,11.7369694153,-72.9951318896,72.9951318896,1.0842721611,1.17564611933,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.491368811774,0.000166169358668,0.684111138201,1.17564611933,0.417956393249,0.000141343007845,0.581902263743,1.61390668229,0.862978547767,0.45963357327,0.382569127955,0.382569127955,18.273315298
33,classical_singular_approach,contraction,0.16412602941,0.859013521505,-0.151970616138,2.12153640539,11.675371065,-73.2071296646,73.2071296646,1.08742118323,1.18248482973,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.498204432854,0.000169258677698,0.684111138201,1.18248482973,0.421319936059,0.000143138138809,0.578536925802,1.61732449283,0.859013521505,0.458193333753,0.38206955337,0.38206955337,18.2687101278
34,classical_singular_approach,contraction,0.16949939102,0.855066712885,-0.156575786324,2.18295566149,11.6139518089,-73.4214521145,73.4214521145,1.09060473616,1.18941869053,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.505135146895,0.000172405431457,0.684111138201,1.18941869053,0.42469077619,0.000144949320899,0.575164274489,1.62078984985,0.855066712885,0.456742241366,0.381564359331,0.381564359331,18.2641049576
35,classical_singular_approach,contraction,0.17489755494,0.851138038202,-0.16118095651,2.24419491721,11.5527125532,-73.638119684,73.638119684,1.09382312357,1.19644902566,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.512162276773,0.000175610687736,0.684111138201,1.19644902566,0.428068614532,0.000146776572983,0.571784608895,1.62430341479,0.851138038202,0.455280313049,0.381053499517,0.381053499517,18.2594997874
36,classical_singular_approach,contraction,0.180320635652,0.847227414141,-0.165786126696,2.30525327437,11.4916541961,-73.8571529212,73.8571529212,1.09707665069,1.2035771775,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.519287163765,0.000178875534178,0.684111138201,1.2035771775,0.431453149389,0.000148619911977,0.568398230699,1.62786585828,0.847227414141,0.453807568081,0.380536927655,0.380536927655,18.2548946173
37,classical_singular_approach,contraction,0.185768748167,0.843334757764,-0.170391296882,2.36612984307,11.4307776274,-74.078572477,74.078572477,1.10036562428,1.21080450709,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.526511167808,0.000182201078647,0.684111138201,1.21080450709,0.434844076584,0.000150479352844,0.565005444063,1.63147786031,0.843334757764,0.452324028106,0.380014597533,0.380014597533,18.2502894471
38,classical_singular_approach,contraction,0.191242008027,0.839459986519,-0.174996467068,2.42682374183,11.3700837286,-74.3023991054,74.3023991054,1.10369035259,1.21813239441,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.533835667758,0.000185588449604,0.684111138201,1.21813239441,0.438241089563,0.000152354908593,0.561606555528,1.63514011028,0.839459986519,0.450829717162,0.379486463015,0.379486463015,18.2456842769
39,classical_singular_approach,contraction,0.196740531307,0.835603018231,-0.179601637254,2.48733409783,11.3095733726,-74.528653663,74.528653663,1.10705114545,1.22556223865,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.541262061652,0.000189038796489,0.684111138201,1.22556223865,0.441643879505,0.000154246590281,0.558201873905,1.63885330723,0.835603018231,0.449324661712,0.378952478056,0.378952478056,18.2410791067
40,classical_singular_approach,contraction,0.202264434617,0.831763771103,-0.18420680744,2.54766004709,11.2492474233,-74.7573571087,74.7573571087,1.11044831418,1.23309545847,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.548791766976,0.000192553290112,0.684111138201,1.23309545847,0.445052135427,0.000156154407017,0.554791710166,1.64261815989,0.831763771103,0.447808890663,0.378412596711,0.378412596711,18.2364739365
41,classical_singular_approach,contraction,0.207813835107,0.827942163712,-0.188811977626,2.60780073464,11.1891067358,-74.9885305039,74.9885305039,1.11388217162,1.24073349226,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.556426220936,0.000196133123049,0.684111138201,1.24073349226,0.448465544299,0.000158078365961,0.551376377335,1.64643538687,0.827942163712,0.446282435396,0.377866773155,0.377866773155,18.2318687663
42,classical_singular_approach,contraction,0.213388850465,0.824138115013,-0.193417147812,2.66775531469,11.1291521557,-75.2221950123,75.2221950123,1.11735303214,1.24847779844,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.564166880729,0.00019977951005,0.684111138201,1.24847779844,0.451883791153,0.000160018472335,0.547956190375,1.65030571677,0.824138115013,0.444745329793,0.377314961694,0.377314961694,18.2272635961
43,classical_singular_approach,contraction,0.218989598925,0.82035154433,-0.198022317997,2.72752295085,11.0693845196,-75.4583718993,75.4583718993,1.12086121162,1.25632985572,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.572015223827,0.000203493688447,0.684111138201,1.25632985572,0.4553065592,0.000161974729424,0.54453146607,1.65422988832,0.82035154433,0.443197610255,0.376757116783,0.376757116783,18.222658426
44,classical_singular_approach,contraction,0.224616199265,0.816582371359,-0.202627488183,2.78710281628,11.0098046541,-75.6970825322,75.6970825322,1.12440702745,1.26429116337,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.579972748253,0.000207276918575,0.684111138201,1.26429116337,0.458733529946,0.000163947138587,0.541102522916,1.65820865053,0.816582371359,0.441639315728,0.376193193037,0.376193193037,18.2180532558
45,classical_singular_approach,contraction,0.230268770812,0.812830516164,-0.207232658369,2.8464940939,10.9504133765,-75.9383483803,75.9383483803,1.12799079852,1.27236324156,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.588040972871,0.000211130484203,0.684111138201,1.27236324156,0.462164383303,0.000165935699262,0.537669680998,1.66224276284,0.812830516164,0.440070487725,0.375623145252,0.375623145252,18.2134480856
46,classical_singular_approach,contraction,0.235947433445,0.809095899178,-0.211837828555,2.9056959765,10.8912114939,-76.1821910141,76.1821910141,1.13161284526,1.28054763157,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.596221437673,0.000215055692965,0.684111138201,1.28054763157,0.465598797714,0.000167940408981,0.534233261877,1.66633299524,0.809095899178,0.438491170348,0.375046928417,0.375046928417,18.2088429154
47,classical_singular_approach,contraction,0.241652307592,0.805378441199,-0.216442998741,2.96470766699,10.8321998034,-76.4286321057,76.4286321057,1.13527348959,1.28884589615,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.604515704077,0.000219053876806,0.684111138201,1.28884589615,0.46903645027,0.000169961263375,0.530793588467,1.67048012844,0.805378441199,0.436901410305,0.374464497732,0.374464497732,18.2042377452
48,classical_singular_approach,contraction,0.247383514243,0.801678063388,-0.221048168927,3.02352837851,10.7733790919,-76.6776934287,76.6776934287,1.13897305491,1.29725961981,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.61292535522,0.000223126392435,0.684111138201,1.29725961981,0.472477016827,0.000171998256191,0.527350984916,1.67468495401,0.801678063388,0.43530125693,0.373875808626,0.373875808626,18.199632575
49,classical_singular_approach,contraction,0.253141174941,0.797994687268,-0.225653339113,3.08215733463,10.7147501358,-76.9293968577,76.9293968577,1.14271186617,1.30579040909,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.621451996265,0.000227274621781,0.684111138201,1.30579040909,0.475920172135,0.000174051379302,0.523905776486,1.67894827453,0.797994687268,0.433690762204,0.373280816769,0.373280816769,18.1950274048
50,classical_singular_approach,contraction,0.258925411794,0.794328234724,-0.230258509299,3.1405937695,10.6563137009,-77.1837643688,77.1837643688,1.14649024979,1.31443989287,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.630097254702,0.00023149997247,0.684111138201,1.31443989287,0.47936558995,0.000176120622727,0.520458289427,1.68327090375,0.794328234724,0.432069980767,0.372679478096,0.372679478096,18.1904222347
51,classical_singular_approach,contraction,0.264736347471,0.790678628,-0.234863679485,3.19883692802,10.5980705424,-77.440818039,77.440818039,1.15030853372,1.32320972274,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.638862780663,0.000235803878293,0.684111138201,1.32320972274,0.482812943166,0.000178205974639,0.517008850859,1.68765366673,0.790678628,0.430438969935,0.372071748818,0.372071748818,18.1858170645
52,classical_singular_approach,contraction,0.270574105209,0.787045789695,-0.239468849671,3.25688606599,10.5400214044,-77.7005800464,77.7005800464,1.15416704737,1.33210157324,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.647750247238,0.000240187799699,0.684111138201,1.33210157324,0.486261903935,0.000180307421389,0.513557788644,1.69209740002,0.787045789695,0.428797789717,0.371457585447,0.371457585447,18.1812118943
53,classical_singular_approach,contraction,0.276438808811,0.783429642766,-0.244074019857,3.31474045027,10.4821670202,-77.9630726701,77.9630726701,1.15806612169,1.34111714221,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.656761350788,0.000244653224289,0.684111138201,1.34111714221,0.489712143791,0.000182424947522,0.510105431261,1.6966029518,0.783429642766,0.427146502825,0.370836944806,0.370836944806,18.1766067241
54,classical_singular_approach,contraction,0.282330582656,0.779830110523,-0.248679190043,3.37239935895,10.4245081115,-78.2283182902,78.2283182902,1.16200608912,1.35025815114,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.665897811276,0.00024920166732,0.684111138201,1.35025815114,0.493163333776,0.000184558535795,0.506652107689,1.70117118204,0.779830110523,0.425485174687,0.370209784056,0.370209784056,18.1720015539
55,classical_singular_approach,contraction,0.288249551693,0.776247116629,-0.253284360229,3.42986208145,10.367045389,-78.4963393878,78.4963393878,1.16598728358,1.35952634546,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.67516137259,0.000253834672221,0.684111138201,1.35952634546,0.496615144563,0.0001867081672,0.503198147269,1.7058029627,0.776247116629,0.423813873459,0.369576060706,0.369576060706,18.1673963837
56,classical_singular_approach,contraction,0.29419584145,0.772680585096,-0.257889530415,3.48712791872,10.3097795517,-78.7671585449,78.7671585449,1.17001004051,1.36892349489,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.684553802879,0.000258553811114,0.684111138201,1.36892349489,0.500067246587,0.000188873820983,0.499743879592,1.71049917784,0.772680585096,0.422132670032,0.368935732641,0.368935732641,18.1627912135
57,classical_singular_approach,contraction,0.300169578033,0.769130440287,-0.262494700601,3.54419618337,10.2527112871,-79.0407984446,79.0407984446,1.17407469685,1.37845139377,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.694076894888,0.000263360685349,0.684111138201,1.37845139377,0.503519310164,0.000191055474672,0.496289634361,1.71526072385,0.769130440287,0.420441638041,0.368288758136,0.368288758136,18.1581860434
58,classical_singular_approach,contraction,0.306170888132,0.765596606911,-0.267099870787,3.60106619979,10.1958412706,-79.317281871,79.317281871,1.17818159103,1.38811186143,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.703732466304,0.000268256926049,0.684111138201,1.38811186143,0.506971005621,0.000193253104092,0.492835741275,1.72008850955,0.765596606911,0.418740853873,0.367635095876,0.367635095876,18.1535808732
59,classical_singular_approach,contraction,0.312199899019,0.762079010025,-0.271705040973,3.65773730429,10.1391701661,-79.5966317093,79.5966317093,1.18233106298,1.39790674249,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.713522360098,0.000273244194659,0.684111138201,1.39790674249,0.51042200342,0.000195466683401,0.489382529897,1.72498345645,0.762079010025,0.41703039667,0.366974704978,0.366974704978,18.148975703
60,classical_singular_approach,contraction,0.318256738556,0.758577575029,-0.276310211159,3.71420884527,10.0826986252,-79.8788709456,79.8788709456,1.18652345416,1.40783790727,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.723448444881,0.000278324183515,0.684111138201,1.40783790727,0.513871974286,0.000197696185107,0.485930329529,1.72994649884,0.758577575029,0.415310348335,0.36630754501,0.36630754501,18.1443705328
61,classical_singular_approach,contraction,0.324341535195,0.755092227665,-0.280915381345,3.77048018328,10.0264272871,-80.1640226676,80.1640226676,1.19075910749,1.41790725208,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.733512615258,0.000283498616416,0.684111138201,1.41790725208,0.517320589329,0.000199941580101,0.482479469091,1.73497858403,0.755092227665,0.413580793532,0.365633576014,0.365633576014,18.1397653626
62,classical_singular_approach,contraction,0.330454417978,0.751622894018,-0.285520551531,3.82655069124,9.97035677919,-80.452110064,80.452110064,1.19503836744,1.42811669964,0.3157967,9.21617990232e-05,0.6842033,0.684111138201,1.0000921618,1,0.743716792192,0.000288769249207,0.684111138201,1.42811669964,0.520767520174,0.000202202837681,0.479030276988,1.7400806725,0.751622894018,0.41184181969,0.364952758522,0.364952758522,18.1351601924
